headword	dpd_pos	meanings
adj	approach
aamaṇadhamma	adj	a non-ascetic in morals
ababa	adj	a hell
abaddhaka	adj	unwarranted
abahuaggha	adj	appaggha
abbha	adj
abbhaccana	nt	worship; reverence
abbhahatthipabbata	adj	Npr. of a mountain
abbhamaṇḍala	adj
abbhamaṇḍapa	adj	a pavilion; or dome; of clouds
abbhamāli	adj
abbhamālī	part.	end; limit
abbhanta	prp
abbhantarabhūta	pp	occurring within; loc.
abbhantaracara	adj	dwelling within; in intimacy
abbhantaradhātusaṃkopa	adj	disturbance of the humours within (the body)
abbhantarajātaka	adj	title of
abbhantaraka	adj
abbhantaramaṇḍala	adj	the inner circle
abbhantaramātikā	adj	a detailed list of contents; reference to Dhātuk-a 114, 10; ib. 19
abbhantarasīmā	adj	the 9th among the 15
abbhantaravāta	adj	the internal air
abbhantaraḍāha	adj	internal burning
abbhantaraṃ	ind	inter-nally, inside
abbhantare	ind	inside; in one's heart; within and among
abbhantarita	pp	being separated by a distance of
abbhantarāpassaya	adj	lying inside
adj	1. place; set 1. to let undertake a nearer investigation; abs. ~etvā
abbhanumodana	nt	rejoicing; satisfaction; thanksgiving
abbhanumodita	pp	assented to; approved
abbhasaṃvilāpa	adj	joining together
abbhati	verb.	to go; to move
abbhatika	adj	superior, of higher rank, more appreciated
abbhatikkanta	prp	deceased; departed
abbhatta	pp	greased
abbhatthagata	pp	next
abbhatthatā	adj	dis-appearance; death
abbhatthaṃ	ind	towards home
abbhatthaṅgata	pp	disappeared
abbhañjeti	pr	cause;make
abbhañjāpeti	verb	cause to be anointed; abs.
abbhibhāsi	pr	said
abbhokāsi	adj	prec
abbhuddaya	adj	rise; progress; success
abbhuddeti	pr	1. to rise (as the sun)
abbhuddharaṇa	adj	taking up or out; ifc. v.
abbhuddhunāti	adj	to shake or throw upwards
abbhudita	pp	auspicious; lucky; f.
abbhudāharati	pr	to bring out
abbhudīrita	pp	uttered, said
abbhunnadlta	pp	resounding; resonant
abbhunnatl	adj	haughtiness
abbhussakkati	adj	to rise towards, to ascend to
abbhussayaṃ	adj	rising
abbhussāha	adj	energy
abbhutadassaneyya	ptp	wonderful and beautiful
abbhutagāmi	adj	leading to nibbāna
abbhutakaraṇa	adj	2 abbhuta
abbhuṃ	ind	aversion; terror
abbhuṇha	adj	still warm; warm
abbhuṇṇata	pp	raised; elevated; uneven
abbhuṭṭhāti	pr	to start for going; towards acc; aor. 3 sg. ~āsi (vihārā nikkhamma caṅkamaṃ ~)
abbhādiupakkilesarahita	pp	pure
abbhāmaṇḍala	adj
abbhīrita	pp
abbohāra	adj	not to be taken into consideration; negligible; of no consequence
abbu	adj	believed to be identical with abbhu
abbudagaṇanā	adj	counting by abbudas; in instrumental
abbudajāta	pp	defiled
abbusita	pp
abbuta	pr
abbyahati	adj	see abbahati abbāhana
abbāhana	nt	action; deed
abbāheti	pr	to drag out; to pull up
abbūhita	pp	removed; swept away
abbūḷhana	nt
abbūḷhasokasalla	adj	having the sting of grief pulled out; ~aṃ (scil. cittaṃ)
abbūḷhita	pp	a clerical blending of; pulled out removed
abhabbatta	adj	non-existence
abhabbāgamana	pp	incapable of progress
abhassatha	pr	fell down
abhayada	adj	giving safety
abhayadassi	adj	seeing no danger
abhayadāna	adj	announcing
abhayadāyaka	adj	abhaya-da
abhayagata	pp	being in a state of safety (nibbāna)
abhayaghosana	nt	proclamation of immunity
abhayasaññā	adj	considering something to be undangerous
abhayavāsa	adj	living in peace
abhayaṃkara	adj	causing safety
abhibhakkhayati	pr	to eat or drink from; abs.
abhibhavavyāpāra	adj	activity of mastering
abhibhavita	adj	1. one who overcomes or vanquishes 1. abhibhūta
abhibhaṭa	adj	sufficient; enough; abundant
abhibhuyyacāri	adj	victorious
abhibhāsana	nt	appeasement
abhibhāveti	pr	cause to be; make; cause
abhibhāvāpeti	pr	to cause to be overcome by another
abhibhūti	adj	superior power; upper hand
abhibhūya	abs	of
abhibhūyati	pr	to be overcome
abhicara	adj	a servant
adj	1. going; moving 1. being very hungry
abbeti	pr	2. to enjoy; to feed upon
abbhuggamāna	prp
abbhutakkama	adj	with wonderful modes of progress; instrument
abbhutoruguṇākara	adj	a wonderful large mine of virtues
abbhuyha	abs	see abbuyha
abhicchita	pp	desired
abhicchā	adj	desire; longing
abhiceta	adj	higher consciousness
abhicetasi	ind	in the mind
abhicetayati	pr	aim at; ponder; meditate upon
abhicintayati	adj	reflect or meditate upon
abhicittauttamacittanissita	pp	founded on mind resp. on the highest consciousness
abhicāra	adj	fascination by means of certain magical influences
abhidahara	adj	very young, juvenile
abhidakkhiṇa	adj	towards the right
abhidanta	adj	upper tooth
abhidantaṃ	ind	against the teeth
abhidassanaṃ	ind	in order to see
abhiddavati	pr	to rush on and assail
abhideti	pr	to fly back
abhidhammabhājanīya	ptp	subdivision of the chapters in Vibhaṅga (:Suttantabhājanīya and Pañhāpucchaka)
abhidhammadesanā	adj	the preaching of
abhidhammamissaka	adj	containing A°-elements
part.	1. takes up; assumes 1. being very hungry; one who desires food
abhidhammaparicaya	adj	reflecting on
abhidhammapariyāya	adj	the form of exposition peculiar to A° (opp. Suttanta-pariyāya; cf. A-niddesa)
abhidhammavirodha	adj	contradiction with
abhidhara	adj
abhidharamāna	prp	bearing; support
abhidhānaka	adj	designation; of
abhidhāreti	pr	uphold; maintain
abhidhāyi	adj	designating; meaning
abhidhīyati	pr	to be declared
abhietabba	adj	abbhetabba
abhigamana	nt	going to; attack
abhigamanīya	ptp	to be approached, easily accessible
abhigantabba	adj	noble
abhigaṇhāti	pr	to conquer overpower; abs.
abhighuṭṭha	adj	proclaimed; loc; resounding
abhighāra	adj	clarified butter
abhighātajasadda	adj	the sound produced by contact; stroke; ind. q. v.
abhigiddha	adj	abstr., longing, craving
abhigutta	pp	guarded; protected
abhihanti	verb	hit; strike; dispel; wound; injure; destroy; neutralize
abhihesanā	adj	instrumental
abhihessati	pr	see
abhihāraka	adj	one who accepts something offered; gen. m.
abhihāraniddesa	adj	pointing out the
abhihāsi	pr	see
abhihīrati	pr	to be read
abhihīta	pp	see
abhijaccabala	adj	power of nobility
abhijalati	verb	see
abhijana	nt	race; lineage; birthplace
abhijaneti	pr	to produce and generate
abhijeti	pr	to win; acquire; conquer
abhijjalati	adj	shine or blaze fiercely
abhijjhavisamalobha	adj	the wrongful desire styled
abhijjhāta	adj	coveting
abhijjhāvyāpāda	adj	covetousness; ill-will
abhijjhāyita	adj	abhijjhālu
abhijjhāyitar	masc	obstacle
abhijotayati	pr	to cause to shine; or to be seen
abhijātikatta	adj	the being of noble birth; abl.
abhijātiparisuddha	adj	pure by nature
abhijātitā	adj	descendency; the corrupt
abhijātivattita	pp	see abhijāti
abhijīhanā	adj	striving after; exertion; strong effort
abhijīvati	pr	to live upon; subsist by
abhikamkhana	nt	waiting for; dat.
abhikamkhati	pr	to long for; to desire; to wait for
abhikamkhi	adj	longing for; desiring
abhikamkhita	pp	desired;~aṁ dhanaṁ
abhikamkhā	adj	longing for; desire; sense of
abhikhaṇati	pr	shine
abhikhyā	adj	a name;ray of light splendour
abhikhyāta	pp	renowned
abhikitteti	pr	to praise; celebrate
abhikkantadassāvi	adj	one who sees the most excellent; having an eminent faculty of vision
abhikkhaṇātamka	adj	always ailing
abhikkhipati	pr	to throw down; abs.; to reprove, rebuke
abhikāmi	adj	desirous
abhikāra	adj	especial honour; homage
abhikīḷati	pr	play; a play
abhilabhati	sa.	obtain; receive; get
abhilambati	pr	hang down over
abhilapīyati	verb	to be pronounced
abhilasati	adj	to wish;to strive
abhilekheti	pr	to cause to be inscribed
abhilepeti	pr	to daub, plaster, smear with
abhilimpati	pr	to lime; to catch
abhilitta	pp
abhilāsa	adj	wish; desire
abhilāsi	adj	wishing; desiring
abhilāva	adj	cutting; reaping
abhimanas	adj	having the mind directed towards
abhimanāpa	adj	very pleasing; instr.
abhimattagilāna	pp
abhimaṇḍita	pp	adorned
abhimudā	adj	great joy
abhimukhabhāva	adj	sense of the prefix abhi-; sense of the prefix ā-; sense of the prefix sam- having as its manifestation
abhimukhacitta	pp	abhi-mana(s) q. v.
abhimukhakaraṇa	adj	bringing towards or near
abhimukhattha	adj	the sense of; in the presence of
abhimukhayuddha	adj	open fight; instr.
abhimukhī	adj	present; at hand
abhimāni	adj	proud; arrogant; ambitious
abhinalāṭa	adj	a beautiful forehead
abhinaya	adj	dramatic gesture
abhinibbajjeti	imper.	see
abhinibbattibhāva	adj	abstract
abhinibbattisammuti	adj	prec; acc
abhinibbattita	pp	past participle; also known as abhinibbatta; compare with abhinibbatta
abhinibbattivohāra	adj	the expression
abhinibbhijjana	nt	breaking through
abhinibbidhā	adj
abhinibbijja	pr	to decompose, distinguish; to exclude, reject
