"id"	"sbs_class_anki"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"	"sbs_category"	"sbs_audio"
"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"audio=[sound:a.mp3]"
"2"	""	""	""	""	""	""	""	""	""	""	""	""	"so sato'va <b>ass</b>asati, sato'va passasati. dīghaṃ vā <b>ass</b>asanto dīghaṃ <b>ass</b>asāmī'ti pajānāti, dīghaṃ vā passasanto dīghaṃ passasāmī'ti pajānāti "	""	""	"Prefixes"	""	""	""	""	""	""	"99n"	""	""
"3"	""	""	""	""	""	""	""	""	""	""	""	""	"upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ <b>a</b>ṭṭhāsi. ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya ajjhabhāsi"	""	""	"Prefixes"	""	""	""	""	""	""	"99n"	""	""
"4"	""	""	""	""	""	""	""	""	""	""	""	""	"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>a</b>dukkham'<b>a</b>sukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati"	""	""	"Prefixes"	""	""	""	""	""	""	"99n"	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"audio=[sound:akaccha.mp3]"
"13"	""	""	"test"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"audio=[sound:akaṭa.mp3]"
