id	ru_meaning	ru_meaning_raw	ru_meaning_lit	ru_notes
2	приставка 'ā' сокращена перед двойной согласной			
3	приставка у глаголов прошедшего времени и условного наклонения			
4	нет; не-			
5		признак спряжения глаголов группы 1 bhū		
6	сокращение от Ангуттара (Никая)			
7	деликатный; тактичный; вежливый; не резкий; не грубый			
8		без сомнения; избавлен от неопределенности; свободный от сомнений; лишен неуверенности		
9		безжеланный; лишенный желаний; свободный от желания; не испытывающий желания		
10	не сомневающийся; без неясности			
11	ничто		не что-то	
12	не подходит для разговора (с); не следует говорить (с)			
13	не сделанный; не совершенный			
14		не сделанный; не созданный; неоформленный; недоделанный		
17		не причинено быть созданным; не вызвано для создания; не обусловлено созданием; не происходит от создания.		
18	кто не выполнил правовую процедуру; с которым не поступили в соответствии с правилом			
25		без помех; без препятствий; букв. без шипов; без помеханиц; без преград		
26		без смуты и спокойный; букв. без шипов и безшипный; без беспокойства и беззаботный; беспрепятственный и беззаботный.		
27		не черный; не плохой; не отрицательный; неплохой		
29		безумый; неположительный		
30		не имеющий ни плохих, ни хороших результатов; без положительных или отрицательных последствий.		
32	не выполненный; не сделанный			
33	не сделанный; не созданный; не произведенный			
34	что-то не сделанное; невыполненное действие			
35		не сложенный; не отлитый; незаконченный; недоработанный		
36		не допускается; незаконный; неизготовленный; несделанный		
37		не совершивший кражу; не совершивший преступление; букв. не совершил деяние; ненарушенный		
38	кто не делал добрых дел			
39	кто не делал ничего плохого; кто не делал грязных вещей; кто не совершал грехи			
40	кто не делал добро; кто не делал заслуг			
46	неблагодарный; безразличный; непризнательный		не знающий что сделано	см. akataññu 2
47	знающий не сотворенное; кто знает не рожденное			см. akataññu 1
48		как незаконченный; как не сделанный; как не выполненный; как не осуществленный		
51	кто не делал зла; кто не сделал ничего плохого			
54	не совершался ранее; ранее не выполнялся			
55	кто не укрылся от страха; кто не защитился от ужаса; (комм) кто не защищал напуганных			
59	кто не совершал жестоких поступков; не совершивший жестокость			
64	кто не участвует в Упосатхе			
67		не желая делать; не желая создавать; без желания делать; не стремясь сделать		
68		вы все сделали; вы все совершили; вы все создали; вы все сделали		
69	не хвастающийся (о)			
