"root"	"root_in_comps"	"root_has_verb"	"root_group"	"root_sign"	"root_meaning"	"sanskrit_root"	"sanskrit_root_meaning"	"sanskrit_root_class"	"root_example"	"dhatupatha_num"	"dhatupatha_root"	"dhatupatha_pali"	"dhatupatha_english"	"dhatumanjusa_num"	"dhatumanjusa_root"	"dhatumanjusa_pali"	"dhatumanjusa_english"	"dhatumala_root"	"dhatumala_pali"	"dhatumala_english"	"panini_root"	"panini_sanskrit"	"panini_english"	"note"	"matrix_test"
"√akkh"	""	"×"	"1"	"a"	"see"	"√akṣ"	"attain"	"1"	"akkhi"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"akkha"	"byatti-saṅkhātesu"	"evidently manifesting"	"akṣ ū"	"vyāptau"	"pervading, spreading, extending"	""	"√"
"√agg"	""	"×"	"1"	"a"	"move crookedly"	"√ag"	"move tortuously"	"1"	"aggi"	"-"	"-"	"-"	"-"	"29"	"aggo"	"gati-koṭille"	"going crooked"	"agga"	"kuṭilagatiyaṃ"	"going crookedly"	"ag a"	"kuṭilāyāṃ gatau"	"going crooked"	"artificial root, denominative of <b>aggi</b>."	"√"
"√aggh"	""	"･"	"1"	"a"	"be worth"	"√argh √arh"	"be worth"	"1"	"agghati, agghīyati, aggha"	"32"	"aggha"	"agghane"	"being worth"	"39"	"aggha"	"agghane"	"being worth"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√aṅg"	""	"･"	"1"	"a"	"walk"	"√aṅg"	"move"	"1"	"aṅgaṇa"	"25"	"aṅga"	"gamanatthā"	"going"	"32"	"agī"	"gaty-atthadhātavo"	"going"	"agi"	"gamane"	"going"	"ag i"	"gatyarthaḥ"	"going"	""	"√"
"√acc 1"	""	"×"	"1"	"a"	"shine, praise"	"√arc"	"shine, praise"	"1"	"accha, acci, accī"	"47"	"acca"	"pūjāyaṃ"	"worshipping"	"54"	"acca"	"accane"	"respecting"	"acca"	"pūjāyaṃ"	"worshipping"	"arc a"	"pūjāyāṃ"	"worshipping"	""	"√"
"√acc 2"	""	"･"	"8"	"e, aya"	"worship"	"√arc"	"shine, praise"	"1"	"acceti"	"544"	"acca"	"pūjāyaṃ"	"worshipping"	"760"	"acca"	"pūjāyaṃ"	"worshipping"	"acca"	"pūjāyaṃ"	"worshipping"	"arc a"	"pūjāyāṃ"	"worshipping"	""	"√"
"√aj"	""	"･"	"1"	"a"	"go, drive"	"√aj"	"drive"	"1"	"samajja, pājana"	"58"	"aja"	"gamane"	"going"	"71"	"aja"	"gamane"	"going"	"aja"	"khepane gatiyaṃ ca"	"throwing and going"	"aj a"	"gati-kṣepaṇayoḥ"	"going and throwing"	""	"√"
"√añc"	""	"･"	"1"	"a"	"bend"	"√añc √ac"	"bend"	"1"	"aṅka, aṅga"	"45"	"añca"	"gamane"	"going"	"48"	"añca"	"pūjā-<b>gate</b>"	"worshipping and <b>going</b>"	"añcu"	"<b>gati</b>-pūjanāsu"	"<b>going</b> and venerating, honouring"	"añc u"	"<b>gati</b>-pūjanayoḥ"	"<b>going</b> and venerating"	""	"√"
"√añch"	""	"･"	"1"	"a"	"extend, draw along"	"√āñch"	"tear"	"1"	"añchanti, āviñchati, aṅka, pallaṅka"	"53"	"añcha"	"āyāme"	"extending, lengthening"	"64"	"añcha"	"āyāme bhave"	"stretching out"	"achi"	"āyāme"	"stretching, extending"	"āch i"	"āyāme"	"stretching, extending"	""	"√"
"√añj 1"	""	"･"	"8"	"e, aya"	"distinguish"	"√añj"	"anoint"	"7"	"vyañjayati, byañjana"	"69"	"añja 1"	"<b>vyatti</b>-makkhana-gati-kantisu"	"<b>distinguishing</b>, smearing, going and desiring"	"74"	"añju 1"	"<b>vyatti</b>-gatī-kanti-makkhaṇesu"	"<b>distinguishing</b>, going, desiring, and smearing"	"añcu"	"visesane"	"distinguishing"	"añc u"	"viśeṣaṇe"	"distinguishing, discriminating"	""	"√"
"√añj 2"	""	"･"	"1"	"a"	"smear, anoint"	"√añj"	"anoint"	"1, 7"	"anjati, anaṅgaṇa"	"69"	"añja"	"vyatti-<b>makkhana</b>-gati-kantisu"	"distinguishing, <b>smearing</b>, going and desiring"	"74"	"añju"	"vyatti-gatī-kanti-<b>makkhaṇesu</b>"	"distinguishing, going, desiring, and <b>smearing</b>"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√añj 3"	""	"×"	"1"	"a"	"pay respect"	"√añc √ac"	"bend"	"1, 7"	"añjali"	"48"	"añca"	"pūjāyaṃ"	"worshipping"	"48"	"añca"	"pūjā-gate"	"worshipping and going"	"añcu"	"gati-pūjanāsu"	"going and venerating"	"añc u"	"gati-pūjanayoḥ"	"going and venerating"	""	"√"
"√aṭ"	""	"×"	"1"	"a"	"roam, wander"	"√aṭ"	"wander"	"1"	"aṭana"	"84"	"aṭa"	"gamanatthā"	"going"	"102"	"aṭa"	"gamane"	"going"	"aṭa"	"gatiyaṃ"	"going"	"aṭ a "	"gatau"	"going"	""	"√"
"√aḍḍ"	""	"×"	"1"	"a"	"judge"	"√aḍḍ"	"argue"	"1"	"aḍḍa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"aḍḍa"	"abhiyoge"	"engaging in a lawsuit"	"aḍḍ a"	"abhiyoge"	"charging"	""	"√"
"√aṇ"	""	"･"	"1"	"a"	"recite"	"√aṇ"	"sound"	"1"	"aṇati"	"114"	"aṇa"	"saddatthā"	"making sound"	"169"	"aṇa"	"sadde"	"making sound"	"aṇa"	"sadde"	"making sound"	"aṇ a"	"śabdārthaḥ"	"making sound"	"related to √an"	"√"
"√atth"	""	"･"	"8"	"e, aya"	"wish for"	"√arth"	"strive"	"10"	"abhipatthayati, attha, atthika"	"583"	"attha"	"yācane"	"asking, begging"	"815"	"attha"	"yācane"	"begging, asking"	"attha"	"yācanāyaṃ"	"asking, begging"	"artha"	"upayācñāyām"	"asking, begging"	""	"√"
"√ad"	""	"･"	"1"	"a"	"eat"	"√ad"	"eat"	"2"	"adati, anna"	"154"	"ada"	"bhakkhaṇe"	"eating"	"225"	"ada"	"bhakkhaṇe"	"eating"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√add"	""	"･"	"8"	"e, aya"	"afflict"	"√ṛd √ard"	"stir, dissolve"	"1, 6"	"addita, aṭṭita, aṭṭa, aṭṭīyamāna"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"adda"	"hiṃsāyaṃ"	"hurting"	"ard a"	"hiṃsāyām"	"hurting"	""	"√"
"√an"	""	"･"	"1"	"a"	"breathe, blow"	"√an"	"breathe"	"1, 2, 6"	"udāneti, āna, pāṇa, āṇāpāṇa, anila, udāna"	"176"	"ana"	"pāṇane"	"breathing"	"256"	"ana"	"pāṇane"	"breathing"	"ana"	"pāṇane"	"breathing"	"an a"	"prāṇane"	"breathing"	""	"√"
"√ap"	""	"･"	"4"	"ṇo, uṇā"	"reach, attain"	"√āp"	"obtain"	"5"	"pāpuṇāti, pattuṃ, patta, sotāpatti"	"511"	"apa"	"pāpuṇane"	"reaching, attaining"	"711"	"apa"	"pāpuṇane"	"reaching, attaining"	"apa"	"pāpuṇe"	"reaching, attaining"	"-"	"-"	"-"	""	"√"
"√ar"	""	"･"	"1"	"a"	"move, attain"	"√ṛ"	"go, send"	"1"	"appeti, attha, appanā"	"253"	"ara"	"gamane"	"going"	"365"	"ara"	"nāse gate ca"	"destroying and going"	"ara"	"gatiyaṃ"	"going"	"ṛ"	"gati-prāpaṇayoḥ"	"going and leading to"	""	"√"
"√arah"	""	"･"	"1"	"a"	"deserve, be worthy"	"√arh"	"deserve"	"1"	"arahati, araha, arahanta"	"330"	"araha"	"pūjāyaṃ"	"worshipping"	"487"	"araha"	"pūjāyaṃ"	"worshipping"	"araha"	"pūjāyaṃ"	"worshipping"	"arh a"	"pūjāyāṃ"	"honouring, worshipping"	""	"√"
"√as 1"	""	"･"	"1"	"a"	"be"	"√as"	"be"	"2"	"atthi, asmi, santa"	"373"	"asa"	"bhuvi"	"being"	"600"	"asa"	"bhuvi"	"being"	"asa"	"bhuvi"	"being, existing"	"as a"	"bhuvi"	"being"	""	"√"
"√as 2"	""	"･"	"3"	"ya"	"throw, hurl"	"√as"	"throw"	"4"	"pāsa, asana"	"453"	"asa"	"khepane"	"throwing"	"693"	"asu"	"khepane"	"throwing"	"asu"	"khepe"	"throwing"	"as u"	"kṣepaṇe"	"throwing"	""	"√"
"√as 3"	""	"･"	"1"	"a"	"eat"	"√aś"	"eat"	"1, 9"	"asati"	"292"	"asa"	"adane"	"eating"	"430"	"asa"	"adane"	"eating"	"asa"	"bhojane"	"eating"	"aś a"	"bhojane"	"eating"	""	"√"
"√as 4"	""	"･"	"5"	"nā"	"eat"	"√aś"	"eat"	"1, 9"	"asnāti"	"506"	"asa"	"bhojane"	"eating"	"730"	"asa"	"bhakkhaṇe"	"eating"	"asa"	"bhojane"	"eating"	"aś a"	"bhojane"	"eating"	""	"√"
"√ah"	""	"･"	"1"	"a"	"speak"	"√ah"	"say"	"-"	"āha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√aṃs"	""	"×"	"8"	"e, aya"	"divide, distribute"	"√aṃś"	"divide"	"10"	"aṃsa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"aṃsa"	"saṅghāte"	"accumulating, collecting"	"aṃsa"	"samāghāte"	"accumulating"	""	"√"
"√āgam"	""	"･"	"8"	"e, aya"	"wait"	"√gam"	"go"	"1"	"āgameti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ā-gamu"	"īsam'adhivāsane"	"waiting"	"-"	"-"	"-"	"causative of ā √gam"	"√"
