edited	book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	cst_code	cst_nikaya	cst_book	cst_section	cst_vagga	cst_sutta	cst_paranum	cst_m_page	cst_v_page	cst_p_page	cst_t_page	cst_file	dpr_code	dpr_link	sc_code	sc_book	sc_vagga	sc_sutta	sc_eng_sutta	sc_blurb	sc_card_link	sc_pali_link	sc_eng_link	sc_file_path
	Dīgha Nikāya	DN	DN1	brahmajālasutta		dn1.1	Dīghanikāyo	Sīlakkhandhavaggapāḷi			1. Brahmajālasuttaṃ	1	1.0001	1.0002	1.0001	1.0001	romn/s0101m.mul.xml	DN1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.0.0.0.m	dn1	Dīgha Nikāya 1		Brahmajālasutta	The Divine Net	While others may praise or criticize the Buddha, they tend to focus on trivial details. The Buddha presents an analysis of 62 kinds of wrong view, seeing through which one becomes detached from meaningless speculations.	https://suttacentral.net/dn1	https://suttacentral.net/dn1/pli/ms	https://suttacentral.net/dn1/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn1_root-pli-ms.json
	Dīgha Nikāya	DN	DN2	sāmaññaphalasutta		dn1.2	Dīghanikāyo	Sīlakkhandhavaggapāḷi			2. Sāmaññaphalasuttaṃ	150	1.0044	1.0042	1.0047	1.0061	romn/s0101m.mul.xml	DN2	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.1.0.0.m	dn2	Dīgha Nikāya 2		Sāmaññaphalasutta	The Fruits of the Ascetic Life	The newly crowned King Ajātasattu is disturbed by the violent means by which he achieved the crown. He visits the Buddha to find peace of mind, and asks him about the benefits of spiritual practice. This is one of the greatest literary and spiritual texts of early Buddhism.	https://suttacentral.net/dn2	https://suttacentral.net/dn2/pli/ms	https://suttacentral.net/dn2/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn2_root-pli-ms.json
	Dīgha Nikāya	DN	DN3	ambaṭṭhasutta		dn1.3	Dīghanikāyo	Sīlakkhandhavaggapāḷi			3. Ambaṭṭhasuttaṃ	254	1.0082	1.0076	1.0087	1.0114	romn/s0101m.mul.xml	DN3	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.2.0.0.m	dn3	Dīgha Nikāya 3		Ambaṭṭhasutta	With Ambaṭṭha	A young brahmin student attacks the Buddha’s family, but is put in his place.	https://suttacentral.net/dn3	https://suttacentral.net/dn3/pli/ms	https://suttacentral.net/dn3/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn3_root-pli-ms.json
	Dīgha Nikāya	DN	DN4	soṇadaṇḍasutta		dn1.4	Dīghanikāyo	Sīlakkhandhavaggapāḷi			4. Soṇadaṇḍasuttaṃ	300	1.0104	1.0097	1.0111	1.0142	romn/s0101m.mul.xml	DN4	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.3.0.0.m	dn4	Dīgha Nikāya 4		Soṇadaṇḍasutta	With Soṇadaṇḍa	A reputed brahmin visits the Buddha, despite the reservations of other brahmins. They discuss the true meaning of a brahmin, and the Buddha skillfully draws him around to his own point of view.	https://suttacentral.net/dn4	https://suttacentral.net/dn4/pli/ms	https://suttacentral.net/dn4/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn4_root-pli-ms.json
	Dīgha Nikāya	DN	DN5	kūṭadantasutta		dn1.5	Dīghanikāyo	Sīlakkhandhavaggapāḷi			5. Kūṭadantasuttaṃ	323	1.012	1.0112	1.0127	1.0162	romn/s0101m.mul.xml	DN5	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.4.0.0.m	dn5	Dīgha Nikāya 5		Kūṭadantasutta	With Kūṭadanta	A brahmin wishes to undertake a great sacrifice, and asks for the Buddha’s advice. The Buddha tells a legend of the past, in which a king is persuaded to give up violent sacrifice, and instead to devote his resources to supporting the needy citizens of his realm. However, even such a beneficial and non-violent sacrifice pales in comparison to the spiritual sacrifice of giving up attachments.	https://suttacentral.net/dn5	https://suttacentral.net/dn5/pli/ms	https://suttacentral.net/dn5/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn5_root-pli-ms.json
	Dīgha Nikāya	DN	DN6	mahālisutta 1		dn1.6	Dīghanikāyo	Sīlakkhandhavaggapāḷi			6. Mahālisuttaṃ	359	1.0143	1.0134	1.015	1.0192	romn/s0101m.mul.xml	DN6	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.5.0.0.m	dn6	Dīgha Nikāya 6		Mahālisutta	With Mahāli	The Buddha explains to a diverse group of lay people how the results of meditation depend on the manner of development.	https://suttacentral.net/dn6	https://suttacentral.net/dn6/pli/ms	https://suttacentral.net/dn6/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn6_root-pli-ms.json
	Dīgha Nikāya	DN	DN7	jāliyasutta		dn1.7	Dīghanikāyo	Sīlakkhandhavaggapāḷi			7. Jāliyasuttaṃ	378	1.0151	1.0143	1.0159	1.0203	romn/s0101m.mul.xml	DN7	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.6.0.0.m	dn7	Dīgha Nikāya 7		Jāliyasutta	With Jāliya	This discourse is mostly quoted by the Buddha in the previous.	https://suttacentral.net/dn7	https://suttacentral.net/dn7/pli/ms	https://suttacentral.net/dn7/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn7_root-pli-ms.json
	Dīgha Nikāya	DN	DN8	mahāsīhanādasutta 1		dn1.8	Dīghanikāyo	Sīlakkhandhavaggapāḷi			8. Mahāsīhanādasuttaṃ	381	1.0153	1.0146	1.0161	1.0205	romn/s0101m.mul.xml	DN8	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.7.0.0.m	dn8	Dīgha Nikāya 8		Mahāsīhanādasutta	The Lion’s Roar to the Naked Ascetic Kassapa	The Buddha is challenged by a naked ascetic on the topic of spiritual austerities. He points out that it is quite possible to perform all kinds of austere practices without having any inner purity of mind.	https://suttacentral.net/dn8	https://suttacentral.net/dn8/pli/ms	https://suttacentral.net/dn8/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn8_root-pli-ms.json
	Dīgha Nikāya	DN	DN9	poṭṭhapādasutta		dn1.9	Dīghanikāyo	Sīlakkhandhavaggapāḷi			9. Poṭṭhapādasuttaṃ	406	1.0167	1.016	1.0178	1.0223	romn/s0101m.mul.xml	DN9	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.8.0.0.m	dn9	Dīgha Nikāya 9		Poṭṭhapādasutta	With Poṭṭhapāda	The Buddha discusses with a wanderer the nature of perception and how it evolves through deeper states of meditation. None of these, however, should be identified with a self or soul.	https://suttacentral.net/dn9	https://suttacentral.net/dn9/pli/ms	https://suttacentral.net/dn9/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn9_root-pli-ms.json
	Dīgha Nikāya	DN	DN10	subhasutta 1		dn1.10	Dīghanikāyo	Sīlakkhandhavaggapāḷi			10. Subhasuttaṃ	444	1.0188	1.018	1.0204	1.025	romn/s0101m.mul.xml	DN10	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.9.0.0.m	dn10	Dīgha Nikāya 10		Subhasutta	With Subha	Shortly after the Buddha’s death, Venerable Ānanda is invited to explain the core teachings.	https://suttacentral.net/dn10	https://suttacentral.net/dn10/pli/ms	https://suttacentral.net/dn10/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn10_root-pli-ms.json
