chA	chB	ch1	ch2	eg	for
a	p	a	ap	abhivaggen'api	api
ā	p	a	ap	ajjā'pi	api
ā	p	ā	ap	samāpattiyā'pi	api
ā	t	ā		tasmā't'iha	general
ā	t	a	it	cā'ti	iti
ā	t	ā	it	upādāyā'ti	iti
a	v	a	ev	cūḷa'va	eva
ā	v	ā	ev	datvā'va	eva
ā	y	ā		imissā'y'eva	general
a	y	a		ta'y'idaṃ	general
b	ā	bā	ā	sabb'ākārena	general
b	a	ba	a	sabb'aṅga	general
b	ā	baṃ	a	bhūtapubb'āhaṃ	general
b	ā	be	a	pubb'āhaṃ	general
b	b	d	v	tab'bipaccanīka	general
b	b	r	v	dub'bītivatta	general
b	e	be	e	sabb'ete	general
b	o	ba	o	sabb'okāsaṃ	general
b	ū	ba	u	amb'ūpamā	general
b	u	ba	u	sabb'upadhīnaṃ	general
c	a	ca	a	c'aggā	general
c	ā	ca	a	c'āhaṃ	general
c	ā	ca	ā	c'ānanda	general
c	ā	ca	i	cā'ti	iti
c	ā	cā	i	sammuccā'ti	iti
c	a	ce	a	sac'assa	general
c	ā	ce	a	sac'āyaṃ	general
c	ā	ci	a	kacc'āsi	general
c	a	ci	a	kociañño	general
c	c		c	sāra'c'chedo	general
c	c	c		vana'c'chāyappavesana	general
c	c	ti		icc'eva	general
c	e	ca	e	c'evimaṃ	general
c	e	ce	e	sac'etaṃ	general
c	i	ca	i	c'ime	general
c	i	ci	a	kaccisi	general
c	i	ci	i	kecime	general
c	o	ca	u	c'oggate	general
c	o	co	a	niccomhi	general
c	o	co	i	ādiccova	general
c	ū	ca	u	cūbhayaṃ	general
c	u	ca	u	papañcuppatti	general
d	a		a	kiñci'd'atthaṃ	general
d	ā	da	a	idāhaṃ	general
ḍ	ā	ḍā	a	muṇḍāsi	general
d	a	da	a	pamādattha	general
ḍ	ā	ḍa	ā	paribhaṇḍādīni	general
d	ā	da	ā	vādādayo	general
d	ā	dā	a	yadāhaṃ	general
d	ā	daṃ	a	ekamid'āhaṃ	general
d	ā	dī	a	evaṃvād'āhaṃ	general
d	a	di	a	nisīd'ambavane	general
d	a	diṃ	a	nisīd'ambavane	general
d	ā	do	ā	tamanud'āsino	general
d	d		d	ussita'd'dhajā	general
d	e		e	bahudeva	eva
d	e	da	e	sadd'ettha	general
d	e	de	a	pāsāde'bhiramanti	general
ḍ	e	ḍo	e	caṇḍ'ettha	general
d	i	da	i	iddhipād'indriyena	general
d	i	di	a	aggāsanādi'rahānaṃ	general
d	ī	dī	a	saccavādīmhi	general
d	o	da	u	candopama	general
ḍ	o	da	u	piṇḍ'opajjhāriyāpatho	general
ḍ	o	ḍo	a	meṇḍo'si	general
d	o	do	a	ucchedavādohamasmī	general
ḍ	o	ḍo	u	piṇḍo'pajjhāriyāpatho	general
d	u		u	vehāsā'd'upasaṅkamiṃ	general
d	ū	da	u	pādūdare	general
d	u	da	u	pasāduppatti	general
d	ū	dū	a	vidūhaṃ	general
d	u	du	i	udabindu'va	general
d	ū	du	i	udabindū'va	general
e	p	e	ap	suttepi	api
e	t	e	it	purisayugeti	iti
e	v	a	ev	ceva	eva
e	v	e	ev	pubbeva	eva
e	v	i	ev	sabbāneva	eva
e	y	e		pamāṇe'y'eva	eva
g	ā	ga	a	kāliṅgāraññaṃ	general
g	a	ga	a	vavassaggatthe	general
g	ā	ga	ā	vigatarāgādi	general
g	e	go	e	pagevetaṃ	general
g	g		g	vighāta'g'gahaṇena	general
g	i	gaṃ	i	ubbigg'idaṃ	general
g	ī	gi	i	aggī'va	general
g	i	gi	o	agg'obhāso	general
g	o	go	a	aggo'hamasmi	general
g	o	go	i	paribhogoti	iti
g	u	ga	u	aggupaṭṭhāyikā	general
g	ū	ga	u	saggūpagena	general
g	ū	gū	a	vedagū'smīti	general
h	ā	hā	ā	addhāyasmantehi	general
h	ā	ha	a	idhāhaṃ	general
h	ā	ha	ā	maññathāvuso	general
h	a	ha	a	passathayye	general
h	ā	hā	a	santosakathāvasāne	general
h	a	hā	a	yath'aññe	general
h	ā	ha	i	āhāti	general
h	a	ha	i	itihame	general
h	ā	hā	i	macchā'va	general
h	ā	haṃ	a	rattamah'ābhipassa	general
h	ā	hi	a	deh'āyye	general
h	ā	hī	ā	hatthārūḷhaṃ	general
h	ā	hi	ā	hāyasmanto	general
h	a	hi	a	sattahaṅgehi	general
h	a	hiṃ	a	paṭivijjh'ahanti	general
h	ā	ho	a	pañcāh'āhaṃ	general
h	ā	hu	a	sādh'āhaṃ	general
h	a	hu	a	sādh'ayye	general
h	ā	hu	ā	sādhāvuso	general
h	e	ha	e	etthevassa	general
h	e	hā	e	tatheva	eva
h	e	haṃ	e	mayhevete	general
h	e	he	a	yaggheyye	general
h	e	he	i	kāḷapakkheva	iva
h	e	hi	e	hete	general
h	e	ho	e	sammūḷhettha	general
h	i	hā	i	seyyathidaṃ	general
h	ī	hā	i	seyyathīdaṃ	general
h	i	ha	i	yatthime	general
h	i	haṃ	i	mayh'idaṃ	general
h	ī	hī	a	aparavambhīhamasmi	general
h	i	hi	a	yañhissa	general
h	ī	hi	i	amhīti	iti
h	i	hi	i	hidaṃ	general
h	i	hiṃ	a	bujjhi'haṃ	general
h	o	ha	o	abhiṇhovāda	general
h	o	hā	o	mah'osadho	general
h	o	ha	u	kaṭṭhodakaṃ	general
h	o	hā	u	mah'odakanti	general
h	o	haṃ	u	paralābh'opajīvantā	general
h	o	ho	a	appicchohamasmi	general
h	o	ho	i	evaṃbyākhoti	iti
h	o	ho	u	megh'opasammaye	general
h	o	hū	a	abhibho'smi	general
h	o	hu	o	bah'odake	general
h	u	ha	u	dukkhundrayaṃ	general
h	u	hā	u	heṭṭh'upariyavasena	general
h	ū	ha	u	idhūpapanno	general
h	u	hi	u	pañcahupādāna	general
h	u	hu	a	vatthu'jjhācārā	general
h	ū	hū	e	bhikkhū'va	general
h	ū	hu	i	sampannatth'ūdha	general
h	ū	hu	u	bahūpāyāsā	general
ī	p	ī	ap	bhaginīpi	api
i	p	i	ap	tīṇipi	api
ī	t	i	it	hotīti	iti
ī	t	ī	it	suppaṭinissaggīti	iti
ī	v	ī	ev	añjanīva	eva
i	y	i		ti'y'aggaḷā	general
ī	y	ī		ussoḷhī'y'eva	general
j	ā	ja	a	ajjāhaṃ	general
j	a	ja	a	bhesajj'atthañca	general
j	ā	jā	ā	kasivaṇijjādīni	general
j	ā	jā	a	rājāhaṃ	general
j	ā	ja	ā	samajjādi	general
