root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√akkh	1	a	see	√akṣ	1	attain	√akkh	akṣ	akṣa, akṣi, akṣika, na + akṣa, sākṣāt, sākṣāt, sākṣin, sākṣin
√akkh	1	a	see	√akṣ	1	attain	pati √akkh	-	apratyakṣa, prātyakṣa
√agg	1	a	move crookedly	√ag	1	move tortuously	√agg	ag	agni, agninā, āgnika
√agg	1	a	move crookedly	√ag	1	move tortuously	pati √agg	pratyag	? + agni
√aggh	1	a	be worth	√argh √arh	1	be worth	√aggh	arh	argha, argha + āpaṇaka, arghati, arghya, arghya?, arhayat, na + arghati
√aggh	1	a	be worth	√argh √arh	1	be worth	pati √aggh	-	
√aṅg	1	a	walk	√aṅg	1	move	√aṅg	aṅg	aṅgaṇa
√acc 1	1	a	shine, praise	√arc	1	shine, praise	√acc	arc	arcanā, arcanam, arci, arcita (honoured), arciṣmat
√acc 2	8	*e	worship	√arc	1	shine, praise	√acc	arc	arcita (honoured)
√aj	1	a	go, drive	√aj	1	drive	√aj	aj	aja, ajā, ajikā, ajina, ajira
√aj	1	ya	go, drive	√aj	1	drive	nī √aj	niraj	nirajyate
√aj	1	a	go, drive	√aj	1	drive	pa √aj	-	pra + ajati, prājana
√aj	1	a	go, drive	√aj	1	drive	saṃ √aj	samaj	samāja
√añc	1	a	bend	√añc √ac	1	bend	√añc	añc	+ aṅkuśa, akta, aṅka, aṅkayitvā, aṅkura, aṅkuśa, aṅgula, aṅgulī, aṅgulīyaka, aṅguṣṭha
√añc	1	a	bend	√añc √ac	1	bend	ati √añc	-	aṅkuśa
√añc	1	a	bend	√añc √ac	1	bend	ud √añc	udañc	ucañcana
√añc	1	a	bend	√añc √ac	1	bend	pari √añc	paryañc	palyaṅka, palyaṅkena
√añch	1	a	extend, draw along	√āñch	1	tear	√añch	āñch	ākarṣati, ākṛṣ, āñchat
√añch	1	a	extend, draw along	√āñch	1	tear	ā vi √añch	āñch	āñchana, āñchitvā, āvañcati, na + āvañcati
√añch	1	a	extend, draw along	√āñch	1	tear	saṃ √añch	āñch	saṃ + āñchat, saṃ + āñchati
√añj 1	8	*e	distinguish	√añj	7	anoint	√añj	añj	aṅga, aṅga +, aṅgaka, aṅgaka, aṅgin, aṅgaṇa, aṅganā, aṅgāḥ < aṅga, aṅgin
√añj 1	8	*e	distinguish	√añj	7	anoint	anu vi √añj	vyañj	anuvyañjana, anuvyañjanāt
√añj 1	8	*e	distinguish	√añj	7	anoint	abhi vi √añj		vyañjana
√añj 1	8	*e	distinguish	√añj	7	anoint	pati √añj	pratyañj	pratyaṅga
√añj 1	8	*e	distinguish	√añj	7	anoint	pari vi √añj	-	parivyakta
√añj 1	8	*aya	distinguish	√añj	7	anoint	vi √añj	vyañj	avyakta, parivyakta, vaiyañjanaka < vyañjana, vaipañcamika, vaipañcika, naimittika, vidvas, vidvattā, vyakta, vyakta +, vyakti, vyakti +, vyañjana, vyañjana +, vyañjanā, vyañjanāt, savyañjana
