COMMOON WORDS IN COMPOUNDS			type
antara	nt	vipākantara	
ante	masc	antevāsī	
anudiṭṭhi	fem	pubbantānudiṭṭhi, attānudiṭṭhi, aparantānudiṭṭhi	
atthara	nt	hatthatthara	
atthāya	ind	puññatthāya	
aṭṭhika	nt	jaṅghaṭṭhika	
āvi	nt	āvikamma	
evaṃ	adj	evaṃpaṭipanna	
gata (meaning type)	nt	mānagata, ākāsagata, āpogata, pubbagata, viññāṇagata, tiracchānagata(?), vāyogata, kheḷagata, gūthagata	
hetu	ind	micchāpaṭipattādhikaraṇahetu	
hetu	ind	pāricariyāhetu, brūhanāhetu, pīṇanāhetu, kucchihetu	
jātika	adj	chandajātika	
kaṃ	masc	kamatta	
kara	adj	puññakara	
karaṇīya	nt	saṅghakaraṇīya	
khīṇa	adj	khīṇatiracchānayoni, khīṇaniraya, khīṇapunabbhava	
maya	adj	jātarūpamaya	
nānā	noun	nānādāru	
nidāna	adj	jātinidāna	
niyata	adj	micchattaniyata	
pabhava	adj	upadhipabhava	
paro	card	parosahassa	
sa	adj	sapubbadeva, saparivāra	
saha			
samudaya	adj	upadhisamudaya	
saññā	fem	aṭṭhikasaññā, adukkhamasukhasukhumasaccasaññā, anattasaññā, ālokasaññā	
saññī (as)	adj	appaṭikūlasaññī	
sāruppagāmī	adj	jātinirodhasāruppagāmī	
tathā	adj	tathāpaṭipanna, tathāpahīna, tathāsaññī, tathākārī	
uccā	adj	uccākulīna	
upa (descendednt of)	masc	upariṭṭha, upananda	
upari	masc	uparikokanadapāsāda	
upasampanna	adj	vassasatūpasampanna, tadahupasampanna	
yathā	adj	yathābhirata, yathādhimutta	
yāva	ind	yāvatatiyakaṃ	
			
GENERAL CASES	-	-	
adhi	ind	adhideve, adhibrahmānaṃ	
adverb in first postion	noun	divākathika, tiroraṭṭhā, tirojanapadā, rattiṃvikālabhojana, kāmaṅgama	
adverb in first postion	adj	idhāgata, tatrābhirata, uddhaṃpāda, adhosira	
adverbs in cases	adv	appasaddena	
gerund + adj	adj	vibhajjavāda	
gerund + noun	masc	anupādāvimokkha	
indeclinable in first position	adj	nānājacca, uparikokanadapāsāda	
infintive	adj	yujjhitukāma	
kāla	masc	yānakāla	
kammadhāraya + taddhita	fem, nt	appātaṅkatā, appābādhatta	
khattuṃ	ind	atirekachakkhattuṃ, dvattikkhattuṃ	
khattuṃ	fem	sattakkhattuparamatā	
kiṃ	adj	kiṃmṃlaka, kiṃcitta, kiṃpamukha, kiṃkata, kiṃpahotika, kiṃnidṃna, kiṃparama, kiṃjṃtika, kiṃpariyosṃna, kāmālaya	
maya	masc	mattikāpatta, dārukuḍḍika	
missing word, more words required for the sense	nt	dvārabhatta (ṭhapita), asappurisacintī (cintā), asappurisamantī (manā)	
numbers (addition)	card	bāvīsati, dvattiṃsati	
numbers (multiplication)	card	tiṃsati, koṭisatasahassa	
numbers (subtraction)	adj	aḍḍhuḍḍha, aḍḍhateḷasa	
repeated words	adj	saṅghasaṅghī	
superlatives and comparitives	adj	paṇītasaṅkhātatara	
taddhita *ī	fem	ghoṭamukhī	
taddjita *ika	adj	subhagavanika	
tiro	ind	tirojanapadā, tiropabbataṃ, tiropākāraṃ, tiroraṭṭhā	
tiro	noun	tirokaraṇī, tirokuṭṭa	
two indedeclinables	ind	ahovatā	
			
INDIVIDUAL WORDS			
vaḷabhīratha	masc		
saṅkhārārammaṇa	adj		
surāmerayamajjapamādaṭṭhānapaccayā	ind		
mihitapubbaṃ	ind		
jaṅghabala	nt		
