id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
527,agāra 2,nt,household life; domestic living,MN27,cūḷahatthipadopamasuttaṃ,yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā</b> anagāriyaṃ pabbajeyyan'ti.,SN1.28,mahaddhanasuttaṃ,"hitvā <b>agāraṃ</b> pabbajitā,
hitvā puttaṃ pasuṃ viyaṃ,
hitvā rāgañ'ca dosañ'ca,
avijjañ'ca virājiya,
khīṇ'āsavā arahanto,
te lokasmiṃ anussukā'ti.",,,,,,
1227,ajjatagge,ind,from today onwards,DN2.32,sāmaññaphalasuttaṃ,maṃ bhagavā dhāretu <b>ajja't'agge</b> pāṇ'upetaṃ saraṇaṃ gataṃ,VIN PAT PC 70,kaṇṭakasikkhāpadaṃ,"<b>ajja't'agge</b> te, āvuso, samaṇ'uddesa na c'eva so bhagavā satthā apadisitabbo, yam'pi c'aññe samaṇ'uddesā labhanti bhikkhūhi saddhiṃ dirattatirattaṃ sahaseyyaṃ, sā'pi te n'atthi, cara'pi re, vinassā'ti.",,,,,,
2696,atthasaṃhita,adj,profitable; meaningful; beneficial,MN51,kandarakasuttaṃ,kālavādī bhūtavādī atthavādī dhammavādī vinayavādī nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ <b>atthasaṃhitaṃ</b>,MN139,araṇavibhaṅgasuttaṃ,yañ'ca kho jaññā rahovādaṃ bhūtaṃ tacchaṃ <b>atthasaṃhitaṃ</b> tatra kālaññū assa tassa rahovādassa vacanāya.,AN5.198,vācāsuttaṃ,"kālena ca bhāsitā hoti, saccā ca bhāsitā hoti, saṇhā ca bhāsitā hoti, <b>atthasaṃhitā</b> ca bhāsitā hoti, mettacittena ca bhāsitā hoti.",,,
2714,atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful,MN51,kandarakasuttaṃ,kālavādī bhūtavādī <b>atthavādī</b> dhammavādī vinayavādī nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ atthasaṃhitaṃ,,,,,,,,,
4411,anuggaha 2.1,masc,support; help; assistance,MN2.4,sabbāsavasuttaṃ,"paṭisaṅkhā yoniso piṇḍapātaṃ paṭisevāmi, n'eva davāya, na madāya na maṇḍanāya na vibhūsanāya, yāva'd'eva imassa kāyassa ṭhitiyā yāpanāya, vihiṃs'ūparatiyā brahmacariya-<b>anuggahāya</b>",MN9,sammādiṭṭhisuttaṃ,"cattāro'me, āvuso, āhārā bhūtānaṃ vā sattānaṃ ṭhitiyā sambhav'esīnaṃ vā <b>anuggahāya</b>",,,,,,
4524,anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to),SN11.3,dhajaggasuttaṃ,iti'pi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū <b>anuttaro</b> purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,SNP13,"ratanasuttaṃ
cūḷavaggo 1","varo vara'ññū vara'do var'āharo,
<b>anuttaro</b> dhammavaraṃ adesayi.",DHP55,pupphavaggo,"candanaṃ tagaraṃ vā'pi,
uppalaṃ atha vassikī,
etesaṃ gandhajātānaṃ,
sīlagandho <b>anuttaro</b>.",MN10.10,mahāsatipaṭṭhānasuttaṃ,"sauttaraṃ vā cittaṃ sauttaraṃ cittan'ti pajānāti, <b>anuttaraṃ</b> vā cittaṃ anuttaraṃ cittan'ti pajānāti,"
4902,anuppatta 2,pp,attained; achieved,AN6.55,soṇasuttaṃ,"yo so, bhante, bhikkhu arahaṃ khīṇ'āsavo vusitavā katakaraṇīyo ohitabhāro <b>anuppatta</b>sadattho parikkhīṇabhavasaṃyojano samma'd'aññāvimutto, so cha ṭhānāni adhimutto hoti",MN39,mahāassapurasuttaṃ,<b>anuppatto</b> no sāmaññ'attho n'atthi no kiñci uttariṃ karaṇīyan'ti,,,,,,
5508,anekapariyāyena,ind,variously; multifariously; in different ways,VIN PAT PA 3,manussaviggahasikkhāpadaṃ,"iti cittamano cittasaṅkappo <b>anekapariyāyena</b> maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya, ayam'pi pārājiko hoti asaṃvāso.",DN14.13,mahāpadānasuttaṃ,"seyyathā'pi, bhante, nikkujjitaṃ vā ukkujjeyya, paṭicchannaṃ vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, andhakāre vā telapajjotaṃ dhāreyya, cakkhumanto rūpāni dakkhantī'ti. evam'evaṃ bhagavatā <b>anekapariyāyena</b> dhammo pakāsito.",VIN PAT PC 68,ariṭṭha sikkhāpada,"<b>anekapariyāyena</b>, āvuso, antarāyikā dhammā antarāyikā vuttā bhagavatā, alañ'ca pana te paṭisevato antarāyāyā'ti.",,,
7141,apphuṭa,pp,unpervaded (with); not suffused (with); not permeated (with),MN39,mahāassapurasuttaṃ,n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena <b>apphuṭaṃ</b> hoti,,,,,,,,,
8200,abhisandeti,pr,fills up; fills to the brim; overflows; drenches,MN39,mahāassapurasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena <b>abhisandeti</b> parisandeti paripūreti parippharati, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti",,,,,,,,,
8201,abhisandeti parisandeti paripūreti parippharati,idiom,"douses, drenches, soaks and saturates",MN39,mahāassapurasuttaṃ,"evam'eva kho, bhikkhave, bhikkhu imam'eva kāyaṃ samādhijena pītisukhena <b>abhisandeti parisandeti paripūreti parippharati</b>",,,,,,,,,
8679,ambho,ind,hey!; yo!; look here!,DN9.6,poṭṭhapādasuttaṃ,"tam'enaṃ evaṃ vadeyyuṃ, <b>ambho</b> purisa, yassa tvaṃ pāsādassa ārohaṇāya nisseṇiṃ karosi, jānāsi taṃ pāsādaṃ puratthimāya vā disāya dakkhiṇāya vā disāya pacchimāya vā disāya uttarāya vā disāya ucco vā nīco vā majjhimo vā'ti?",AN3.36,devadūtasuttaṃ,"<b>ambho</b> purisa, na tvaṃ addasa manussesu itthiṃ vā purisaṃ vā ābādhikaṃ dukkhitaṃ bāḷhagilānaṃ, sake muttakarīse palipannaṃ semānaṃ, aññehi vuṭṭhāpiyamānaṃ, aññehi saṃvesiyamānan'ti?",VIN PAT PA 3,manussaviggaha sikkhāpada,"<b>ambho</b> purisa, kiṃ tuyh'iminā pāpakena dujjīvitena? matan'te jīvitā seyyo'ti",,,
8757,ayaṃ,pron,this; this person; this thing,MN19,dvedhāvitakkasuttaṃ,"etāni, bhikkhave, rukkhamūlāni, etāni suññ'āgārāni. jhāyatha, bhikkhave, mā pamād'attha, mā pacchā vippaṭisārino ahuvattha. <b>ayaṃ</b> vo amhākaṃ anusāsanī'ti.",MN39,mahāassapurasuttaṃ,"so 'idaṃ dukkhan'ti yathābhūtaṃ pajānāti, '<b>ayaṃ</b> dukkhasamudayo'ti yathābhūtaṃ pajānāti, '<b>ayaṃ</b> dukkhanirodho'ti yathābhūtaṃ pajānāti",DN16.36,mahāparinibbānasuttaṃ,"atha kho bhagavā bhikkhū āmantesi, handa dāni, bhikkhave, āmantayāmi vo, vayadhammā saṅkhārā appamādena sampādethā'ti. <b>ayaṃ</b> tathāgatassa pacchimā vācā.",DN22.18,mahāsatipaṭṭhānasuttaṃ,<b>ayam</b>'eva ariyo aṭṭh'aṅgiko maggo seyyath'īdaṃ sammādiṭṭhi sammāsaṅkappo sammāvācā sammākamm'anto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.
8928,arahant,masc,awakened being; fourth stage of the path,Thai,,ciraparinibbutam'pi taṃ bhagavantaṃ uddissa <b>arahantaṃ</b> sammāsambuddhaṃ,SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4",aññataro ca kho pan'āyasmā bhāradvājo <b>arahataṃ</b> ahosī'ti.,AN1.277,"aṭṭhānapāḷi, paṭhamavaggo","aṭṭhānam'etaṃ, bhikkhave, anavakāso yaṃ ekissā lokadhātuyā dve <b>arahanto</b> sammāsambuddhā apubbaṃ acarimaṃ uppajjeyyuṃ",SN11.15,rāmaṇeyyakasuttaṃ,"gāme vā yadi v'āraññe, ninne vā yadi vā thale.
yattha <b>arahanto</b> viharanti, taṃ bhūmirāmaṇeyyakan'ti."
9917,assa 4.2,pron,his; of him; its; of it,Thai,,evaṃ bhāgā ca pana-<b>assa</b> bhagavato sāvakesu anusāsanī bahulā pavattati,SNP56,"ajita māṇava pucchā
pārāyanavaggo 1","avijjāya nivuto loko,
vevicchā pamādā nappakāsati,
japp'ābhilepanaṃ brūmi,
dukkham'<b>assa</b> mahabbhayaṃ.",MN35,cūḷa saccakasuttaṃ,etth'ev'<b>assa</b> sattadhā muddhā phalatī'ti,MN39,mahāassapurasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati, na-<b>assa</b> kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti."
10868,ahaṃ,pron,I,AN8.53,saṃkhittasuttaṃ,"sādhu me, bhante, bhagavā saṃkhittena dhammaṃ desetu, yam<b>'ahaṃ</b> bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā appamattā ātāpinī pahit'attā vihareyyan'ti.",SNP37,"nālakasuttaṃ
mahāvaggo 11","yathā <b>ahaṃ</b> tathā ete,
yathā ete tathā <b>ahaṃ</b>,
attānaṃ upamaṃ katvā,
na haneyya na ghātaye.",SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4","<b>ahaṃ</b> kho, samaṇa, kasāmi ca vapāmi ca. kasitvā ca vapitvā ca bhuñjāmi. tvam'pi, samaṇa, kasassu ca vapassu ca. kasitvā ca vapitvā ca bhuñjassū'ti.",MN82,raṭṭhapālasuttaṃ,"atha kho aññe imaṃ bhogaṃ paṭipajjissanti, <b>ahaṃ</b> pana yathākammaṃ gamissāmī'ti."
11333,ācikkhati 2,pr,describes; points out; shows (something to someone),MN131,bhaddekarattasuttaṃ,"evaṃ vihārim'ātāpiṃ,
ahorattam'atanditaṃ.
taṃ ve bhadd'ekaratto'ti,
santo <b>ācikkhate</b> muni.",,,,,,,,,
13354,icchati 1.1,pr,wishes; wants; desires (to),DHP88,paṇḍitavaggo,"tatr'ābhiratim'<b>iccheyya</b>, hitvā kāme akiñcano",SNP8,mettasuttaṃ,"na paro paraṃ nikubbetha, n'ātimaññetha katthaci naṃ kiñci
byārosanā, paṭīghasaññā, n'āññam'aññassa dukkham'<b>iccheyya</b>.",AN8.23,paṭhamahatthakasuttaṃ,"sādhu sādhu, bhikkhu! app'iccho so, bhikkhu, kulaputto. sante'y'eva attani kusaladhamme na <b>icchati</b> parehi ñāyamāne.",SNP39,"kāmasuttaṃ
aṭṭhakavaggo 1","kāmaṃ kāmayamānassa,
tassa ce taṃ samijjhati,
addhā pītimano hoti,
laddhā macco yad<b>icchati</b>."
13784,imameva,sandhi,this very; this exact same; this here,MN39,mahāassapurasuttaṃ,bhikkhu <b>imam'eva</b> kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti,MN12,mahāsīhanādasuttaṃ,"tath'āyaṃ bhavaṃ puriso paṭipanno tathā ca iriyati tañ'ca maggaṃ samārūḷho, yathā <b>imam'eva</b> rukkhaṃ āgamissatī'ti.",DN22.6,mahāsatipaṭṭhānasuttaṃ,"puna caparaṃ, bhikkhave, bhikkhu <b>imam'eva</b> kāyaṃ yathāṭhitaṃ yathāpaṇihitaṃ dhātuso paccavekkhati atthi imasmiṃ kāye pathavīdhātu āpodhātu tejodhātu vāyodhātū'ti",DN22.5,mahāsatipaṭṭhānasuttaṃ,"puna caparaṃ bhikkhu <b>imam'eva</b> kāyaṃ uddhaṃ pādatalā, adho kesamatthakā, tacapariyantaṃ pūraṃ nānappakārassa asucino paccavekkhati"
13798,imaṃ,pron,this; this person; this thing,SN55.7,veḷudvāreyyasuttaṃ,so <b>imaṃ</b> lokaṃ sadevakaṃ samārakaṃ sabrahmakaṃ sassamaṇabrāhmaṇiṃ pajaṃ sadevamanussaṃ sayaṃ abhiññā sacchikatvā pavedeti.,SNP37,"nālakasuttaṃ
mahāvaggo 11","hitvā icchañ'ca lobhañ'ca,
yattha satto puthujjano,
cakkhumā paṭipajjeyya,
tareyya narakaṃ <b>imaṃ</b>.",SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4","atha kassa c'āhaṃ, bho gotama, <b>imaṃ</b> pāyasaṃ dammī'ti?",MN75,māgaṇḍiyasuttaṃ,"evam'eva kho, māgaṇḍiya, aññatitthiyā paribbājakā andhā acakkhukā ajānantā ārogyaṃ, apassantā nibbānaṃ, atha ca pana-<b>imaṃ</b> gāthaṃ bhāsanti"
