id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
1507,aññatara 1,pron,a certain; a,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4",atha kho <b>aññatarā</b> devatā abhikkantāya rattiyā abhikkantavaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten'upasaṅkami,AN6.61,majjhesuttaṃ,"evaṃ vutte <b>aññataro</b> bhikkhu there bhikkhū etadavoca, phasso kho, āvuso, eko anto, phassasamudayo dutiyo anto, phassanirodho majjhe, taṇhā sibbinī.",SN17.3,kummasuttaṃ,"bhūtapubbaṃ, bhikkhave, <b>aññatarasmiṃ</b> udakarahade mahākummakulaṃ ciranivāsī ahosi.",AN2.16,adhikaraṇavaggo,"atha kho <b>aññataro</b> brāhmaṇo yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavatā saddhiṃ sammodi."
1536,aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,VIN PAT PA 4,uttarimanussadhammasikkhāpadaṃ,"ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ musā vilapin'ti, <b>aññatra</b> adhimānā, ayam'pi pārājiko hoti asaṃvāso.",SNP50,"cūḷabyūhasuttaṃ
aṭṭhakavaggo 12","na h'eva saccāni bahūni nānā,
<b>aññatra</b> saññāya niccāni loke,
takkañ'ca diṭṭhīsu pakappayitvā,
saccaṃ musā'ti dvayadhammam'āhu.",VIN PAT PC 7,dhammadesanā sikkhāpada,"yo pana bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseyya, <b>aññatra</b> viññunā purisaviggahena, pācittiyaṃ.",VIN PAT SA 1,sukkavissaṭṭhi sikkhāpada,sañcetanikā sukkavissaṭṭhi <b>aññatra</b> supin'antā saṅghādiseso'ti.
2741,atthika 2.1,adj,wanting; in need (of); desiring; seeking,SNP22,"uṭṭhānasuttaṃ
cūḷavaggo 10","yāya devā manussā ca,
sitā tiṭṭhanti <b>atthikā</b>,
tarath'etaṃ visattikaṃ,
khaṇo vo mā upaccagā,
khaṇ'ātītā hi socanti,
nirayamhi samappitā.",MN22,alagaddūpamasuttaṃ,"seyyathā'pi, bhikkhave, puriso alagadda-<b>atthiko</b> alagaddagavesī alagaddapariyesanaṃ caramāno. so passeyya mahantaṃ alagaddaṃ. tam'enaṃ bhoge vā naṅguṭṭhe vā gaṇheyya.",MN39,mahāassapurasuttaṃ,"ārocayāmi vo, bhikkhave, paṭivedayāmi vo, bhikkhave, mā vo sāmañña-<b>atthikānaṃ</b> sataṃ sāmaññ'attho parihāyi, sati uttariṃ karaṇīye.",VIN4.8.202,jīvakavatthu,"atha kho sālavatī gaṇikā nacirasseva padakkhiṇā ahosi nacce ca gīte ca vādite ca, abhisaṭā <b>atthikānaṃ</b> <b>atthikānaṃ</b> manussānaṃ paṭisatena ca rattiṃ gacchati."
3037,addhuva,adj,not stable; not enduring; not eternal,DHPa2.13.7,pesakāradhītāvatthu,"<b>addhuvaṃ</b> jīvitaṃ, dhuvaṃ maraṇaṃ, avassaṃ mayā maritabbaṃ, maraṇapariyosānaṃ me jīvitaṃ, jīvitaṃ me aniyataṃ , maraṇaṃ me niyataṃ",MN49,brahmanimantanikasuttaṃ,"yatra hi nāma aniccaṃ'y'eva samānaṃ niccan'ti vakkhati, <b>addhuvaṃ</b>'y'eva samānaṃ dhuvan'ti vakkhati, asassataṃ'y'eva samānaṃ sassatan'ti vakkhati",ITI43,ajātasuttaṃ,"jātaṃ bhūtaṃ samuppannaṃ,
kataṃ saṅkhatam'<b>addhuvaṃ</b>,
jarāmaraṇasaṅghāṭaṃ,
roganīḷaṃ pabhaṅguraṃ.",TH262,tālapuṭattheragāthā,"satthā ca me lokam'imaṃ adhiṭṭhahi,
aniccato <b>addhuvato</b> asārato,
pakkhanda maṃ citta jinassa sāsane,
tārehi oghā mahatā suduttarā."
4140,aniccasaññā,fem,recognition of impermanence (in); perception of instability (in); concept of inconsistency,AN7.27,saññāsuttaṃ,"yāvakīvañ'ca, bhikkhave, bhikkhū <b>aniccasaññaṃ</b> bhāvessanti",AN6.102,anavatthitasuttaṃ,"cha, bhikkhave, ānisaṃse sampassamānena alam'eva bhikkhunā sabbasaṅkhāresu anodhiṃ karitvā <b>aniccasaññaṃ</b> upaṭṭhāpetuṃ. katame cha?",MN62,mahārāhulovādasuttaṃ,"<b>aniccasaññaṃ</b>, rāhula, bhāvanaṃ bhāvehi. <b>aniccasaññañ</b>'hi te, rāhula, bhāvanaṃ bhāvayato yo asmimāno so pahīyissati.",AN10.60,girimānandasuttaṃ,"iti imesu pañcasu upādānakkhandhesu anicc'ānupassī viharati. ayaṃ vuccat'ānanda, <b>aniccasaññā</b>."
5217,anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),SNP1,"uragasuttaṃ
uragavaggo 1","yassa-<b>anusayā</b> na santi keci,
mūlā ca akusalā samūhatāse,
so bhikkhu jahāti orapāraṃ,
urago jiṇṇam'iva tacaṃ purāṇaṃ.",AN6.103,ukkhittāsikasuttaṃ,"nibbāne ca santadassāvī bhavissāmi, <b>anusayā</b> ca me samugghātaṃ gacchissanti, kiccakārī ca bhavissāmi, satthā ca me pariciṇṇo bhavissati mettāvatāyā'ti.",AN10.60,girimānandasuttaṃ,"idh'ānanda, bhikkhu ye loke upādānā cetaso adhiṭṭhān'ābhinivesa-<b>ānusayā</b>, te pajahanto viharati anupādiyanto. ayaṃ vuccat'ānanda, sabbaloke anabhiratasaññā.",,,
5532,anekavihita,adj,various; different kinds of; many different,AN8.2,paññāsuttaṃ,"tassa te āyasmanto avivaṭañ'c'eva vivaranti, anuttānīkatañ'ca uttānī karonti, <b>anekavihitesu</b> ca kaṅkhāṭhāniyesu dhammesu kaṅkhaṃ paṭivinodenti.",MN4,bhayabheravasuttaṃ,"so <b>anekavihitaṃ</b> pubbenivāsaṃ anussarāmi, seyyath'idaṃ, ekam'pi jātiṃ dve'pi jātiyo tisso'pi jātiyo catasso'pi jātiyo pañca'pi jātiyo dasa'pi jātiyo vīsam'pi jātiyo tiṃsam'pi jātiyo",,,,,,
6258,apara 1,adj,another; after; further; next,MN39,mahāassapurasuttaṃ,"vimuttasmiṃ vimuttam'iti ñāṇaṃ hoti, khīṇā jāti, vusitaṃ brahmacariyaṃ, kataṃ karaṇīyaṃ, na-<b>aparaṃ</b> itthattāyā'ti pajānāti",SNP42,"suddhaṭṭhakasuttaṃ
aṭṭhakavaggo 4","purimaṃ pahāya <b>aparaṃ</b> sitāse,
ej'ānugā te na taranti saṅgaṃ,
te uggahāyanti nirassajanti,
kapī'va sākhaṃ pamuñcaṃ gahāyaṃ.",AN6.63,nibbedhikasuttaṃ,"katamo ca, bhikkhave, kammānaṃ vipāko? tividh'āhaṃ, bhikkhave, kammānaṃ vipākaṃ vadāmi, diṭṭh'eva dhamme, upapajje vā, <b>apare</b> vā pariyāye. ayaṃ vuccati, bhikkhave, kammānaṃ vipāko.",VIN1.2.6,kuṭikārasikkhāpadaṃ,"sārambhaṃ nāma ... taracchānaṃ vā āsayo hoti, yesaṃ kesañci tiracchānagatānaṃ pāṇānaṃ āsayo hoti, pubb'aṇṇanissitaṃ vā hoti, <b>apar</b>'aṇṇanissitaṃ vā hoti"
6692,apucchi,aor,asked; enquired (somebody about something),AN11.7,saññāsuttaṃ,"idān'āhaṃ, āvuso, bhagavantaṃ upasaṅkamitvā etam'atthaṃ <b>apucchiṃ</b>. bhagavā'pi me etehi akkharehi etehi padehi etehi byañjanehi etam'atthaṃ byākāsi, seyyathā'pi āyasmā sāriputto.",MN43,mahāvedallasuttaṃ,sādh'āvuso'ti kho āyasmā mahākoṭṭhiko āyasmato sāriputtassa bhāsitaṃ abhinanditvā anumoditvā āyasmantaṃ sāriputtaṃ uttariṃ pañhaṃ <b>apucchi</b>.,MN95,caṅkīsuttaṃ,"sacc'ānurakkhaṇaṃ mayaṃ bhavantaṃ gotamaṃ <b>apucchimha</b>, sacc'ānurakkhaṇaṃ bhavaṃ gotamo byākāsi",,,
6957,appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to),AN8.53,saṃkhittasuttaṃ,"sādhu me, bhante, bhagavā saṃkhittena dhammaṃ desetu, yam'ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā <b>appamattā</b> ātāpinī pahit'attā vihareyyan'ti",SNP13,"ratanasuttaṃ
cūḷavaggo 1","tasmā hi bhūtā nisāmetha sabbe, mettaṃ karotha mānusiyā pajāya.
divā ca ratto ca haranti ye baliṃ, tasmā hi ne rakkhatha <b>appamattā</b>.",SN6.14,aruṇavatīsuttaṃ,"yo imasmiṃ dhammavinaye,
<b>appamatto</b> vihassati,
pahāya jātisaṃsāraṃ,
dukkhass'antaṃ karissatī'ti.",DHP21,appamādavaggo,"appamādo amatapadaṃ,
pamādo maccuno padaṃ,
<b>appamattā</b> na mīyanti,
ye pamattā yathā matā."
