pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),MN51,kandarakasuttaṃ,"pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra <b>akkhātā</b> imesaṃ bhedāya, amutra vā sutvā na imesaṃ <b>akkhātā</b> amūsaṃ bhedāya",SN1.20,samiddhisuttaṃ,"akkheyyañ'ca pariññāya,
<b>akkhātāraṃ</b> na maññati,
tañ'hi tassa na hotī'ti,
yena naṃ vajjā na tassa atthi.",DHP276,maggavaggo,"tumhehi kiccam'ātappaṃ,
<b>akkhātāro</b> tathāgatā,
paṭipannā pamokkhanti,
jhāyino mārabandhanā.",SN22.58,sammāsambuddhasuttaṃ,"tathāgato, bhikkhave, arahaṃ sammāsambuddho anuppannassa maggassa uppādetā, asañjātassa maggassa sañjanetā, anakkhātassa maggassa <b>akkhātā</b> maggaññū, maggavidū, maggakovido, maggānugā ca, bhikkhave, eta'r'ahi sāvakā viharanti pacchāsamannāgatā."
agilāna 1,adj,not sick; healthy,VIN PAT PC 31,āvasathapiṇḍasikkhāpadaṃ,"<b>agilānena</b> bhikkhunā eko āvasathapiṇḍo bhuñjitabbo. tato ce uttari bhuñjeyya, pācittiyaṃ.",VIN PAT PC 39,paṇītabhojanasikkhāpadaṃ,"yāni kho pana tāni paṇītabhojanāni, seyyath'idaṃ, sappi, navanītaṃ, telaṃ, madhu, phāṇitaṃ, maccho, maṃsaṃ, khīraṃ, dadhi. yo pana bhikkhu evarūpāni paṇītabhojanāni <b>agilāno</b> attano atthāya viññāpetvā bhuñjeyya, pācittiyaṃ.",VIN PAT SE 71,pacchatogacchantī sikkhāpada,na pacchato gacchanto purato gacchantassa <b>agilānassa</b> dhammaṃ desessāmī'ti sikkhā karaṇīyā.,,,
acakkhuka,adj,sightless; visionless,SN22.94,pupphasuttaṃ,"yo, bhikkhave, tathāgatena evaṃ ācikkhiyamāne ... na jānāti na passati tam'ahaṃ, bhikkhave, bālaṃ puthujjanaṃ andhaṃ <b>acakkhukaṃ</b> ajānantaṃ apassantaṃ kin'ti karomi!",MN75,māgaṇḍiyasuttaṃ,"evam'eva kho, māgaṇḍiya, aññatitthiyā paribbājakā andhā <b>acakkhukā</b> ajānantā ārogyaṃ, apassantā nibbānaṃ, atha ca pan'imaṃ gāthaṃ bhāsanti",,,,,,
ajānanta,prp,not knowing; being ignorant (of),MN75,māgaṇḍiyasuttaṃ,"evam'eva kho, māgaṇḍiya, aññatitthiyā paribbājakā andhā acakkhukā <b>ajānantā</b> ārogyaṃ, apassantā nibbānaṃ, atha ca pan'imaṃ gāthaṃ bhāsanti",AN3.28,gūthabhāṇīsuttaṃ,"eh'ambho purisa, yaṃ jānāsi taṃ vadehī'ti. so <b>ajānaṃ</b> vā āha, jānāmī'ti, jānaṃ vā āha, na jānāmī'ti, apassaṃ vā āha, passāmī'ti, passaṃ vā āha, na passāmī'ti.",VIN PAT PA 4,uttarimanussadhamma sikkhāpada,"<b>ajānam</b>'evaṃ, āvuso, avacaṃ jānāmi, apassaṃ passāmi. tucchaṃ musā vilapin'ti, aññatra adhimānā, ayam'pi pārājiko hoti asaṃvāso.",SN56.25,āsavakkhayasuttaṃ,"jānato'haṃ, bhikkhave, passato āsavānaṃ khayaṃ vadāmi, no <b>ajānato</b> apassato. kiñ'ca, bhikkhave, jānato passato āsavānaṃ khayo hoti?"
ajānaṃ,prp,not knowing; not understanding,AN10.176,cundasuttaṃ,"so <b>ajānaṃ</b> vā āha jānāmī'ti, jānaṃ vā āha na jānāmī'ti, apassaṃ vā āha passāmī'ti, passaṃ vā āha na passāmī'ti",AN3.28,gūthabhāṇīsuttaṃ,"eh'ambho purisa, yaṃ jānāsi taṃ vadehī'ti. so <b>ajānaṃ</b> vā āha, jānāmī'ti, jānaṃ vā āha, na jānāmī'ti, apassaṃ vā āha, passāmī'ti, passaṃ vā āha, na passāmī'ti.",,,,,,
ajjhattaṃ,ind,internally; inwardly; personally,SN22.59,anattalakkhaṇasuttaṃ,"yaṃ kiñ'ci, bhikkhave, rūpaṃ atīt'ānāgatapaccuppannaṃ <b>ajjhattaṃ</b> vā bahiddhā vā oḷārikaṃ vā sukhumaṃ vā hīnaṃ vā paṇītaṃ vā yaṃ dūre santike vā",MN51,kandarakasuttaṃ,so iminā ariyena sīlakkhandhena samannāgato <b>ajjhattaṃ</b> anavajjasukhaṃ paṭisaṃvedeti,MN107,gaṇakamoggallānasuttaṃ,"uddhaccakukkuccaṃ pahāya anuddhato viharati <b>ajjhattaṃ</b> vūpasantacitto, uddhaccakukkuccā cittaṃ parisodheti",DN22.10,mahāsatipaṭṭhānasuttaṃ,"idha, bhikkhave, bhikkhu santaṃ vā <b>ajjhattaṃ</b> kāmacchandaṃ, atthi me <b>ajjhattaṃ</b> kāmacchando'ti pajānāti, asantaṃ vā <b>ajjhattaṃ</b> kāmacchandaṃ, n'atthi me <b>ajjhattaṃ</b> kāmacchando'ti pajānāti"
aññatara 2,pron,one (of); either one (of),PAT PK,dhammayuttikapubbakiccaṃ,"niṭṭhite ca pubbakicce, sace so divaso cātuddasīpaṇṇarasīsāmaggīnam'<b>aññataro</b>, yath'ājja uposatho paṇṇaraso.",AN3.35,hatthakasuttaṃ,"kacci, bhante, bhagavā sukham'asayitthā'ti? evaṃ, kumāra, sukham'asayitthaṃ. ye ca pana loke sukhaṃ senti, ahaṃ tesaṃ <b>aññataro</b>'ti",SNP38,dvayatānupassanāsuttaṃ,"evaṃ sammā dvayat'ānupassino kho, bhikkhave, bhikkhuno appamattassa ātāpino pahit'attassa viharato dvinnaṃ phalānaṃ <b>aññataraṃ</b> phalaṃ pāṭikaṅkhaṃ, diṭṭh'eva dhamme aññā, sati vā upādisese anāgāmitā'ti.",SN22.79,khajjanīyasuttaṃ,ye hi keci samaṇā vā brāhmaṇā vā anekavihitaṃ pubbenivāsaṃ anussaramānā anussaranti sabb'ete pañc'upādānakkhandhe anussaranti etesaṃ vā <b>aññataraṃ</b>.
aññatitthiya,adj,who belongs to another sect; who follows another religion,MN75,māgaṇḍiyasuttaṃ,"evam'eva kho, māgaṇḍiya, <b>aññatitthiyā</b> paribbājakā andhā acakkhukā ajānantā ārogyaṃ, apassantā nibbānaṃ, atha ca pan'imaṃ gāthaṃ bhāsanti",SN46.53,aggisuttaṃ,"evaṃ puṭṭhā, bhikkhave, <b>aññatitthiyā</b> paribbājakā na c'eva sampāyissanti, uttariñ'ca vighātaṃ āpajjissanti.",,,,,,
aññe,pron,others; other people; the rest,TH251,raṭṭhapālattheragāthā,"rājā ca <b>aññe</b> ca bahū manussā, avītataṇhā maraṇaṃ upenti.
ūnā'va hutvāna jahanti dehaṃ, kāmehi lokamhi na h'atthi titti.",SNP50,"cūḷabyūhasuttaṃ
aṭṭhakavaggo 12","yam'āhu saccaṃ tathiyan'ti eke,
tam'āhu <b>aññe</b> tucchaṃ musā'ti,
evam'pi vigayha vivādayanti,
kasmā na ekaṃ samaṇā vadanti.",SNP43,"paramaṭṭhakasuttaṃ
aṭṭhakavaggo 5","paraman'ti diṭṭhīsu paribbasāno,
yaduttari kurute jantu loke,
hīnā'ti <b>aññe</b> tato sabbam'āha,
tasmā vivādāni avītivatto.",VIN PAT PC 73,mohana sikkhāpada,"tañ'ce bhikkhuṃ <b>aññe</b> bhikkhū jāneyyuṃ, nisinnapubbaṃ iminā bhikkhunā dvattikkhattuṃ pātimokkhe uddissamāne, ko pana vādo bhiyyo'ti"
atta 1.1,masc,self; soul; spirit; essence,SN22.59,anattalakkhaṇasuttaṃ,"yaṃ pan'āniccaṃ dukkhaṃ vipariṇāmadhammaṃ, kallaṃ nu taṃ samanupassituṃ, etaṃ mama, eso'ham'asmi, eso me <b>attā</b>'ti? no h'etaṃ, bhante.",SNP16,"maṅgalasuttaṃ
cūḷavaggo 4","patirūpadesavāso ca, pubbe ca katapuññatā.
<b>atta</b>sammāpaṇidhi ca, etam'maṅgalam'uttamaṃ.",SN22.59,anattalakkhaṇasuttaṃ,"saṅkhārā ca h'idaṃ, bhikkhave, <b>attā</b> abhavissaṃsu, na'y'idaṃ saṅkhārā ābādhāya saṃvatteyyuṃ, labbhetha ca saṅkhāresu, evaṃ me saṅkhārā hontu, evaṃ me saṅkhārā mā ahesun'ti.",DHP380,bhikkhuvaggo,"<b>attā</b> hi attano nātho,
<b>attā</b> hi attano gati,
tasmā saññamay'attānaṃ,
assaṃ bhadraṃ'va vāṇijo."
atthaṅgata 1,pp,(of the sun) set; gone down,DNa2.4.2,mahāsudassanasutta vaṇṇanā,"kiṃ ummatto'si, nanu idān'eva divākaro <b>atthaṅ'gato</b>, so kathaṃ imaṃ puṇṇacandaṃ anubandhamāno uggacchissati?",VIN PAT PC 22,atthaṅgatasikkhāpadaṃ,"sammato'pi ce bhikkhu <b>atthaṅ'gate</b> sūriye bhikkhuniyo ovadeyya, pācittiyaṃ.",,,,,,
atthaṅgate sūriye,idiom,after sunset,VIN PAT PC 22,atthaṅgatasikkhāpadaṃ,"sammato'pi ce bhikkhu <b>atthaṅ'gate sūriye</b> bhikkhuniyo ovadeyya, pācittiyaṃ.",,,,,,,,,
atthaṃ,ind,for the sake (of); for the purpose (of); for the benefit (of),SN12.22,dutiyadasabalasuttaṃ,para-<b>atthaṃ</b> vā hi bhikkhave sampassamānena alam'eva appamādena sampādetuṃ,AN4.25,brahmacariyasuttaṃ,"atha kho idaṃ, bhikkhave, brahmacariyaṃ vussati saṃvara-<b>atthaṃ</b> pahāna-<b>atthaṃ</b> virāga-<b>atthaṃ</b> nirodha-<b>atthan</b>'ti.",AN4.25,brahmacariyasuttaṃ,"na'y'idaṃ, bhikkhave, brahmacariyaṃ vussati janakuhana-<b>atthaṃ</b>, na janalapana-<b>atthaṃ</b>, na lābhasakkārasilok'ānisaṃsa-<b>atthaṃ</b>, na itivādappamokkh'ānisaṃsa-<b>atthaṃ</b>, na iti maṃ jano jānātū'ti",,,
atha ca pana,idiom,and yet; but still,AN6.55,soṇasuttaṃ,"ye kho keci bhagavato sāvakā āraddhavīriyā viharanti, ahaṃ tesaṃ aññataro. <b>atha ca pana</b> me na anupādāya āsavehi cittaṃ vimuccati",SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4","<b>atha ca pana</b> bhavaṃ gotamo evam'āha, aham'pi kho, brāhmaṇa, kasāmi ca vapāmi ca. kasitvā ca vapitvā ca bhuñjāmī'ti.",DN14.11,mahāpadānasuttaṃ,"kicchaṃ vat'āyaṃ loko āpanno, jāyati ca jīyati ca mīyati ca cavati ca upapajjati ca, <b>atha ca pan</b>'imassa dukkhassa nissaraṇaṃ nappajānāti jarāmaraṇassa",MN107,gaṇakamoggallānasuttaṃ,"<b>atha ca pana</b> bhoto gotamassa sāvakā bhotā gotamena evaṃ ovadīyamānā evaṃ anusāsīyamānā appekacce accantaṃ niṭṭhaṃ nibbānaṃ ārādhenti, ekacce n'ārādhentī'ti?"
atha 2,ind,but; rather; even,DHP85,paṇḍitavaggo,"appakā te manussesu,
ye janā pāragāmino,
<b>atha</b>-ayaṃ itarā pajā,
tīram'ev'ānudhāvati.",DHP136,daṇḍavaggo,"<b>atha</b> pāpāni kammāni,
karaṃ bālo na bujjhati,
sehi kammehi dummedho,
aggidaḍḍho'va tappati.",MN107,gaṇakamoggallānasuttaṃ,"<b>atha</b> ca pana bhoto gotamassa sāvakā bhotā gotamena evaṃ ovadīyamānā evaṃ anusāsīyamānā appekacce accantaṃ niṭṭhaṃ nibbānaṃ ārādhenti, ekacce n'ārādhentī'ti?",,,
adinna 1.1,nt,which is not given; something not offered,SN45.8,vibhaṅgasuttaṃ,"pāṇ'ātipātā veramaṇī, <b>adinn</b>'ādānā veramaṇī, kāmesumicchācārā veramaṇī, ayaṃ vuccati bhikkhave sammākamm'anto.",AN3.71,uposathasuttaṃ,"pāṇaṃ na haññe na c'<b>adinnam</b>'ādiye,
musā na bhāse na ca majjapo siyā,
abrahmacariyā virameyya methunā,
rattiṃ na bhuñjeyya vikālabhojanaṃ.",SNP7,"vasalasuttaṃ
uragavaggo 7","gāme vā yadi vā raññe,
yaṃ paresaṃ mamāyitaṃ,
theyyā <b>adinnam</b>'ādeti,
taṃ jaññā vasalo iti.",VIN PAT PA 2,adinnādāna sikkhāpada,"coro'si, bālo'si, mūḷho'si, theno'sī'ti, tathārūpaṃ bhikkhu <b>adinnaṃ</b> ādiyamāno, ayam'pi pārājiko hoti asaṃvāso."
adinnaṃ ādiyamāna,idiom,taking something which is not offered,VIN PAT PA 2,adinnādānasikkhāpadaṃ,"coro'si bālo'si mūḷho'si theno'sī'ti, tathārūpaṃ bhikkhu <b>adinnaṃ ādiyamāno</b> ayam'pi pārājiko hoti asaṃvāso.",,,,,,,,,
anātura,adj,healthy; free from suffering,SN22.1,nakulapitusuttaṃ,"tasmā't'iha te, gahapati, evaṃ sikkhitabbaṃ, āturakāyassa me sato cittaṃ <b>anāturaṃ</b> bhavissatī'ti. evañ'hi te, gahapati, sikkhitabban'ti.",DHP198,sukhavaggo,"susukhaṃ vata jīvāma,
āturesu <b>anāturā</b>,
āturesu manussesu,
viharāma <b>anāturā</b>.",,,,,,
