id,pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
761,aṅga 3,nt,factor; component; element; quality; aspect,SN12.41,pañcaverabhayasuttaṃ,"yato kho, gahapati, ariyasāvakassa pañca bhayāni verāni vūpasantāni honti, catūhi ca sotāpatti'y'<b>aṅgehi</b> samannāgato hoti",AN8.13,assājānīyasuttaṃ,"aṭṭhahi, bhikkhave, <b>aṅgehi</b> samannāgato rañño bhaddo ass'ājānīyo rāj'āraho hoti rājabhoggo, rañño <b>aṅgan</b>'t'eva saṅkhaṃ gacchati. katamehi aṭṭhahi?",AN10.8,jhānasuttaṃ,"saddho ca, bhikkhave, bhikkhu hoti, no ca sīlavā. evaṃ so ten'<b>aṅgena</b> aparipūro hoti. tena taṃ <b>aṅgaṃ</b> paripūretabbaṃ, kin't'āhaṃ saddho ca assaṃ, sīlavā cā'ti!",AN5.198,vācāsuttaṃ,"imehi kho, bhikkhave, pañcahi <b>aṅgehi</b> samannāgatā vācā subhāsitā hoti, no dubbhāsitā, anavajjā ca ananuvajjā ca viññūnan'ti."
2598,attha 1.2,masc,benefit; profit; good; welfare,SNP8,mettasuttaṃ,"karaṇīyam'<b>attha</b>kusalena,
yaṃ taṃ santaṃ padaṃ abhisamecca,
sakko ujū ca suhujū ca,
suvaco c'assa mudu, anatimānī.",AN5.198,vācāsuttaṃ,"kālena ca bhāsitā hoti, saccā ca bhāsitā hoti, saṇhā ca bhāsitā hoti, <b>attha</b>saṃhitā ca bhāsitā hoti, mettacittena ca bhāsitā hoti.",,,,,,
2696,atthasaṃhita,adj,profitable; meaningful; beneficial,MN51,kandarakasuttaṃ,kālavādī bhūtavādī atthavādī dhammavādī vinayavādī nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ <b>atthasaṃhitaṃ</b>,MN139,araṇavibhaṅgasuttaṃ,yañ'ca kho jaññā rahovādaṃ bhūtaṃ tacchaṃ <b>atthasaṃhitaṃ</b> tatra kālaññū assa tassa rahovādassa vacanāya.,AN5.198,vācāsuttaṃ,"kālena ca bhāsitā hoti, saccā ca bhāsitā hoti, saṇhā ca bhāsitā hoti, <b>atthasaṃhitā</b> ca bhāsitā hoti, mettacittena ca bhāsitā hoti.",,,
2748,atthitā,fem,existence; idea of existence; fact of being present,PAT PK,dhammayuttikapubbakiccaṃ,"tattha purimesu catūsu kiccesu padīpakiccaṃ idāni suriy'ālokassa <b>atthitāya</b> n'atthi, aparāni tīṇi bhikkhūnaṃ vattaṃ jānantehi bhikkhūhi katāni pariniṭṭhitāni honti.",SN12.15,kaccānagottasuttaṃ,"dvayanissito khv'āyaṃ, kaccāna, loko yebhuyyena, <b>atthitañ</b>'c'eva natthitañ'ca. lokasamudayaṃ kho, kaccāna, yathābhūtaṃ sammappaññāya passato yā loke natthitā sā na hoti. lokanirodhaṃ kho, kaccāna, yathābhūtaṃ sammappaññāya passato yā loke <b>atthitā</b> sā na hoti.",,,,,,
3016,addhāna 1,nt,long road; highroad; journey,MN39,mahāassapurasuttaṃ,bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan'āgāraṃ yathā dāsabyaṃ yathā kantāra-<b>addhāna</b>maggaṃ,VIN PAT PC 32,gaṇabhojanasikkhāpadaṃ,"tatth'āyaṃ samayo, gilānasamayo, cīvaradānasamayo, cīvarakārasamayo, <b>addhāna</b>gamanasamayo, nāv'ābhiruhanasamayo, mahāsamayo, samaṇabhattasamayo, ayaṃ tattha samayo.",AN5.29,caṅkamasuttaṃ,"<b>addhāna</b>kkhamo hoti, padhānakkhamo hoti, app'ābādho hoti, asitaṃ pītaṃ khāyitaṃ sāyitaṃ sammā pariṇāmaṃ gacchati, caṅkam'ādhigato samādhi ciraṭṭhitiko hoti.",,,
3019,addhānakkhama,adj,able to endure a journey,AN5.29,caṅkamasuttaṃ,"<b>addhānakkhamo</b> hoti, padhānakkhamo hoti, app'ābādho hoti, asitaṃ pītaṃ khāyitaṃ sāyitaṃ sammā pariṇāmaṃ gacchati, caṅkam'ādhigato samādhi ciraṭṭhitiko hoti. ime kho, bhikkhave, pañca caṅkame ānisaṃsā'ti.",,,,,,,,,
3207,adhiṭṭhāna 2,nt,standpoint; prejudice; bias; preconception,MN22,alagaddūpamasuttaṃ,so suṇāti tathāgatassa vā tathāgatasāvakassa vā sabbesaṃ diṭṭhiṭṭhāna-<b>adhiṭṭhāna</b>-pariyuṭṭhāna-abhinivesa-anusayānaṃ samugghātāya sabbasaṅkhārasamathāya sabb'ūpadhipaṭinissaggāya taṇhākkhayāya virāgāya nirodhāya nibbānāya dhammaṃ desentassa.,SN12.15,kaccānagottasuttaṃ,"upay'upādān'ābhinivesavinibandho khv'āyaṃ, kaccāna, loko yebhuyyena. tañ'c'āyaṃ upay'upādānaṃ cetaso <b>adhiṭṭhānaṃ</b> abhinives'ānusayaṃ na upeti na upādiyati n'ādhiṭṭhāti, attā me'ti.",,,,,,
3661,ananuvajja,ptp,not blameworthy (for); praiseworthy (for); faultless (for),AN5.198,vācāsuttaṃ,"imehi kho, bhikkhave, pañcahi aṅgehi samannāgatā vācā subhāsitā hoti, no dubbhāsitā, anavajjā ca <b>ananuvajjā</b> ca viññūnan'ti.",AN2.135,āyācanavaggo,"dvīhi, bhikkhave, dhammehi samannāgato paṇḍito viyatto sappuriso akkhataṃ anupahataṃ attānaṃ pariharati anavajjo ca hoti <b>ananuvajjo</b> ca viññūnaṃ bahuñ'ca puññaṃ pasavati.",,,,,,
3849,anavajja 1,ptp,irreproachable; faultless; blameless; innocent,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4","dānañ'ca dhammacariyā ca, ñātakānañ'ca saṅgaho.
<b>anavajjāni</b> kammāni, etam'maṅgalam'uttamaṃ.",SNP51,"mahābyūhasuttaṃ
aṭṭhakavaggo 13","sīlabbataṃ vā'pi pahāya sabbaṃ,
kammañ'ca sāvajj'<b>anavajjam</b>'etaṃ,
suddhiṃ asuddhin'ti apatthayāno,
virato care santim'anuggahāya.",MN27,cūḷa hatthipadopamasuttaṃ,so iminā ariyena sīlakkhandhena samannāgato ajjhattaṃ <b>anavajja</b>sukhaṃ paṭisaṃvedeti,AN5.198,vācāsuttaṃ,"imehi kho, bhikkhave, pañcahi aṅgehi samannāgatā vācā subhāsitā hoti, no dubbhāsitā, <b>anavajjā</b> ca ananuvajjā ca viññūnan'ti."
4635,anupagamma 1,ger,avoiding; not going near,SN56.11,dhammacakkappavattanasuttaṃ,"ete te, bhikkhave, ubho ante <b>anupagamma</b> majjhimā paṭipadā tathāgatena abhisambuddhā, cakkhukaraṇī ñāṇakaraṇī upasamāya abhiññāya sambodhāya nibbānāya saṃvattati.",SNP8,mettasuttaṃ,"diṭṭhiñ'ca <b>anupagamma</b>,
sīlavā dassanena sampanno,
kāmesu vineyya gedhaṃ,
na hi jātuggabbhaseyya punar'etī'ti.",SN12.15,kaccānagottasuttaṃ,"sabbaṃ atthī'ti kho, kaccāna, ayam'eko anto. sabbaṃ n'atthī'ti ayaṃ dutiyo anto. ete te, kaccāna, ubho ante <b>anupagamma</b> majjhena tathāgato dhammaṃ deseti",,,
