id	lemma	pos	root_key	family_root	meaning	ru_meaning	ru_meaning_lit	ru_meaning_raw	ru_cognate	corrections_ru_meaning	corrections_ru_meaning_lit	notes
13	akaṭa 1	pp	√kar	√kar	not done; not performed; not acted	(о каком-либо действии) не сделанный; не выполненный; не осуществлённый						
14	akaṭa 2	pp	√kar	√kar	not made; not created; unfashioned	(о создании чего-то) не сделанный; не созданный; не сформированный						
32	akata 1	pp	√kar	√kar	not done; not performed; not acted	(о каком-либо действии) не сделанный; не выполненный; не осуществлённый						
33	akata 2	pp	√kar	√kar	not made; not created	(о создании чего-то) не сделанный; не созданный; не сформированный						
34	akata 3	nt	√kar	√kar	something not done; unperformed action; undone deed; lit. not done	что-то не сделанное; невыполненное действие						
35	akata 4	pp	√kar	√kar	(of gold) not formed; not shaped; unwrought	(о золоте и т. д.) не обработанный; с не приданной формой; неотделанный						
48	akatato	ind	√kar	√kar	as uncompleted; as not done	как что-то не сделанное; как что-то незавершённое						
49	akatatta 1.1	nt	√kar	√kar	fact of not having done; lit. not done state	(о каком-либо действии) несделанностъ; невыполненность; несовершённость	не-сделанность					
50	akatatta 1.2	nt	√kar	√kar	fact of not having made; lit. not done state	не выполнение; не совершение	не-сделанность					
68	akattha 1	aor	√kar	√kar	you all did; you all made	(о группе) вы сделали; вы исполнили						
70	akatvā 1	abs	√kar	√kar	having not done; having not performed	(о каком-либо действии) не сделав; не исполнив; не выполнив; не совершив; не проделав						
71	akatvā 2	abs	√kar	√kar	having not made	(о создании чего-то) не сделав; не подготовив						
102	akamma 1	nt	√kar	√kar	not work (for); unsuitable work (for); criminal (for)	не работа (для); неподходящая деятельность (для); преступное деяние (для)						
103	akammaka 2	adj	√kar	√kar	(gram) intransitive; not taking an object; lit. no object	(грам) непереходный; не требующий дополнения в винительном падеже	не обладающий деланием					
104	akammañña	adj	√kar	√kar	not fit for work; not useable; not good for anything; lit. not workable	негодный для работы; никуда не годный	не относящийся к работе					
105	akammaññatara	adj	√kar	√kar	less pliable; less bendable; less malleable	менее податливый; менее гибкий; менее пластичный	более не относящийся к работе					
111	akayiramāna	prp	√kar	√kar	not being done; not being made	не делаемый; не совершаемый; не подвергающийся действию						
112	akaraṇa 1	nt	√kar	√kar	non-doing; non-performance (of); abstention (from)	не-делание; отсутствие действия; не совершение; воздержание (от)	не-делание					
113	akaraṇīya 1	ptp	√kar	√kar	should not be done (by); lit. not to be done	не должен быть сделанным; не подлежит выполнению	не к совершению					
114	akaraṇīya 2	ptp	√kar	√kar	undoable (for); lit. not to be done	не может быть сделанным (кем-то); невыполнимый	не к исполнению					
115	akaraṇīya 3	nt	√kar	√kar	something which should not be done; improper action; lit. not to be done	что-то, чему не следует быть сделанным; неправильное действие; что-то, от чего следует воздержаться	не к совершению					
116	akaramha	aor	√kar	√kar	we did; we made	мы сделали; мы создали						
117	akari 1	aor	√kar	√kar	did; practiced; performed	(о каком-либо действии); выполнил; исполнил; совершил; проделал						
118	akaritvā	abs	√kar	√kar	having not built	не сделав; не построив; не исполнив; не совершив						
