id	pos	lemma	root_key	family_root	meaning	ru_meaning	ru_meaning_lit	ru_meaning_raw	corrections_ru_meaning	corrections_ru_meaning_lit	notes
13	pp	akaṭa 1	√kar	√kar	not done; not performed; not acted	не сделанный; не совершенный					
14	pp	akaṭa 2	√kar	√kar	not made; not created; unfashioned	не сделанный; не созданный; не сформированный					
32	pp	akata 1	√kar	√kar	not done; not performed; not acted	не выполненный; не сделанный					
33	pp	akata 2	√kar	√kar	not made; not created	не сделанный; не созданный; не произведенный					
34	nt	akata 3	√kar	√kar	something not done; unperformed action; undone deed; lit. not done	что-то не сделанное; невыполненное действие					
35	pp	akata 4	√kar	√kar	(of gold) not formed; not shaped; unwrought	не имеющий формы; неоформленный; необработанный					
48	ind	akatato	√kar	√kar	as uncompleted; as not done	как незавершённый; как не сделанный					
49	nt	akatatta 1.1	√kar	√kar	fact of not having done; lit. not done state			факт неделания; досл. несделанное состояние			
50	nt	akatatta 1.2	√kar	√kar	fact of not having made; lit. not done state	не выполнение; не совершение	состояние не сделанного				
68	aor	akattha	√kar	√kar	you all did; you all made	вы все сделали; вы все сотворили					
70	abs	akatvā 1	√kar	√kar	having not done; having not performed			не сделав; не исполнив			
71	abs	akatvā 2	√kar	√kar	having not made			не сделав			
102	nt	akamma 1	√kar	√kar	not work (for); unsuitable work (for); criminal (for)	неподходящая деятельность (для); преступное деяние (для)					
103	adj	akammaka 2	√kar	√kar	(gram) intransitive; not taking an object; lit. no object	(грам) непереходный; не требующий дополнения в винительном падеже	нет объекта				
104	adj	akammañña	√kar	√kar	not fit for work; not useable; not good for anything; lit. not workable	негодный для работы; никуда не годный	не работоспособный				
105	adj	akammaññatara	√kar	√kar	less pliable; less bendable; less malleable			менее податливый; менее гибкий; менее пластичный			
111	prp	akayiramāna	√kar	√kar	not being done; not being made			не делаемый; не производимый			
112	nt	akaraṇa 1	√kar	√kar	non-doing; non-performance (of); abstention (from)	не-делание; отсутствие действия; не совершение					
113	ptp	akaraṇīya 1	√kar	√kar	should not be done (by); lit. not to be done	не должен быть сделан; не может быть выполнен					
114	ptp	akaraṇīya 2	√kar	√kar	undoable (for); lit. not to be done	не подлежащий выполнению	не к исполнению				
115	nt	akaraṇīya 3	√kar	√kar	something which should not be done; improper action; lit. not to be done			что-то, что не должно быть сделано; неправильное действие; досл. то, что не должно быть сделано			
116	aor	akaramha	√kar	√kar	we did; we made	мы сделали; мы создали					
117	aor	akari 1	√kar	√kar	did; practiced; performed	делал; практиковал; выполнял					
118	abs	akaritvā	√kar	√kar	having not built	не построив; не создав; не сделав					
121	cond	akarissa	√kar	√kar	would have done; would have made			сделал бы; создал бы			
122	prp	akaronta 1	√kar	√kar	not doing; not performing	не делающий; не осуществляющий; не выполняющий					
140	aor	akaṃsu 1	√kar	√kar	they did; they practiced; they performed	они совершили					
141	aor	akaṃsu 2	√kar	√kar	they made	они сделали; они создали					
142	imperf	akā	√kar	√kar	did; made; performed	сделал; совершил; выполнил					
153	masc	akāraka 1	√kar	√kar	not the doer; not the perpetrator; innocent	не деятель; не исполнитель; не преступник; невиновный					
154	nt	akāraṇa 1	√kar	√kar	(in debate) counter-argument; counter-position; lit. not causing to do	(в дискуссии) контраргумент; ответный довод					
155	nt	akāraṇa 2	√kar	√kar	what is not the cause; lit. not causing to do			то, что не является причиной; досл. не вызывающий делать			
156	fem	akāraṇatā	√kar	√kar	fact of not being a reason; non-causality; non-causation; lit. not causing to do state			факт отсутствия причины; неверность причинности; недетерминированность; досл. не вызывающий состояние			
159	aor	akārayi	√kar	√kar	wielded; exercised; lit. caused to do	управлял; осуществлял власть	заставлял делать				
