index	pali_chant	english_chant	chapter
1	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem
2	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem
3	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem
4	Dhamm’ābhitthuti	Homage to the Dhamma	Homage to the Triple Gem
5	Saṅgh'ābhitthuti	Homage to the Saṅgha	Homage to the Triple Gem
6	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem
7	Buddha-paṭhama-bhāsita	The Buddha’s First Exclamation	Verses
8	Dhamma-gārava	Respect for the Dhamma	Verses
9	Khem’ākhema-saraṇa-gamana	Going to True and False Refuges	Verses
10	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses
11	Ti-lakkhaṇā	The Three Characteristics	Verses
12	Bhārā	The Burdens	Verses
13	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses
14	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses
15	Tāyana-gāthā	On Protection	Verses
16	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses
17	Bhadd’eka-ratta	A single Excellent Night	Verses
18	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings
19	Anupubba-sikkhā	The Gradual Training	Teachings
20	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings
21	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings
22	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings
23	Ānāpānassati	Mindfulness of Breathing	Teachings
24	Paṭicca-samuppāda	Dependent Origination	Teachings
25	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings
26	Cattāro mahāpadesā	The Four Great References	Teachings
27	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings
28	Aparihāniya-dhammā	Principles of Non-Decline	Teachings
29	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings
30	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings
31	Cattaro parikkhāra	The Four Requisites	Reflections
32	Āhāra-paṭikūla-paccavekkhaṇa-pāṭho	The Repulsiveness of Food	Reflections
33	Mettā-pharaṇa	Universal Well-Being	Reflections
34	Brahmavihārā	The Divine Abidings	Reflections
35	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections
36	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections
37	Dvattiṃs’ākāra-paccavekkhaṇa	The Thirty-Two Parts	Reflections
38	Anicc’ānussati	Recollection of Impermanence	Reflections
39	Dhammacakkappavattana-sutta	The Discourse on  Setting in Motion The Wheel of Dhamma	Cardinal Suttas
40	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas
41	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas
42	Yathā vāri-vahā		Thanksgiving Recitations
43	Ratanattayānubhāv’ādi-gāthā		Thanksgiving Recitations
44	Bhojana-dānānumodanā		Thanksgiving Recitations
45	Culla-maṅgala-cakka-vāḷa		Thanksgiving Recitations
46	Aggappasāda-sutta-gāthā		Thanksgiving Recitations
47	Kāla-dāna-sutta-gāthā		Thanksgiving Recitations
48	So attha-laddho		Thanksgiving Recitations
49	Devā-ārādhanā		Protective Recitations
50	Saraṇa-gamana-pāṭho		Protective Recitations
51	Nama-kāra-siddhi-gāthā		Protective Recitations
52	Namo-kāra-aṭṭhaka		Protective Recitations
53	Maṅgala-sutta	The Highest Blessings	Protective Recitations
54	Ratana-sutta		Protective Recitations
55	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations
56	Khandha-parittaṃ		Protective Recitations
57	Buddha-dhamma-saṅgha-guṇā		Protective Recitations
58	Yaṅ kiñci ratanaṃ loke		Protective Recitations
59	Bojjh’aṅga-parittaṃ		Protective Recitations
60	Abhaya-parittaṃ		Protective Recitations
61	Devatā-uyyojana-gāthā		Protective Recitations
62	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations
63	Jaya-parittaṃ		Protective Recitations
64	Bhavatu-sabba-maṅgalaṃ		Protective Recitations
65	Dhamma-saṅgaṇī-mātikā		Funeral Chants
66	Vipassanā-bhūmi-pāṭho		Funeral Chants
67	Paṭṭhāna-mātikā-pāṭho		Funeral Chants
68	Adāsi-me ādi gāthā		Funeral Chants
69	Paṃsu-kūla		Funeral Chants
70	Uddissan'ādhiṭṭhānā	Sharing and Aspirations	Sharing of Merits
71	Sabba-patti-dāna	Sharing of All Merits	Sharing of Merits
72	Peta-patti-dāna	Sharing of Merits with the Departed	Sharing of Merits
73	Devata-patti-dāna	Sharing of Merits with the Devas	Sharing of Merits
74	Paramāya pūjāyañca paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits
75	Pubbakicca	Preliminary duty	International Pātimokkha
76	Sīl'uddesa-pāṭha	Recitation of virtue	Post Pātimokkha
77	Pubba-bhāga	Preliminary Homage	Post Pātimokkha
78	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Post Pātimokkha
