class	course	link
1	Beginner Pāli Course	https://docs.google.com/document/d/1mXn2uQyPoFjpqKj5xKAPEFdb25pLwQ2yOxTiLeAh4_c/
2	Beginner Pāli Course	https://docs.google.com/document/d/14ZtcfunRroZl5yvxQdUojMXOj83IAqhIWFUjw5hC2pY/#heading=h.bod5s6fzd58v
3	Beginner Pāli Course	https://docs.google.com/document/d/14ZtcfunRroZl5yvxQdUojMXOj83IAqhIWFUjw5hC2pY/#heading=h.rjtxhuhgy6n
4	Beginner Pāli Course	https://docs.google.com/document/d/14ZtcfunRroZl5yvxQdUojMXOj83IAqhIWFUjw5hC2pY/#heading=h.100477yz6o8v
5	Beginner Pāli Course	https://docs.google.com/document/d/14ZtcfunRroZl5yvxQdUojMXOj83IAqhIWFUjw5hC2pY/#heading=h.onvs4jxc8pa1
6	Beginner Pāli Course	https://docs.google.com/document/d/14ZtcfunRroZl5yvxQdUojMXOj83IAqhIWFUjw5hC2pY/#heading=h.v8x44vohf3o5
7	Beginner Pāli Course	https://docs.google.com/document/d/14ZtcfunRroZl5yvxQdUojMXOj83IAqhIWFUjw5hC2pY/#heading=h.tyjcwt
8	Beginner Pāli Course	https://docs.google.com/document/d/11qnZ0ZmhmCCMv8A8cypJbBEtTkJogwHapQevFFknukA/#heading=h.wrrj55pw4m6e
9	Beginner Pāli Course	https://docs.google.com/document/d/11qnZ0ZmhmCCMv8A8cypJbBEtTkJogwHapQevFFknukA/#heading=h.1t3h5sf
10	Beginner Pāli Course	https://docs.google.com/document/d/11qnZ0ZmhmCCMv8A8cypJbBEtTkJogwHapQevFFknukA/#heading=h.t1bc1uitkobu
11	Beginner Pāli Course	https://docs.google.com/document/d/11qnZ0ZmhmCCMv8A8cypJbBEtTkJogwHapQevFFknukA/#heading=h.z4j703tr6d5a
12	Beginner Pāli Course	https://docs.google.com/document/d/1UfbHEn3KJxSWB1xQteULZmUOTvFONrgXoJ1tmm7Ma-Q/#heading=h.80qz1owsd7b5
13	Beginner Pāli Course	https://docs.google.com/document/d/1UfbHEn3KJxSWB1xQteULZmUOTvFONrgXoJ1tmm7Ma-Q/#heading=h.dwyqzs5afpof
14	Beginner Pāli Course	https://docs.google.com/document/d/1UfbHEn3KJxSWB1xQteULZmUOTvFONrgXoJ1tmm7Ma-Q/#heading=h.ucte9fhslqzo
15	Beginner Pāli Course	https://docs.google.com/document/d/1UfbHEn3KJxSWB1xQteULZmUOTvFONrgXoJ1tmm7Ma-Q/#heading=h.u8fsdnalb1lu
16	Intermediate Pāli Course	https://docs.google.com/document/d/10k828FOENjhbYtu7EAD3xuuAX4EOSSmhciIXmAbP2qw/#heading=h.ieqvrr45325
17	Intermediate Pāli Course	https://docs.google.com/document/d/10k828FOENjhbYtu7EAD3xuuAX4EOSSmhciIXmAbP2qw/#heading=h.rjtxhuhgy6n
18	Intermediate Pāli Course	https://docs.google.com/document/d/10k828FOENjhbYtu7EAD3xuuAX4EOSSmhciIXmAbP2qw/#heading=h.100477yz6o8v
19	Intermediate Pāli Course	https://docs.google.com/document/d/10k828FOENjhbYtu7EAD3xuuAX4EOSSmhciIXmAbP2qw/#heading=h.onvs4jxc8pa1
20	Intermediate Pāli Course	https://docs.google.com/document/d/1RK3BFVPlRoJZMvCOYGvU3fUW0EdLbPrtztjQACxbybA/#heading=h.v8x44vohf3o5
21	Intermediate Pāli Course	https://docs.google.com/document/d/1RK3BFVPlRoJZMvCOYGvU3fUW0EdLbPrtztjQACxbybA/#heading=h.tyjcwt
22	Intermediate Pāli Course	https://docs.google.com/document/d/1RK3BFVPlRoJZMvCOYGvU3fUW0EdLbPrtztjQACxbybA/#heading=h.wrrj55pw4m6e
23	Intermediate Pāli Course	https://docs.google.com/document/d/1RK3BFVPlRoJZMvCOYGvU3fUW0EdLbPrtztjQACxbybA/#heading=h.1t3h5sf
24	Intermediate Pāli Course	https://docs.google.com/document/d/1RK3BFVPlRoJZMvCOYGvU3fUW0EdLbPrtztjQACxbybA/#heading=h.lwpk09449ssl
25	Intermediate Pāli Course	https://docs.google.com/document/d/1afXpWDCOCeS9WlbmjaMFDhonlCdbV5PHh-kJoE5WKig/#heading=h.z4j703tr6d5a
26	Intermediate Pāli Course	https://docs.google.com/document/d/1afXpWDCOCeS9WlbmjaMFDhonlCdbV5PHh-kJoE5WKig/#heading=h.sk4u9brgnemh
27	Intermediate Pāli Course	https://docs.google.com/document/d/1afXpWDCOCeS9WlbmjaMFDhonlCdbV5PHh-kJoE5WKig/#heading=h.rv9spkkfvx2x
28	Intermediate Pāli Course	https://docs.google.com/document/d/1afXpWDCOCeS9WlbmjaMFDhonlCdbV5PHh-kJoE5WKig/#heading=h.4v3u5rvy4m7q
29	Intermediate Pāli Course	https://docs.google.com/document/d/1afXpWDCOCeS9WlbmjaMFDhonlCdbV5PHh-kJoE5WKig/#heading=h.llwlmldo2ibx
30	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.xt3055kj3u3f
31	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.h6g3ex3hsr1l
32	Advanced Pāli Course	https://docs.google.com/document/d/1VoFPr2jqJbQEQgT_UbuhxpzHM_H_mqX3BCy3vMdqiUc/#heading=h.csnptkyfuic9
