pos	examples
abs	спросив, поднявшись, сделав, преодолев, покинув, подойдя, прибыв, возвратившись
adj	знающий, свободный, плохой, мягкий, верхний, полый, незрячий, тугой, личный
aor	сделал, сказал, пришел, вырезал, увидел, исчез, поджег, появился, замер, колебался
card	тридцать (30), девять (9), четыре (4), сорок (40)
fem	неприязнь, жалость, работа, сила, бойня, самка, женщина
fut	будет, объясит, сделает, возьмет, разрушит, поймет
ger	понимая, проникая, видя, избегая, беря, досл. приблизившись, досл. привязавшись
ind	скоро, сейчас, внутри, дольше, слишком, между, точно, открыто, так, раньше
inf	добиваться, продолжать, защищать, объяснять, делать, смотреть, винить
masc	костер, помощник, проступок, скелет, водоем, вопрос, период, владыка, вред
nt	делание, состояние, слово, одеяние, наставление, отсутствие, путешествие
opt	следует сделать; должен совершить; может выполнить; мог бы исполнить
ordin	восьмой (8ой), шестой (6ой), тринадцатый (13ый)
pp	созданный, раненный, понятый, потраченный, удаленный, достигнутый, запятнанный
pr	живет, одевает, смотрит, выходит, хвалит, ложится, является, рождается, вводится, пачкается
prp	обучаемый, волнующийся, подвергаемый, принимая, зная, вращая, давая
ptp	следует оспорить, досл. к опровержению; должен быть уважаем, досл. к почитанию; подлежит совершению, досл. к исполнению
imperf	утвердился; установился
