Pali Word;Source ID;Pali Sentence;English Translation
brāhmaṇakarāṇā;pli-tv-kd1:2.2.5;kittāvatā nu kho, bho gotama, brāhmaṇo hoti, katame ca pana brāhmaṇakaraṇā dhammāti? ;Good Gotama, how is one a brahmin? What are the qualities that make one a brahmin? 
asaṇṭhahantā;pli-tv-kd1:6.11.2;Asaṇṭhahantā bhagavantaṃ paccuggantvā eko bhagavato pattacīvaraṃ paṭiggahesi, eko āsanaṃ paññapesi, eko pādodakaṃ, eko pādapīṭhaṃ, eko pādakaṭhalikaṃ upanikkhipi. ;One went to meet him to receive his bowl and robe, another prepared a seat, another set out water for washing the feet, yet another set out a foot stool, and the last one put out a foot scraper. 
pakhūpāsi;pli-tv-kd1:15.3.2;Addasā kho so nāgo bhagavantaṃ paviṭṭhaṃ, disvāna dummano padhūpāyi. ;When the dragon saw that the Buddha had entered, he was displeased and emitted smoke. 
ujjalituṃ;pli-tv-kd1:20.13.1;Tena kho pana samayena te jaṭilā aggiṃ paricaritukāmā na sakkonti aggiṃ ujjaletuṃ. ;Those ascetics still wanted to tend the sacred fire, but were unable to light it. 
dvādasaniyutānaṃ;pli-tv-kd1:22.4.1;Atha kho tesaṃ dvādasanahutānaṃ māgadhikānaṃ brāhmaṇagahapatikānaṃ etadahosi—;They thought, 
sañcayāni;pli-tv-kd1:24.5.3;aputtakatāya paṭipanno samaṇo gotamo, vedhabyāya paṭipanno samaṇo gotamo, kulupacchedāya paṭipanno samaṇo gotamo, idāni anena jaṭilasahassaṃ pabbājitaṃ, imāni ca aḍḍhateyyāni paribbājakasatāni sañcayāni pabbājitāni. ;"The ascetic Gotama is making us childless; he’s making us widows. He’s breaking up good families! A thousand dreadlocked ascetics have now gone forth because of him, and also these two hundred and fifty wanderers who were disciples of Sañcaya. "
sañjeyyāni;pli-tv-kd1:24.5.3;aputtakatāya paṭipanno samaṇo gotamo, vedhabyāya paṭipanno samaṇo gotamo, kulupacchedāya paṭipanno samaṇo gotamo, idāni anena jaṭilasahassaṃ pabbājitaṃ, imāni ca aḍḍhateyyāni paribbājakasatāni sañcayāni pabbājitāni. ;"The ascetic Gotama is making us childless; he’s making us widows. He’s breaking up good families! A thousand dreadlocked ascetics have now gone forth because of him, and also these two hundred and fifty wanderers who were disciples of Sañcaya. "
sañjayāni;pli-tv-kd1:24.5.3;aputtakatāya paṭipanno samaṇo gotamo, vedhabyāya paṭipanno samaṇo gotamo, kulupacchedāya paṭipanno samaṇo gotamo, idāni anena jaṭilasahassaṃ pabbājitaṃ, imāni ca aḍḍhateyyāni paribbājakasatāni sañcayāni pabbājitāni. ;"The ascetic Gotama is making us childless; he’s making us widows. He’s breaking up good families! A thousand dreadlocked ascetics have now gone forth because of him, and also these two hundred and fifty wanderers who were disciples of Sañcaya. "
sañjeyyake;pli-tv-kd1:24.5.8;Sabbe sañcaye netvāna, ;After leading away all of Sañcaya’s disciples, 
ussuyā;;issāyitattaṃ usūyā usūyanā → ussuyā ussuyanā (pts-vp-pli1, mr) ;No translation found
niyasaṃ;pli-tv-kd1:25.22.1;Sace saṅgho upajjhāyassa kammaṃ kattukāmo hoti tajjanīyaṃ vā niyassaṃ vā pabbājanīyaṃ vā paṭisāraṇīyaṃ vā ukkhepanīyaṃ vā, saddhivihārikena ussukkaṃ kātabbaṃ—;If the Sangha wants to do a legal procedure against his preceptor—whether a procedure of condemnation, demotion, banishment, reconciliation, or ejection—
rajentena;pli-tv-kd1:25.23.9;Cīvaraṃ rajantena sādhukaṃ samparivattakaṃ samparivattakaṃ rajitabbaṃ, na ca acchinne theve pakkamitabbaṃ. ;When he’s dyeing the robe, he should carefully and repeatedly turn it over, and shouldn’t go away while it’s still dripping. 
cheditabbā;pli-tv-kd18:12.11.133;"na ekaccassa kesā cheditabbā, na ekaccena kesā chedāpetabbā; ";"cut anyone’s hair or get it cut; "
vuṭṭhānamassa;pli-tv-kd18:11.18.12;Sace upajjhāyo gilāno hoti, yāvajīvaṃ upaṭṭhātabbo, vuṭṭhānamassa āgametabbaṃ. ;If his preceptor is sick, he should nurse him for as long as he lives or wait until he has recovered. 
vinodāpetuṃ;;"anabhirataṃ → anabhiratiṃ (si, sya-all, mr); dhammato vinodetuṃ → vinodetuṃ vā vinodāpetuṃ vā (sya-all) ";No translation found
chahaṅgehi;pli-tv-kd1:37.1.3;imehi kho, bhikkhave, chahaṅgehi samannāgatena bhikkhunā na upasampādetabbaṃ, na nissayo dātabbo, na sāmaṇero upaṭṭhāpetabbo. ;No translation found
ādāyassa;pli-tv-kd1:38.7.1;Puna caparaṃ, bhikkhave, aññatitthiyapubbo yassa titthāyatanā saṅkanto hoti, tassa satthuno tassa diṭṭhiyā tassa khantiyā tassa ruciyā tassa ādāyassa avaṇṇe bhaññamāne kupito hoti anattamano anabhiraddho, buddhassa vā dhammassa vā saṅghassa vā avaṇṇe bhaññamāne attamano hoti udaggo abhiraddho. ;"He’s displeased when anyone disparages the teacher, the views, the beliefs, the persuasion, or the opinions of the religious community he’s left; but he’s pleased when anyone disparages the Buddha, the Teaching, or the Sangha. "
saṅghātanikaṃ;pli-tv-kd1:38.7.3;Idaṃ, bhikkhave, saṅghātanikaṃ aññatitthiyapubbassa anārādhanīyasmiṃ. ;This last one is the critical factor for someone who has been a monastic of another religion to fail his probation. 
bhañjitabbāti;pli-tv-kd1:40.3.9;Upajjhāyassa, deva, sīsaṃ chetabbaṃ, anussāvakassa jivhā uddharitabbā, gaṇassa upaḍḍhaphāsukā bhañjitabbāti. ;The preceptor should have his head cut off, the one who does the formal proclamation should have his tongue cut out, and the participating group should have half their ribs broken. 
uḍḍāpetunti;pli-tv-kd1:51.1.11;Ussahanti pana te, ānanda, dārakā kāke uḍḍāpetunti? ;Are they able, Ānanda, to scare away crows? 
anupariveṇiyaṃ;pli-tv-kd2:8.1.1;Tena kho pana samayena bhikkhū anupariveṇiyaṃ pātimokkhaṃ uddisanti asaṅketena. ;At that time the monks recited the Monastic Code in one yard after another without making a prior arrangement. 
pañcakadasavāro;pli-tv-kd1:53.9.7;Pañcakadasavāro niṭṭhito. ;The section consisting of ten groups of five is finished. 
sāmaṇerapabbajjanti;pli-tv-kd1:54.3.14;Anujānāmi, bhikkhave, imehi tīhi saraṇagamanehi sāmaṇerapabbajjanti. ;No translation found
sacā;pli-tv-kd1:66.2.2;sādhu kho mayaṃ palāyimhā, sacā ca mayaṃ gayheyyāma, mayampi evameva haññeyyāmāti. ;It’s good that we escaped. Had we been caught, we would’ve been executed, too. 
dāyajjabhāṇavāro;pli-tv-kd1:71.2.35;Dāyajjabhāṇavāro niṭṭhito navamo. ;The ninth section for recitation on inheritance is finished. 
bhikkhusabhāgataṃ;pli-tv-kd1:72.1.15;Anujānāmi, bhikkhave, catūhapañcāhaṃ āgametuṃ yāva bhikkhusabhāgataṃ jānāmīti. ;I allow you to wait for four or five days to find out if he is keeping the same standard as the monks. 
nissayadāyako;pli-tv-kd1:73.4.9;yadā patirūpo nissayadāyako āgacchissati, tadā tassa nissāya vasissāmīti. ;When a suitable support-giver comes, you should live with formal support from him. 
anussāvetunti;pli-tv-kd1:74.1.7;Anujānāmi, bhikkhave, gottenapi anussāvetunti. ;I allow you to do the proclamation also using the family name. 
dveupasampadāpekkhādivatthu;pli-tv-kd1:74.2.0;61. Dveupasampadāpekkhādivatthu ;61. The two people seeking the full ordination, etc. 
ekānussāvane;pli-tv-kd1:74.2.5;Anujānāmi, bhikkhave, dve ekānussāvane kātunti. ;I allow you to give the full ordination to two people with a single proclamation. 
nānupajjhāyenāti;pli-tv-kd1:74.3.7;Anujānāmi, bhikkhave, dve tayo ekānussāvane kātuṃ, tañca kho ekena upajjhāyena, na tveva nānupajjhāyenāti. ;I allow you to give the full ordination to two or three people with a single proclamation, but only with a single preceptor, not with many. 
gabbhavīso;pli-tv-kd1:75.1.1;Tena kho pana samayena āyasmā kumārakassapo gabbhavīso upasampanno ahosi. ;At that time Venerable Kumārakassapa had been given the full ordination twenty years after he appeared in the womb. 
sāvassa;pli-tv-kd1:75.1.8;Yaṃ, bhikkhave, mātukucchismiṃ paṭhamaṃ cittaṃ uppannaṃ, paṭhamaṃ viññāṇaṃ pātubhūtaṃ, tadupādāya sāvassa jāti. ;When the mind first appears in the mother’s womb, when the consciousness first manifests, that’s a person’s birth. 
gabbhavīsaṃ;pli-tv-kd1:75.1.9;Anujānāmi, bhikkhave, gabbhavīsaṃ upasampādetunti. ;I allow you to give the full ordination to someone who is twenty years old since appearing in the womb. 
upasampadāvidhi;pli-tv-kd1:76.1.0;63. Upasampadāvidhi ;63. The process of full ordination 
ananusiṭṭhe;pli-tv-kd1:76.2.1;Tena kho pana samayena bhikkhū ananusiṭṭhe upasampadāpekkhe antarāyike dhamme pucchanti. ;Soon afterwards they asked those seeking the full ordination about the obstacles without first instructing them. 
vitthāyanti;pli-tv-kd20:17.2.2;Upasampadāpekkhāyo vitthāyanti, maṅkū honti, na sakkonti vissajjetuṃ. ;Those seeking the full ordination were embarrassed, humiliated, and unable to respond. 
gāhāpetabbo;pli-tv-kd1:76.3.6;Paṭhamaṃ upajjhaṃ gāhāpetabbo. ;First they should be told to choose a preceptor. 
duranusiṭṭhā;pli-tv-kd20:17.3.2;Duranusiṭṭhā upasampadāpekkhāyo vitthāyanti, maṅkū honti, na sakkonti vissajjetuṃ. ;And because they were badly instructed, they were once again embarrassed, humiliated, and unable to respond. 
yācāpetabbo;pli-tv-kd1:76.8.9;Ekaṃsaṃ uttarāsaṅgaṃ kārāpetvā bhikkhūnaṃ pāde vandāpetvā ukkuṭikaṃ nisīdāpetvā añjaliṃ paggaṇhāpetvā upasampadaṃ yācāpetabbo—;He should then arrange his upper robe over one shoulder, pay respect at the feet of the monks, squat on his heels, and raise his joined palms. He should then ask for the full ordination: 
upasampadākammaṃ;pli-tv-kd1:76.12.17;Upasampadākammaṃ niṭṭhitaṃ. ;The procedure of full ordination is finished. 
utuppamāṇaṃ;pli-tv-kd20:17.8.39;Tāvadeva chāyā metabbā, utuppamāṇaṃ ācikkhitabbaṃ, divasabhāgo ācikkhitabbo, saṅgīti ācikkhitabbā, bhikkhuniyo vattabbā—;Straightaway the time should be noted and the date should be pointed out. These should be declared jointly to everyone. 
paṭisevitabbo;pli-tv-kd1:78.2.4;Upasampannena bhikkhunā methuno dhammo na paṭisevitabbo, antamaso tiracchānagatāyapi. ;A monk who’s fully ordained shouldn’t have sexual intercourse, not even with an animal. 
tiṇasalākaṃ;pli-tv-kd1:78.3.1;Upasampannena bhikkhunā adinnaṃ theyyasaṅkhātaṃ na ādātabbaṃ, antamaso tiṇasalākaṃ upādāya. ;A monk who’s fully ordained shouldn’t steal, not even a straw. 
ullapitabbo;pli-tv-kd1:78.5.1;Upasampannena bhikkhunā uttarimanussadhammo na ullapitabbo, antamaso ‘suññāgāre abhiramāmī’ti. ;A monk who’s fully ordained shouldn’t claim a superhuman quality, not even just saying, ‘I delight in solitude.’ 
paṭinissajjehi;pli-tv-kd1:79.4.16;‘paṭinissajjehi taṃ pāpikaṃ diṭṭhin’ti. ;‘Give up that bad view.’ 
mahatthesu;pli-tv-kd1:79.4.22;Vinayamhi mahatthesu, ;In the great Monastic Law, 
sāsanādhāraṇe;pli-tv-kd1:79.4.26;Sāsanādhāraṇe ceva, ;And which is for the upkeep of Buddhism, 
sabbaññujinagocare;pli-tv-kd1:79.4.27;"sabbaññujinagocare; ";In the sphere of the Omniscient Victor, 
anaññavisaye;pli-tv-kd1:79.4.28;Anaññavisaye kheme, ;"Not within range of anyone else; "
yathātthakārī;pli-tv-kd1:79.4.32;Yathātthakārī kusalo, ;In this the skillful who does what’s beneficial, 
saṅgāhaṇāhetuṃ;pli-tv-kd1:79.4.42;Tasmā saṅgāhaṇāhetuṃ, ;Therefore, for the purpose of making a collection, 
saṅgāhanāhetuṃ;pli-tv-kd1:79.4.42;Tasmā saṅgāhaṇāhetuṃ, ;Therefore, for the purpose of making a collection, 
yathāñāyaṃ;pli-tv-kd1:79.4.44;Pavakkhāmi yathāñāyaṃ, ;According to the right method. 
asesetuṃ;pli-tv-kd1:79.4.48;Dukkaraṃ taṃ asesetuṃ, ;It’s hard to complete without remainder—
āmalo;pli-tv-kd1:79.4.64;Jambu ambo ca āmalo, ;Rose-apple tree, and mango tree, emblic myrobalan tree, 
pāripupphañca;pli-tv-kd1:79.4.65;pāripupphañca āhari. ;And he brought an orchid tree flower. 
acchinnajaṭilasākiyo;pli-tv-kd1:79.4.81;acchinnajaṭilasākiyo. ;Uncut, dreadlocked ascetic, and Sakyan. 
