id,pali_1,compound_construction
2678,agarukatvā,agaru + katvā
2676,agarukaritvā,agaru + karitvā
2761,aggamakkhāyati,agg<b>aṃ</b> + akkhāyati
2804,agghameti,agghaṃ + eti
6154,añjalikaraṇīya,añjali + karaṇīya
11420,attānukkaṃseti,attānaṃ + ukkaṃseti
11579,atthamaññātuṃ,atthaṃ + aññātuṃ
4941,anabhāva,anu + abhāva
6517,antamakāsi,antaṃ + akāsi
6551,antarahita 1,antara + hita
9240,apurakkharāna,apura + kkharāna
9245,apurekkharāna,apure + kkharāna
4577,amanasikaritvā,amanasi + karitvā
4297,alaṅkata 1,alaṃ + kata
12570,āvikata,āvi + kata
12569,āvikaroti 2,āvi + karoti
12571,āvikātabba,āvi + kātabba
63917,uttānīkatvā,uttāna + katvā
63914,uttānīkātabba,uttāna + kātabba
63916,uttānīkātuṃ,uttāna + kātuṃ
21888,etadavoca,etad + avoca
38601,oghamatari,oghaṃ + atari
26505,kālaṅkata 1,kālaṃ + kata
26504,kālaṅkaroti,kālaṃ + karoti
26490,kālamakāsi,kālaṃ + akāsi
26491,kālamaññāya,kālaṃ + aññāya
22872,garukātabba 1,garu + kātabba
16560,cetoparivitakkamaññāya,cetoparivitakkaṃ + aññāya
25423,jaṅghāvihāranta,jaṅghā + vihāranta
58288,tadabhiññāya,tad + abhiññāya
58364,tadavasari,tad + avasari
60109,tidasa 1,ti + dasa
60734,tuṇhimāsīna,tuṇhiṃ + āsīna
60729,tuṇhībhāva,tuṇhī + bhāva
60731,tuṇhībhūta,tuṇhī + bhūta
59590,tenupasaṅkamati,tena + upasaṅkamati
20196,dukkhamicchati,dukkhaṃ + icchati
18808,dhammamanusāsati,dhammaṃ + anusāsati
36071,nāvikaroti,na + āvi + karoti
37473,ninditumarahati,nindituṃ + arahati
45826,pātukaroti 1,pātu + karoti
45815,pātubhavati 1,pātu + bhavati
45819,pātubhūta,pātu + bhūta
45831,pāturahesuṃ,pātu + ahesuṃ
45832,pāturahosi,pātu + ahosi
45840,pātvākāsi,pātu + akāsi
47338,pubbāpayamāna,pubba + āpayamāna
47720,purakkhata 2,pura + khata
47721,purakkhata 3,pura + khata
47723,purakkhata 5,pura + khata
47716,purakkharāna,pura + kharāna
47790,purekkharoti,pure + kharoti
13302,bahulamakāsi,bahulaṃ + akāsi
13304,bahulamanuvitakketi,bahulaṃ + anuvitakketi
13314,bahulīkata,bahula + kata
13313,bahulīkaroti,bahula + karoti
13312,bahulīkaronta,bahula + karonta
13315,bahulīkātabba,bahula + kātabba
15514,byantīkata,byanta + kata
15512,byantīkaroti,byanta + karoti
15510,byantīhoti,byanta + hoti
32904,manasākāsi,manasi + akāsi
32913,manasānupekkhati,manasā + anupekkhati
32914,manasānupekkhita,manasā + anupekkhita
32935,manasikaritvā,manasi + karitvā
32937,manasikaroti,manasi + karoti
32936,manasikaronta,manasi + karonta
32643,mākāsi,mā + akāsi
70043,yogamāyāti,yogaṃ + āyāti
50319,sakkaroti,sat + karoti
49562,sacchikata,sacchi + karta
49568,sacchikatvā,sakkhi + katvā
49554,sacchikaraṇīya,sacchi + karaṇīya
49561,sacchikaroti,sacchi + karoti
49560,sacchikaronta,sacchi + karonta
49563,sacchikātabba,sacchi + kātabba
49645,saddamanussāvesi,saddaṃ + anussāvesi
53949,sannidhikārakaṃ,sannidh<b>iṃ</b> + kāraka
51765,sammadaññāya,sammā + aññāya
51762,sammadaññā 1,sammā + aññāya
51948,sammohamāpādi,sammohaṃ + āpādi
56361,sītībhavati,sīta + bhavati
57233,sukhamāvahati,sukhaṃ + āvahati
67318,vimuttamatta,vimutta + matta
68788,vivādameti,vivād<b>aṃ</b> + eti
24366,hīnāyāvattati,hīnāya + āvattati
