id,pali_1,compound_type
2678,agarukatvā,comp verb
2676,agarukaritvā,comp verb
2761,aggamakkhāyati,comp verb
2804,agghameti,comp verb
6154,añjalikaraṇīya,comp verb
11420,attānukkaṃseti,comp verb
11579,atthamaññātuṃ,comp verb
4941,anabhāva,kammadhāraya
6517,antamakāsi,comp verb
6551,antarahita 1,comp verb
9240,apurakkharāna,comp verb
9245,apurekkharāna,comp verb
4577,amanasikaritvā,comp verb
4297,alaṅkata 1,comp verb
12570,āvikata,comp verb
12569,āvikaroti 2,comp verb
12571,āvikātabba,comp verb
63917,uttānīkatvā,comp verb
63914,uttānīkātabba,comp verb
63916,uttānīkātuṃ,comp verb
21888,etadavoca,comp verb
38601,oghamatari,comp verb
26505,kālaṅkata 1,comp verb
26504,kālaṅkaroti,comp verb
26490,kālamakāsi,comp verb
26491,kālamaññāya,comp verb
22872,garukātabba 1,comp verb
16560,cetoparivitakkamaññāya,comp verb
25423,jaṅghāvihāranta,comp verb
58288,tadabhiññāya,comp verb
58364,tadavasari,comp verb
60734,tuṇhimāsīna,comp verb
60729,tuṇhībhāva,comp verb
60731,tuṇhībhūta,comp verb
59590,tenupasaṅkamati,comp verb
20196,dukkhamicchati,comp verb
18808,dhammamanusāsati,comp verb
36071,nāvikaroti,comp verb
37473,ninditumarahati,comp verb
45826,pātukaroti 1,comp verb
45815,pātubhavati 1,comp verb
45819,pātubhūta,comp verb
45831,pāturahesuṃ,comp verb
45832,pāturahosi,comp verb
45840,pātvākāsi,comp verb
47338,pubbāpayamāna,comp verb
47720,purakkhata 2,comp verb
47721,purakkhata 3,comp verb
47723,purakkhata 5,comp verb
47716,purakkharāna,comp verb
47790,purekkharoti,comp verb
13302,bahulamakāsi,comp verb
13304,bahulamanuvitakketi,comp verb
13314,bahulīkata,comp verb
13313,bahulīkaroti,comp verb
13312,bahulīkaronta,comp verb
13315,bahulīkātabba,comp verb
15514,byantīkata,comp verb
15512,byantīkaroti,comp verb
15510,byantīhoti,comp verb
32904,manasākāsi,comp verb
32913,manasānupekkhati,comp verb
32914,manasānupekkhita,comp verb
32935,manasikaritvā,comp verb
32937,manasikaroti,comp verb
32936,manasikaronta,comp verb
32643,mākāsi,comp verb
70043,yogamāyāti,comp verb
50319,sakkaroti,comp verb
49562,sacchikata,comp verb
49568,sacchikatvā,comp verb
49554,sacchikaraṇīya,comp verb
49561,sacchikaroti,comp verb
49560,sacchikaronta,comp verb
49563,sacchikātabba,comp verb
49645,saddamanussāvesi,comp verb
53949,sannidhikārakaṃ,comp verb
51765,sammadaññāya,comp verb
51762,sammadaññā 1,comp verb
51948,sammohamāpādi,comp verb
56361,sītībhavati,comp verb
57233,sukhamāvahati,comp verb
67318,vimuttamatta,kammadhāraya
68788,vivādameti,comp verb
24366,hīnāyāvattati,comp verb
