id,pali_1,example_1
3635,akaṃsu 1,bhikkhū ghaṭikārassa kumbhakārassa āvesanaṃ uttiṇam'<b>akaṃsu.</b>
3693,akāraka,akārako'mhī'ti yo vādaṃ upeti so imehi dvīhi kāraṇehi vādaṃ upeti.
3718,akārita,"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akārita</b>pubbaṃ kāraṇaṃ kāriyamānassa."
3719,akāritapubba,"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akāritapubbaṃ</b> kāraṇaṃ kāriyamānassa."
3597,akālapuppha,"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."
3871,akiccha,imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhamma-sukhavihārānaṃ nikāmalābhī hoti akiccha-lābhī akasiralābhī.
2727,aggadhammasamāhita,"aggassa dātā medhāvī, <b>aggadhammasamāhito</b>. devabhūto manusso vā, aggappatto pamodatī'ti."
2725,aggadhamma 1,"aggassa dātā medhāvī, <b>aggadhamma</b>samāhito. devabhūto manusso vā, aggappatto pamodatī'ti."
2881,aghamūla,vipariṇāmadhammato asārakato aghamūlato vadhakato vibhavato sāsavato saṅkhatato mār'āmisato
5904,aṅgulimāla,"coro ahaṃ pure āsiṃ, <b>aṅgulimālo</b>'ti vissuto.<br/>vuyhamāno mah'oghena, buddhaṃ saraṇam'āgamaṃ."
1411,acc,"yo vo, ānanda, mayā dhammo ca vinayo ca desito paññatto, so vo mam'<b>acc</b>ayena satthā."
1524,acchati 2,"sabbakārukasippāni, cittiṃ katvāna sikkhare.<br/>avūpasantā ajjhattaṃ, sāmaññ'attho'ti <b>acchati</b> ."
1545,acchindanta,"mamāyite passatha phandamāne'ti mamāyitaṃ vatthuṃ accheda-saṃkino'pi phandanti, acchindante'pi phandanti, acchinne'pi phandanti"
3344,ajjatā,"ajja't'agge'ti ajjataṃ ādiṃ katvā, ajja'd'agge'ti vā pāṭho, da-kāro padasandhikaro, ajja aggaṃ katvā'ti vuttaṃ hoti."
3339,ajjadagge,"ajja't'agge'ti ajjataṃ ādiṃ katvā, ajja'd'agge'ti vā pāṭho, da-kāro padasandhikaro, ajja aggaṃ katvā'ti vuttaṃ hoti."
3356,ajjh,so iminā ariyena sīlakkhandhena samannāgato <b>ajjh</b>attaṃ anavajjasukhaṃ paṭisaṃvedeti
3357,ajjha,"khayaṃ virāgaṃ amataṃ paṇītaṃ, <br/>yad'<b>ajjha</b>gā sakyamunī samāhito. <br/>na tena dhammena sam'atthi kiñci"
3541,ajjhūpagata,"vevaṇṇiy'amhi <b>ajjhūpagato</b>'ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ."
3491,ajjhogāḷha,"mohanaṃ vuccati kāmaguṇā. ettha hi devamanussā muyhanti, tesu <b>ajjhogāḷho</b> hutvā. etena bahiddhābandhanaṃ vuttaṃ."
6162,añjanamakkhita,"aṭṭhapadakatā kesā, nettā <b>añjanamakkhitā</b>. <br/>alaṃ bālassa mohāya, no ca pāragavesino."
6166,añjanī 1,"<b>añjanī</b>'va navā cittā, pūtikāyo alaṅkato. <br/>alaṃ bālassa mohāya, no ca pāragavesino."
6245,aññamaññassa,"pañc'imāni, bho gotama, indriyāni nānāvisayāni nānāgocarāni, na <b>aññam'aññassa</b> gocaravisayaṃ paccanubhonti."
6240,aññamaññābhigijjhanti,"mahaddhanā mahābhogā,<br/>raṭṭhavanto'pi khattiyā,<br/><b>aññam'aññ'ābhigijjhanti</b>,<br/>kāmesu analaṅkatā."
6272,aññārādhanā,"kathañ'ca, bhikkhave, anupubbasikkhā anupubbakiriyā anupubbapaṭipadā aññ'ārādhanā hoti?"
11711,aṭṭhatiṃsati,"idāni kho pana dve-sahassa-pañca-sata-aṭṭhatiṃsati saṃvaccharāni c'eva, navamāsāni ca, catuvīsati-divasāni atikkantāni."
11641,aṭṭhapadakata,"<b>aṭṭhapadakatā</b> kesā, nettā añjanamakkhitā. <br/>alaṃ bālassa mohāya, no ca pāragavesino."
11738,aṭṭhavīsati,"idāni kho pana dve-sahassa-pañca-sata-tesaṭṭhi saṃvaccharāni c'eva, navamāsāni ca, aṭṭhavīsati-divasāni atikkantāni."
11786,aṭṭhimiñjā,atthi imasmiṃ kāye kesā lomā nakhā dantā taco maṃsaṃ nhāru aṭṭhi <b>aṭṭhimiñjaṃ</b> vakkaṃ hadayaṃ yakanaṃ kilomakaṃ
11748,aṭṭhena,"yadi duppūraṇ'<b>aṭṭhena</b> yadi vā samuddan<b>'aṭṭhena</b> samuddo, cakkhum'eva samuddo."
5929,aṇha,"tam'enaṃ pubb'<b>aṇha</b>samayaṃ sattisatena haneyyuṃ. atha rājā majjha-<b>anh</b>ikasamayaṃ evaṃ vadeyya, ambho, kathaṃ so puriso'ti?"
10809,atandī,"etā pi buddhajayamaṅgalaaṭṭhagāthā, yo vācano dinadine sarate'm'<b>atandī</b>, hitvān'anekavividhāni c'upaddavāni, mokkhaṃ sukhaṃ adhigameyya naro sapañño"
10803,atāṇa,bhayato upasaggato calato pabhaṅguto adhuvato atāṇato aleṇato asaraṇato rittato tucchato suññato anattato ādīnavato
11247,atiuṇhaṃ,"ādīnavā ālasy'ānuyoge. atisītan'ti kammaṃ na karoti, atiuṇhan'ti kammaṃ na karoti, atisāyan'ti kammaṃ na karoti, atipāto'ti kammaṃ na karoti, atichāto'smī'ti kammaṃ na karoti"
11111,atipāto,"ādīnavā ālasy'ānuyoge. atisītan'ti kammaṃ na karoti, atiuṇhan'ti kammaṃ na karoti, atisāyan'ti kammaṃ na karoti, atipāto'ti kammaṃ na karoti, atichāto'smī'ti kammaṃ na karoti"
11066,atimatta,"nāḷāgiriṃ gajavaraṃ <b>atimatta</b>bhūtaṃ, dāv'aggicakkam'asanī'va, sudāruṇan'taṃ, mett'ambusekavidhinā jitavā mun'indo."
11192,atisītaṃ,"ādīnavā ālasy'ānuyoge. atisītan'ti kammaṃ na karoti, atiuṇhan'ti kammaṃ na karoti, atisāyan'ti kammaṃ na karoti, atipāto'ti kammaṃ na karoti, atichāto'smī'ti kammaṃ na karoti"
11215,atītasatthuka 2,"siyā kho pan'ānanda, tumhākaṃ evam'assa, <b>atītasatthukaṃ</b> pāvacanaṃ, n'atthi no satthā'ti."
11211,atītānāgate,iminā tvaṃ dhammena diṭṭhena viditena akālikena pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi
11415,attanudiṭṭhi,"suññato lokaṃ avekkhassu, mogharāja sadā sato,<br/>att'ānudiṭṭhiṃ ūhacca, evaṃ maccutaro siyā,<br/>evaṃ lokaṃ avekkhantaṃ, maccurājā na passatī'ti."
11448,attasammāpaṇidhi,"paṭirūpadesavāso ca, pubbe ca katapuññatā.<br/><b>attasammāpaṇidhi</b> ca, etaṃ maṅgalam'uttamaṃ."
11564,atthaladdha,"te <b>atthaladdhā</b> sukhitā, viruḷhā buddhasāsane. arogā sukhitā hotha, saha sabbehi ñātibhī'ti."
70963,attha 4.2,"etāni, bhikkhave, rukkhamūlāni, etāni suññ'āgārāni. jhāyatha, bhikkhave, mā pamāda-<b>attha</b>, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī'ti."
11758,atthibhāva,rūparāgappaṭisaṃvedī'ti kilesassa <b>atthibhāven</b>'eva pana rūparāgaṃ paṭisaṃviditaṃ karoti nāma
10880,athaddha,"arahante sītībhūte, katakicce anāsave nihacca mānaṃ athaddho, te namasse anuttare'ti."
1778,addakkhu,"aniccaṃ aniccato dakkhuṃ, dukkham'<b>addakkhu</b> dukkhato.<br/>anattani anattā'ti, asubhaṃ asubhat'addasuṃ.<br/>sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti"
1854,addhaniya,"yatha'y'idaṃ brahmacariyaṃ <b>addhaniyaṃ</b> assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ"
1846,addhānaṃ āpādeti,"paṭhamena vayasā anikīḷitāvino kāmesu yāvajīvaṃ paripuṇṇaṃ parisuddhaṃ brahmacariyaṃ caranti, addhānañ'ca āpādentī'ti?"
2105,adhikuṭṭana,asisūn'ūpamā kāmā adhikuṭṭan'aṭṭhenā'ti passanto vikkhambhanato kāme parivajjeti
2043,adhigameyya,"etā pi buddhajayamaṅgala-aṭṭhagāthā, yo vācano dinadine sarate'm'atandī, hitvān'anekavividhāni c'upaddavāni, mokkhaṃ sukhaṃ <b>adhigameyya</b> naro sapañño"
2010,adhiccāpattika,"idha, bhaddāli, ekacco bhikkhu adhicc'āpattiko hoti anāpattibahulo."
2221,adhiṭṭhahati 2,"ālokasaññaṃ manasi kareyyāsi, divāsaññaṃ <b>adhiṭṭhaheyyāsi</b> – yathā divā tathā rattiṃ yathā rattiṃ tathā divā. iti vivaṭena cetasā apariyonaddhena sa'p'pabhāsaṃ cittaṃ bhāveyyāsi"
2231,adhiṭṭhānapāramī,"aṭṭhamaṃ adhiṭṭhānapārami, navamaṃ mettā-pārami, dasamaṃ upekkhā-pāramī'ti"
2226,adhiṭṭhāna 3,"aṭṭhamaṃ adhiṭṭhāna-pārami, navamaṃ mettā-pārami, dasamaṃ upekkhā-pāramī'ti"
2185,adhipati 2,magg'ārammaṇā dhammā. maggahetukā dhammā. magg'<b>ādhipatino</b> dhammā
1998,adhibandha,"appamattako so kaliggaho yaṃ so akkhadhutto paṭhamen'eva kaliggahena puttam'pi jīyetha, dāram'pi jīyetha, sabbaṃ sāpateyyam'pi jīyetha, uttari'pi adhibandhaṃ nigaccheyya."
2128,adhimuccanta,"cittaṃ adhiṭṭhahanto sikkheyya, saddhāya adhimuccanto sikkheyya, vīriyaṃ paggaṇhanto sikkheyya, satiṃ upaṭṭhapento sikkheyya"
