id,pali_1,plus_case
3458,ajjhāvasatar,+acc
1741,adassana 3,+gen
4940,anabbhita,+acc
5115,anāhaṭa,+acc
6803,anubyañjanaso 2,+loc
6533,antarā 3,+acc +loc
8172,apakassa 2,+acc
9083,appaṭinissaṭṭha,+acc
8973,appaṇidhāya,+acc
8758,aphandamāna,+acc
129,abbhetabba,+acc
10091,asaṅgati,+gen
10179,asanta 1.3,+nom
9976,asaṃhira,+instr
9977,asaṃhīra,+instr
4465,āloketi,+acc
12701,āvisati 1,+acc
63210,upaṭṭhāna 1,+dat
62756,upanandhi,+acc
62783,upanibaddha,+loc
62543,upahaññati 1,+abl
60898,ubbhata 2,+abl
62110,ummihati,+dat
63742,ussāhetvā,+loc
61715,uhadati,+dat
61723,ūhaññati,+acc
61724,ūhaññi,+acc
38750,okkamati 1,+acc
39076,osādeti,+loc
29437,kiccakārī 2,+loc
28711,khādana 3,+gen
16521,cetayitvā,+dat
60618,ṭṭha,+loc
18409,ḍayhati,+instr
60682,tūlonaddha,+instr
20424,durāgata,+dat
18708,dhammacārī 1,+gen
35255,namati 2,+acc
36471,nibbatteti,+acc
36326,nhāpetabba,+acc
39906,paccupaṭṭhita 1,+loc
41846,paññāyati 2,+dat
44919,paṭikkanta 2,+abl
44909,paṭikkamati 2,+abl
45360,paṭisaṅkhāya 1,+adv
45366,paṭisaraṇa 1,+gen
41198,paṇāmenta,+acc
42596,pariccajitvā,+acc
42742,parihāpeti,+acc
43854,pasanna 5,+loc
46094,pavivitta,+abl
46954,pithīyati,+instr
47456,pūjayanta 1,+instr
14300,bhavissaṃ 2,+nom
33295,manteti,+instr
34616,mussati 1,+acc
53540,saṅkaḍḍhati,+acc
53323,saṅgati 1,+gen
53490,sañjagghati,+instr
53505,sañjaneti,+acc
54173,saṇṭhāna 2,+gen
55022,sattaka 2,+loc
54248,santiṭṭhati 1,+acc
54225,santi 3,+nom
51118,samanupassamāna,+acc
50669,samādapetabba,+acc
52850,saṃvesetabba,+acc
58124,suvatthi 1,+dat
65517,vatteti 2,+acc
67469,vineyya 3,+acc
67180,viloma,+gen
69230,vuṭṭhāpetabba,+acc
