id,pali_1,sanskrit
5904,aṅgulimāla,aṅgulī + māla
3541,ajjhūpagata,abhyupagata
11066,atimatta,ati + matta
2351,adhuva,adhruva
5571,anatthasañhita,na + artha + saṃhita
8631,apattamānasa,na + prāpta + mānasa
8348,apāra 2,apāra
4655,amatadhātu,amṛta + dhātu
4339,alattaka,alaktaka
12101,avamaṅgala 1,mangala
4537,āmakadhañña,āmaka + dhānya
25092,itthikā,strīka
64080,uttiṇa,ud + tṛṇa
61544,udita,udita
62284,upabhuñjaka 1,bhojana
63024,upasamana,upaśamana
26727,kalyāṇī 2,kalyāṇin
27916,kāsikosalā,kāśi + kosala
28645,kesamutta,??
28648,kesamuttiya,??
22193,gada 2.2,gada
23759,guttadvāratā,gupta + dvāra + tā
23764,guttika,guptika
16369,catuttiṃsati,catustriṃśati
16113,catuddasa,caturdaśa
16114,cātuddasa 1,caturdaśa
17524,cuddasama,caturdaśama
16767,chandaka,chanda
16796,chandāraha,chanda + arha
25569,jaṭa,??
25478,jāṇussoṇi,??
60374,tiracchānakathika,tiryaggata + kathaṃ +
59628,tettiṃsati,trayastriṃśati
17698,daddula,??
18322,dassu,dasyu
19557,dina,dina
19546,dīghena addhunā,adhvan
20206,dukkhanirodhagāminīpaṭipadā,duḥkha + nirodha + gāmin + pratipada
18425,dehanissita,deha + niśrita
19953,dovacassatā,daurvacasya
18765,dhammagārava 2,dharma + gaurava
35076,nakhasā,??
35734,nāsana,nāśana
37070,nijjīva 2,nir + jīva
36726,nidassita,saṃdarśayitavya
36741,niddārāmatā,nidrā + ārāma + tā
37579,nippesika,naiṣpeṣikatā
36515,nibbhaya,nirbhaya
41407,pañcatiṃsati,pañcatriṃśati
41268,pañcadasa,pañcadaśa
45679,pattakamma,prāptakarman
46171,payirupāsanta,paryupās
42879,parikkhā,parikhā
71064,passasissati,niḥśvasana
47918,puṭa 2,puṭa
47632,puṇṇamī,pūrṇimā
13624,bāvīsati,dvāviṃśati
15327,buddhāna,buddhāṇaṃ
15045,bodhipakkhiya,bodhin + pakṣiya
70758,brahmasama,brahma + sama
14251,bhavasāta,bhava + śāta
13775,bhāgya,bhāgya
14582,bhiṅkāra,bhṛngāra
14740,bhujaga,bhujaga
14447,bhesakaḷāvana,??
31757,macchamaṃsa,matsya + māṃsa
32616,majjhimapaṭipadā,madhyama + pratipad
33281,mantāṇiputta,??
32415,mahattamabhikaṅkhatā,mahattva + abhikāṅkṣā
70013,yobbañña,yauvana
48712,ravi 2.1,ravi
50331,sakkatvā,satkar
53787,saṅkiliṭṭha,saṃkliṣṭa
53783,saṅkilesika,saṃkleśaka
53490,sañjagghati,saṃ + ghagghati
54009,saññita,saṃjānāti
54989,sattabojjhaṅgā,sapta + bodhyaṅga
55161,satthaṃ āharesi,śastra + āhṛ
50916,samanantara 1,samanantaram
53487,sāṇipasibbaka,śāṇa + prasevaka
54326,sāpateyya,pati
51625,sāmīcipaṭipanna,samīcīna + pratipanna
55795,siddhi 2,siddhi
56289,sīsacchejja,śīrṣa + chedya
57947,susuddha,śuddha
55490,seka,ṣeka
55475,sedaka 1,??
56508,sokanāsana,śoka + nāśana
56767,sovaggika,svarga +
64876,vañcanika,vañcana
64352,vadaññutā,vadānya
64188,vācākamma,vācākarman
66431,vidhi 1,vidhi
68537,visūka 2,vāsuki
