id,pali_1,source_2
3570,akaccha,AN 3.68
3774,akata 1,AN 5.140
3776,akata 3,DHP 314
3645,akaniṭṭha 1,SNa 35.228
3700,akaraṇīya 1,AN 7.67
3599,akālavādī,AN 10.176
3768,akāsiṃ 1,AN 4.244
3769,akāsiṃ 2,MN 19
3765,akāsi 1,KHP 7
3871,akiccha,TH 257
3919,akiriya,SN 22.62
4102,akubbato,DHP 124
4163,akusalavitakka,SN 22.80
3962,akkhadhutta 1,MN 129
3980,akkhāna 1,PAT PK
3848,akhārika,SN 47.8
2670,agāriya,AN 6.55
2912,agiddha,TH 257
2781,aggappatta,AN 5.32
5885,aṅgika,DHP 191
5901,aṅgulī 1,Trad
1324,acala,AN 7.67
1653,acira,SN 1.20
1411,acc,MN 107
1415,accagamā 1,AN 9.11
1447,accatari,SN 35.228
1464,accayena 2,DN 16.36
1467,accayo accagamā,MN 140
1524,acchati 2,VIN 1.2.8
6159,añjana 2,TH 251
6245,aññamaññassa,KHP 9
6200,añña 2,MN 49
6318,aññātāvindriya,VIBH 5.1
6317,aññātāvī 2.1,VIBH 5.1
6358,aññātuṃ,MN 9
6278,aññāsikoṇḍañña,SN 56.11
6390,aññindriya,VIBH 5.1
11308,aṭṭa 1.1,SN 22.80
11844,aṭṭīyati,AN 3.39
11748,aṭṭhena,NIDD1 1
1831,aḍḍhamāsa 2,VIN PAT NP 24
6361,aṇṇava,Thai
10849,atari,SN 35.228
10907,ati,KHP 9
11032,atikkanta 2,PAT PK
11026,atikkamitvā 1,UDa 1.10
11029,atikkamma 1,MN 70
11098,atipāta,DN 22.18
11109,atipātī 1,SN 42.6
11114,atippago,SN 46.53
70962,atireka 2,PAT PK
11282,ativiya,Trad
11371,attakilamatha,SN 56.11
11372,attakilamathānuyoga,SN 56.11
11398,attanāva attano,SN 3.4
11397,attanāva attānaṃ,MN 2.2
11402,attani 2,MN 22
11436,attapaṭilābha,DN 9.7
11463,attavāda,SN 12.2
11396,attānaṃyeva,AN 3.39
11617,atthaṅgata 2,SN 22.85
11505,atthadassī,SNP 3
11507,atthaddhiya,MN 8
11728,atthavasika,SN 22.80
11565,atthaṃ,SN 12.22
1746,adassī,SNP 47
2502,adukkha,DN 22.18
2504,adukkhamasukha 1,DN 22.18
1768,adda 1.1,SN 36.5
1792,addha 2.2,DN 16.21
1840,addhāna 1,AN 5.29
1841,addhāna 2,SN 22.79
1956,adhammavādī,AN 10.176
