id,pali_1,sutta_1
3635,akaṃsu 1,ghaṭikārasuttaṃ
3693,akāraka,duṭṭhaṭṭhakasuttaniddeso
3718,akārita,bhaddālisuttaṃ
3719,akāritapubba,bhaddālisuttaṃ
3597,akālapuppha,mahāparinibbānasuttaṃ
3871,akiccha,nagaropamasuttaṃ
2727,aggadhammasamāhita,cundīsuttaṃ
2725,aggadhamma 1,cundīsuttaṃ
2881,aghamūla,guhaṭṭhakasuttaniddeso
5904,aṅgulimāla,aṅgulimālasuttaṃ
1411,acc,mahāparinibbānasuttaṃ
1524,acchati 2,pārāpariyattheragāthā
1545,acchindanta,guhaṭṭhakasuttaniddeso
3344,ajjatā,kasibhāradvājasuttaṃ vaṇṇanā
3339,ajjadagge,kasibhāradvājasuttaṃ vaṇṇanā
3356,ajjh,kandarakasuttaṃ
3357,ajjha,ratanasuttaṃ<br/>cūḷavaggo 1
3541,ajjhūpagata,pabbajitābhiṇhasuttaṃ
3491,ajjhogāḷha,guhaṭṭhakasuttaṃ vaṇṇanā
6162,añjanamakkhita,raṭṭhapālattheragāthā
6166,añjanī 1,raṭṭhapālattheragāthā
6245,aññamaññassa,uṇṇābhabrāhmaṇasuttaṃ
6240,aññamaññābhigijjhanti,mahaddhanasuttaṃ
6272,aññārādhanā,kīṭāgirisuttaṃ
11711,aṭṭhatiṃsati,buddha-vassa-sajjhāyanā
11641,aṭṭhapadakata,raṭṭhapālattheragāthā
11738,aṭṭhavīsati,buddha-vassa-sajjhāyanā
11786,aṭṭhimiñjā,mahāsatipaṭṭhānasuttaṃ
11748,aṭṭhena,paṭhama samuddasuttaṃ vaṇṇanā
5929,aṇha,puttamaṃsūpamasuttaṃ
10803,atāṇa,guhaṭṭhakasuttaniddeso
11247,atiuṇhaṃ,siṅgālasuttaṃ ālasyassa
11111,atipāto,siṅgālasuttaṃ ālasyassa
11192,atisītaṃ,siṅgālasuttaṃ ālasyassa
11215,atītasatthuka 2,mahāparinibbānasuttaṃ
11211,atītānāgate,bhadrakasuttaṃ
11415,attanudiṭṭhi,mogharāja māṇava pucchā<br/>pārāyana vaggo 15
11448,attasammāpaṇidhi,maṅgalasuttaṃ<br/>cūḷavaggo 4
11564,atthaladdha,pubbaṇhasuttaṃ
70963,attha 4.2,dvedhāvitakkasuttaṃ
11758,atthibhāva,upavāṇasandiṭṭhikasuttaṃ vaṇṇanā
10880,athaddha,mānatthaddhasuttaṃ
1778,addakkhu,vipallāsasuttaṃ
1854,addhaniya,bodhipakkhiya-dhammā
1846,addhānaṃ āpādeti,bhāradvājasuttaṃ
2105,adhikuṭṭana,kāmasuttaniddeso
2043,adhigameyya,jaya-maṅgala-aṭṭha-gāthā
2010,adhiccāpattika,bhaddālisuttaṃ
2221,adhiṭṭhahati 2,pacalāyamānasuttaṃ
2231,adhiṭṭhānapāramī,buddha-vassa-sajjhāyanā
2226,adhiṭṭhāna 3,buddha-vassa-sajjhāyanā
2185,adhipati 2,tikamātikā
1998,adhibandha,bālapaṇḍitasuttaṃ
2128,adhimuccanta,guhaṭṭhakasuttaniddeso
2132,adhimucchita,pārāpariya-thera-gāthā
2286,adhivattati 1,cakkasuttaṃ
2351,adhuva,guhaṭṭhakasuttaniddeso
5539,anattani,vipallāsasuttaṃ
5571,anatthasañhita,dhammacakkappavattanasuttaṃ
5263,anantara 2,Nidānakathā
5386,anāpattibahula,bhaddālisuttaṃ
5379,anāpanna,āpattibhayasuttaṃ
6026,anikīḷitāvī,bhāradvājasuttaṃ
6844,anudahana,kāmasuttaniddeso
6889,anudhāvita,pārāpariya-thera-gāthā
7157,anupādāniya,"mātikā, tikamātikā"
7412,anuppadinna,tirokuṭṭasuttaṃ
7408,anuppādenta,paṭhamasamuddasuttaṃ vaṇṇanā
6779,anubodhaka,salutation to the triple gem
6803,anubyañjanaso 2,ādittapariyāyasuttaṃ
6804,anubyañjanassādagathita,ādittapariyāyasuttaṃ
7486,anurakkhamāna,brahmajālasuttaṃ
7640,anusikkhati 2,cetanālakkhaṇa pañho
7647,anusocati,araññasuttaṃ
7699,anussāviyamāna,nidānuddeso
