id,pali_1,variant
3871,akiccha,akicca
11671,aṭṭhārasa 1,aṭṭharasa
11506,atthaddha,athaddha
5121,anajjhāpanna,"anajjhosanna, anajjhopanna"
5571,anatthasañhita,anatthasaṃhita
5570,anatthasaṃhita,anatthasañhita
6033,anikkīḷitāvī,"anikīḷitāvī, anikkīlitāvī"
6004,aniggata,anībhata
6005,aniggataratanaka,anībhataratanaka
8631,apattamānasa,appattamānasa
8533,apariyādinnacitta,paṭissata
359,abhichanna,abhichanda
10132,asaṅkiliṭṭha,asaṃkiliṭṭha
9982,asaṃkiliṭṭha,asaṅkiliṭṭha
2432,ādissa 2.1,ādiya
2397,ādīnavānupassī,ādīnavanupassī
9295,ārādhanā 1,āradhanā
9909,āsāḷhā,āsaḷha
62196,undrīyati,"uddīyati, udrīyati"
62631,upakkilesa,upakilesa
61715,uhadati,ūhadati
21731,ekūna,ekuna
21746,ekūnatiṃsatima,ekunatiṃsatima
38947,opanayika,opaneyyika
28083,kaṭasī vaḍḍhitā,kaṭā chavā sayanti etthā'ti kaṭasī
28243,katīhi,katihi katibhi
26413,kāḷa 1,kāla
30273,kuḍḍa,kuṭṭa
30301,kuhanā,kuhakā
29994,koḷāpa,kolāpa
28797,khalita 2.1,khallita
23689,guṇa 5,guḷa
60485,titikkhā,tītikkhā
17871,damaka,dammaka
18451,desayanta 1,desenta
18452,desayanta 2,desenta
19410,dhutaṅga,dhūtaṅga
19404,dhuta 1,dhūta
37155,nikkanta,nikanta
37402,nimmaṃsa,nimaṃsa
38345,niyyāti 2,nīyati
40748,pakkhika 1,pakkhiya
40767,pakkhiya 1,pakkhika
44490,paṭhavī,pathavī
45242,patirūpa,paṭirūpa
42398,parāyana 1,parāyaṇa
42879,parikkhā,parikhā
43402,parittāṇa,parittāna
42522,paribhojaṇīya,paribhojanīya
42521,paribhojanīya,paribhojaṇīya
40617,pākata 1,pākaṭa
41611,pānīya 1,pāṇīya
47925,puṭaṃsa,puṭosena
46642,phusitvā 2,phassitvā
33144,mañjiṭṭha,mañjeṭṭha
31917,māgasira,"magasira, migasira"
48621,rathikā,rathiyā
48932,rumhaniya,ruḷhanīya
49128,rūpupādānakkhandha,rūpupādānakkhandha
49129,rūpūpādānakkhandha,rūpupādānakkhandha
31240,lapanā,lapakā
53787,saṅkiliṭṭha,saṃkiliṭṭha
53783,saṅkilesika,saṃkilesika
53615,saṅkha 1,sankha
53749,saṅkhitta 1,saṃkhitta
53751,saṅkhittena,saṃkhittena
49344,sabbasattā,sabbe sattā
51735,saṃkiliṭṭha 2,saṅkiliṭṭha
51727,saṃkilesika,saṅkilesika
51721,saṃkīḷati,saṃkīlati
51699,saṃkeḷāyati,saṃkelāyati
51625,sāmīcipaṭipanna,sāmīcippaṭipanna
55314,sāvana,sāvaṇa
55888,sikhara 2,khagga
57639,supatiṭṭhita 1,suppatiṭṭhita
58172,suvuṭṭhita,suhuṭṭhita
64934,vaṅka 1,vanka
65375,vata 2.1,bata
67482,vinibbhujati 1,"vinibbhujjati, vinibbhajjati"
68066,viriya,vīriya
68091,viriyavant,vīriyavant
66593,vihaṃsu,vihariṃsu
69105,vuddhi 1,vuḍḍhi
69065,vossagga 1,vosagga
24393,hirikopīna,hirikopina
24394,hirikopīnapaṭicchādanatthaṃ,hirikopinapaṭicchādanatthaṃ
