Author Surname	Author Firstaname	Title	Year	Publisher	City	Accessed through
Pāḷi Dictionaries						
Cone	Margaret	A Dictionary of Pāli Part I a-kh	2001	Pāli Text Society	Oxford	
Cone	Margaret	A Dictionary of Pāli Part II g-n	2010	Pāli Text Society	Oxford	
Cone	Margaret	A Dictionary of Pāli Part III p-bh	2020	Pāli Text Society	Oxford	
Trenckner	V, et al.	A Critical Pāli Dictionary	1925 -2010	The Royal Danish Academy	Copenhagen	https://cpd.uni-koeln.de/
						
Sanskrit Dictionaries						
Apte	V. S.	The Practical Sanskrit-English Dictionary	1890	Shiralkar & Co	Poona	www.sanskrit-lexicon.uni-koeln.de
Edgerton	Franklin	Buddhist Hybrid Sanskrit Grammar And Dictionary Vol. II: Dictionary	1953	Motilal Banarsidass Publishers	Delhi	www.sanskrit-lexicon.uni-koeln.de
Monier-Williams	Sir Monier	A Sanskrit-English Dictionary: Etymologically and Philologically Arranged with Special Reference to Cognate Indo-European languages	1899	Clarendon Press	Oxford	www.sanskrit-lexicon.uni-koeln.de
Software		This project has been created entirely with open source software.				
Anki						https://apps.ankiweb.net/
Beautiful Soup						https://pypi.org/project/beautifulsoup4
Libre Office						https://www.libreoffice.org/
Linux Mint						https://linuxmint.com/
Natural Language Toolkit						https://www.nltk.org/
Pandas						https://pandas.pydata.org/
Tipiṭaka Pāḷi Projector						https://github.com/bksubhuti/Tipitaka-Pali-Projector
Python						https://www.python.org/
SQLite						https://www.sqlite.org/index.html
Visual Studio Code						https://code.visualstudio.com/
Websites						
Digital Pāli Reader						https://www.digitalpalireader.online/
Github						https://github.com/
Sanskrit Grammarian						https://sanskrit.inria.fr/DICO/grammar.fr.html
Sutta Central						https://suttacentral.net/
Wikipedia						https://en.wikipedia.org/wiki/Main_Page
Pāḷi Grammars						
Duroiselle	Charles	A Practical Grammar of the Pali Language (Fourth Edition)	2007			https://palistudies.blogspot.com/p/a-practical-grammar-of-pali-language.html
Oberlies	Thomas 	Pali:A Grammar of the Language of the Theravada Tipitaka, With a Concordance to Pischel's Grammatik der Prakrit-Sprachen	2001	Walter de Gruyter	Berlin	
Silananda	Sayadaw U & Nandisena, U (Editor)	"Pali Roots in Saddanīti Dhātu-Mālā compared with Pāṇinīya-Dhātupāṭha
"	2002			
Geiger	Wilhelm	A Pāli Grammar	2005	Pāli Text Society	Oxford	
Perniola	V.	Pali Grammar	1997	Pāli Text Society	Oxford	
Andersen	Dines & Smith, Helmer	The Pali Dhatupatha and the Dhatumajusa: Edited with Indexes	1921	Anderson, Fred, Host & Son	Copenhagen	https://archive.org/details/palidhatupathadh00andeuoft
Buddhadatta	Ven. A.P.	The New Pali Course Parts 1 & 2 (Sixth Edition)	2020	Buddhist Cultural Centre	Dehiwala	
Buddhadatta	Ven. A.P.	The New Pali Course Parts 3	2020	Buddhist Cultural Centre	Dehiwala	
Academic Papers						
Deokar	Mahesh A.	Technical Terms And Technique Of The Pali And The Sanskrit Grammars	2008	Central Institute of Higher Tibetan Studies	Sarnath, Varanasi	
Wijesekera	O.H. De A. 	Syntax of the Cases in the Pali Nikayas	1993	The Postgraduate Institute of Pali and Buddhist Studies, University of Kelaniya	Kelaniya	https://www.ancient-buddhist-texts.net/Textual-Studies/Syntax-of-the-Cases/index.htm
Deokar	Mahesh A.	Some Probable Sanskrit Sources of the Pali Grammarians With Special Reference to Aggavamsa	2012	DK Printworld	New Delhi	
Pind	Ole Holten	Pāli and the Pāli Garmmarians: The Method of the Pāli Grammarians	1995	Association of Oriental Studies	Stockholm	
Pandita	Ven.	"Pali Adjectives: When Progress Hurts
"	2015	Unpublished		
