a | prefix: 1. prefix ā shortened before a double consonant. 2. a negative prefixed to nouns, adj.s; and participles. 3. the augment prefixed to some roots in the Past and Conditional Tenses; e.g. akāsi. 
aṁsa | masc. & neut.: 1. a part; a side; 2. shoulder. 
aṁsakūṭa | neut.: shoulder. 
aṁsabandhana | neut.: shoulder strap. 
aṁsu | masc.: ray of light; a fibre. 
aṁsuka | neut.: cloth. 
aṁsumālī | masc.: the sun. 
akaṅkhamāna | pr.p. of ākaṅkhati: wishing; desiring. 
akaṭa | adj.: 1. not done; not made; 2. not artificial. 
akaḍḍhati | ā + kaḍḍh + a: pulls; drags. 
akaḍḍhi | aor. of akaḍḍhati: pulled; dragged. 
akata | adj.: 1. not done; not made; 2. not artificial. 
akataññu | adj.: ungrateful. 
akatattā | ind.: because one has not done. 
akanta | adj.: unpleasant. 
akampiya | adj.: immovable; stable; firm. 
akaraṇa | neut.: non-action. 
akaraṇīya | pt.p. of: that should not be done; (nt.), improper action. 
akari | aor.: did. 
akaronta | pr.p.: not doing or performing. 
akā | aor.: did. 
akāca | adj.: flowless. 
akāmaka | adj.: unwilling. 
akāla | masc.: inappropriate. (adj.), out of reason. 
akāsi | aor. of karoti.: did, made, or performed. 
akiñcana | adj.: having nothing. 
akiṭila | adj.: straight; honest; not crooked. 
akiranta | pr.p. of: pouring. 
akiriya | neut.: non-action. 
akiriyavāda | masc.: the theory that there is no result of actions. 
akilāsu | adj.: untiring; active. 
akuṭila | adj.: straight; honest; not crooked. 
akutobhaya | adj.: safe from every quarter. 
akuppa | adj.: steadfast; unshakable. 
akusala | neut.: demerit; sin; bad action. (adj.), unskilful. 
akovida | adj.: not clever. 
akka | masc.: 1. the sun; 2. swallow-word plant. 
akkanta | pp. of akkamati: 1. stepped upon; trodden; 2. subdued. 
akkandati | ā + kand + a: wails, cries. 
akkandana | neut.: wailing. 
akkandi | aor. of akkandati: wailed, cried. 
akkamati | ā + kam + a: steps or treads upon; subjugates. 
akkamana | neut.: 1. stepping or treading upon; 2. subjugation. 
akkami | aor. of akkamati: stepped; subjugated. 
akkamma | abs.: having trodden upon. 
akkuṭṭha | pp. of akkosati: abused; reviled; scolded. 
akkocchi | aor. of akkosati: abused; reviled; scolded. 
akkosa | masc.: insult; abuse; reproach. 
akkosaka | masc.: one who insults. 
