"a"	"a"	"and before a vowel an-, A negative particle, used only as an inseparable prefix, compounded with nouns and adjectives"
"aṃsu"	"aṃsu"	"A thread; a bit of thread; a filament; a ray, a sunbeam"
"aṃsuka"	"aṃsukaṃ"	"Cloth, fine cloth"
"aṃsumālī"	"aṃsumālī"	"The sun"
"aṃsa"	"aṃso"	"The shoulder"
"aṃsa"	"aṃso"	"A part, portion, share; a period of time"
"akaṭa"	"akaṭo"	"Not done, left undone; not made; not artificial, natural; not cultivated, waste"
"akaṇa"	"akaṇo"	"Free from kaṇa, viz. rice freed from the red coating which underlies the husks"
"akataññutā"	"akataññutā"	"Ingratitude"
"akataññū"	"akataññū"	"Ungrateful"
"akataññū"	"akataññū"	"Knowing nirvāṇa, an epithet of an arahā"
"akatvā"	"akatvā"	"see <see>karoti</see>"
"akata"	"akato"	"Not done, left undone; not made; not artificial, natural; not cultivated, waste"
"akathaṅkathī"	"akathaṅkathī"	"Free from doubt"
"akaniṭṭha"	"akaniṭṭho"	"Greatest, highest"
"akappiya"	"akappiyo"	"see <see>kappiyo</see>. Unsuitable, improper, wrong"
"akammaka"	"akammako"	"Intransitive"
"akaraṇa"	"akaraṇaṃ"	"Not doing, omission, abstaining from"
"akaraṇīya"	"akaraṇīyo"	"Not to be done, to be left undone, to be abstained from or avoided"
"akari"	"akari"	"see <see>karoti</see>"
"akalla"	"akallaṃ"	"Illness, disease"
"akalla"	"akallo"	"Impossible"
"akkanta"	"akkanto"	"Stepped upon, mounted"
"akkamati"	"akkamati"	"To step upon, mount upon, tread upon, walk upon"
"akkamana"	"akkamanaṃ"	"Stepping upon, walking upon"
"akkuṭṭha"	"akkuṭṭho"	"Reviled, cursed"
"akka"	"akko"	"The sun; the plant swallow-wort, or asclepias gigantea"
"akkocchi"	"akkocchi"	"see <see>akkosati</see>"
"akkodhana"	"akkodhano"	"Not angry, not passionate, mild"
"akkodha"	"akkodho"	"Freedom from wrath, mildness, conciliation"
"akkosati"	"akkosati"	"To abuse, to revile"
"akkosana"	"akkosanaṃ"	"Reviling, abusing; curse, imprecation"
"akkosa"	"akkoso"	"Abuse, reviling"
"akkha"	"akkhaṃ"	"An organ of sense; the eye"
"akkhaāvati"	"akkhaāvati"	"To be proclaimed, to be reported"
"akkhaka"	"akkhako"	"The collar-bone"
"akkhaṇā"	"akkhaṇā"	"Lightning"
"akkhaṇa"	"akkhaṇo"	"Wrong moment or occasion, unfavourable time"
"akkhata"	"akkhataṃ"	"Unhurt, without fault, in safety"
"akkhadassa"	"akkhadasso"	"A judge"
"akkhadevī"	"akkhadevī"	"A dicer, gambler"
"akkhadhutta"	"akkhadhutto"	"A dicer, gambler"
"akkhanti"	"akkhanti"	"Ill-will, grudge, envy"
"akkhayatā"	"akkhayatā"	"Imperishableness, endlessness"
"akkhaya"	"akkhayo"	"Undecaying, unfailing, endless"
"akkhara"	"akkharaṃ"	"The Imperishable or eternal, viz. nirvāṇa"
"akkhara"	"akkharaṃ"	"A letter of the alphabet"
"akkharappabheda"	"akkharappabhedo"	"Distinction of letters, etymological science"
"akkharasamaya"	"akkharasamayo"	"Letters, reading and writing"
"akkharasa"	"akkharaso"	"Letter by letter"
"akkhara"	"akkharo"	"A letter of the alphabet"
"akkhātā"	"akkhātā"	"One who tells, repeats, or relates; one who proclaims or preaches, a teacher"
"akkhāti"	"akkhāti"	"To tell, to relate, to announce, to proclaim, to teach, to preach"
"akkhātī"	"akkhātī"	"Telling, relating, announcing"
"akkhāta"	"akkhāto"	"Told, related, announced, reported, proclaimed, preached, called, named, denominated"
"akkhāna"	"akkhānaṃ"	"Telling; recitation; telling tales or legends"
"akkhāyikā"	"akkhāyikā"	"A tale, story"
"akkhi"	"akkhi"	"The eye"
"akkhika"	"akkhiko"	"A dice-player"
"akkhiga"	"akkhigaṃ"	"The eyelashes"
"akkhitta"	"akkhitto"	"Not blamed, not reviled, blameless"
"akkha"	"akkho"	"A die; the plant terminalia bellerica; weight equal to two and a half masakas; the axle of a wheel"
"akkhohiṇī"	"akkhohiṇī"	"A complete army; one of the high numerals, 10,000,000(to the 6th power), or 1 followed by forty-two ciphers"
"akā"	"akā"	"see <see>karoti</see>"
"akāmaka"	"akāmako"	"Unwilling"
"akāma"	"akāmo"	"Unwilling"
"akāraṇa"	"akāraṇaṃ"	"Without cause, unreasonably, unjustly"
"akāriya"	"akāriyo"	"That ought not to be done, that may not or cannot be done"
"akāra"	"akāro"	"The vowel a"
"akālika"	"akāliko"	"Without delay, immediate"
"akāla"	"akālo"	"Unseasonableness, wrong time"
"akāsi"	"akāsi"	"see <see>karoti</see>."
"akāsa"	"akāso"	"The sky, air, heavens, the open air, space"
"akicca"	"akicco"	"That ought not to be done, wrong"
"akiñcana"	"akiñcano"	"Having nothing, poor, destitute"
"akiñci"	"akiñci"	"Not a little, much, considerably"
"akiriya"	"akiriyo"	"Unpractical, useless, foolish"
"akilāsu"	"akilāsu"	"Diligent"
"akutobhaya"	"akutobhayo"	"Having nothing to fear from any quarter, quite safe"
"akuppa"	"akuppo"	"Fixed, immovable, sure, certain"
"akusalakamma"	"akusalakammaṃ"	"Unwholesome action, evil action, bad works, demerit, sin"
"akusalakammapatha"	"akusalakammapatho"	"Course or path of sinful action, sinful course"
"akusaladhātu"	"akusaladhātu"	"Element of sin, sinful principle"
