timestamp,file,line,control,handler,event,ms
2026-09-17T18:12:12.104,gui2/main.py,334,(app),App._warmup_in_background,(run_thread),3353.0
2026-09-17T18:12:14.749,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,SnackBar,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.3
2026-09-17T18:12:20.444,gui2/main.py,324,(app),App._initialize_db_in_background,(run_thread),11695.5
2026-09-17T18:12:20.811,gui2/main.py,304,Tabs,App._on_tab_activated,change,0.4
2026-09-17T18:12:22.989,gui2/main.py,304,Tabs,App._on_tab_activated,change,40.7
2026-09-17T18:12:22.998,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,SnackBar,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.2
2026-09-17T18:12:28.541,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:28.690,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:29.247,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:29.352,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:29.544,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:29.792,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:30.090,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:30.414,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:30.966,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:12:31.142,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:31.391,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:31.830,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:32.017,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:12:32.239,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:32.368,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:12:32.588,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:32.858,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:33.019,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:33.314,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:33.413,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:12:33.583,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:34.930,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:35.100,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:35.257,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:36.103,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:12:36.565,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:36.607,gui2/filter_tab_view.py,444,DpdTextField,FilterTabView._apply_filters_clicked,submit,41.2
2026-09-17T18:12:36.859,gui2/filter_component.py,248,(app),FilterComponent._apply_filters,(run_thread),252.0
2026-09-17T18:12:38.371,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:12:38.480,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:12:38.898,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:12:38.938,gui2/filter_tab_view.py,444,DpdTextField,FilterTabView._apply_filters_clicked,submit,40.2
2026-09-17T18:12:39.176,gui2/filter_component.py,248,(app),FilterComponent._apply_filters,(run_thread),237.2
2026-09-17T18:12:45.235,gui2/filter_component.py,387,DataCell,FilterComponent._make_cell_tap_handler.<locals>.on_tap,tap,3.4
2026-09-17T18:12:46.473,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:12:46.669,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:12:54.738,gui2/filter_component.py,387,DataCell,FilterComponent._make_cell_tap_handler.<locals>.on_tap,tap,2.9
2026-09-17T18:12:55.675,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
