timestamp,file,line,control,handler,event,ms
2026-09-17T10:22:23.013,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:23.015,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:23.016,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:23.017,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:23.042,gui2/pass2_add_view.py,315,TextField,Pass2AddView._disable_id_field_autofocus,blur,0.0
2026-09-17T10:22:23.075,gui2/main.py,300,Tabs,App._on_tab_activated,click,1623.8
2026-09-17T10:22:23.165,gui2/main.py,300,Tabs,App._on_tab_activated,change,185.1
2026-09-17T10:22:23.456,gui2/pass2_add_view.py,448,TextField,Pass2AddView._click_edit_headword,submit,438.3
2026-09-17T10:22:23.709,gui2/main.py,328,(app),App._warmup_in_background,(run_thread),4230.6
2026-09-17T10:22:26.751,gui2/dpd_fields_meaning.py,146,DpdTextField,DpdMeaningField._handle_on_focus,focus,36.6
2026-09-17T10:22:26.855,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:26.930,gui2/dpd_fields_meaning.py,155,DpdTextField,DpdMeaningField._handle_on_blur,blur,72.4
2026-09-17T10:22:27.429,gui2/dpd_fields_meaning.py,146,DpdTextField,DpdMeaningField._handle_on_focus,focus,44.3
2026-09-17T10:22:27.466,gui2/dpd_fields_meaning.py,155,DpdTextField,DpdMeaningField._handle_on_blur,blur,36.7
2026-09-17T10:22:27.573,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:27.613,gui2/dpd_fields_meaning.py,146,DpdTextField,DpdMeaningField._handle_on_focus,focus,39.0
2026-09-17T10:22:27.823,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:22:27.844,gui2/dpd_fields_meaning.py,155,DpdTextField,DpdMeaningField._handle_on_blur,blur,36.3
2026-09-17T10:22:35.008,gui2/main.py,318,(app),App._initialize_db_in_background,(run_thread),15531.5
2026-09-17T10:23:02.205,gui2/pass2_add_view.py,324,ElevatedButton,Pass2AddView._update_count_tooltip,hover,0.3
