COMMOON WORDS IN COMPOUNDS			type
adhikaraṇa	nt	rūpādhikaraṇa, kāmādhikaraṇaṃ	
akkhāyikā	fem	lokakkhāyikā, samuddakkhāyikā	
antara	nt	vipākantara	
ante	masc	antevāsī	
anudiṭṭhi	fem	pubbantānudiṭṭhi, attānudiṭṭhi, aparantānudiṭṭhi	
ati	any	atichatta	
atthara	nt	hatthatthara	
atthāya	ind	puññatthāya	
aṭṭhika	nt	jaṅghaṭṭhika	
āvi	nt	āvikamma	
dhātu	fem	thāmadhātu, cakkhudhātu	
evaṃ	adj	evaṃpaṭipanna	
gata (meaning type)	nt	mānagata, ākāsagata, āpogata, pubbagata, viññāṇagata, tiracchānagata(?), vāyogata, kheḷagata, gūthagata	
hetu	ind	micchāpaṭipattādhikaraṇahetu, sakkārahetu, pāricariyāhetu, brūhanāhetu, pīṇanāhetu, kucchihetu	
indriya	nt	manindriya, jīvitindriya	
ittha	adj	itthannāma, itthabhāva	
jātika	adj	chandajātika	
kaṃ	masc	kamatta	
kara	adj	puññakara	
karaṇīya	nt	saṅghakaraṇīya	
khīṇa	adj	khīṇatiracchānayoni, khīṇaniraya, khīṇapunabbhava	
maya	adj	jātarūpamaya, lohitaṅkamaya	
nānā	noun	nānādāru	
nidāna	adj	jātinidāna	
nidānaṃ	ind	bhoganidānaṃ	
niyata	adj	micchattaniyata	
pabhava	adj	upadhipabhava	
paccayā	ind	kāyasañcetanāpaccayā, sammāsamādhipaccayā	
paro	card	parosahassa	
pavāraṇā	fem	paccayapavāraṇā	
sa	adj	sapubbadeva, saparivāra, sauttaracchada	
saha			
samudaya	adj	upadhisamudaya	
saññā	fem	aṭṭhikasaññā, adukkhamasukhasukhumasaccasaññā, anattasaññā, ālokasaññā	
saññatti	fem	saddhammasaññatti, asaddhammasaññatti	
saññī	adj	āposaññī	
saññī (as)	adj	appaṭikūlasaññī	
sāruppagāmī	adj	jātinirodhasāruppagāmī	
tathā	adj	tathāpaṭipanna, tathāpahīna, tathāsaññī, tathākārī	
uccā	adj	uccākulīna	
upa (descendednt of)	masc	upariṭṭha, upananda	
upama	adj	attūpama, aḍḍhakumbhūpama	
upari	masc	uparikokanadapāsāda, uparibhāga	
upari	ind	upariselasutte	
upasampanna	adj	vassasatūpasampanna, tadahupasampanna	
vāda	adj	hetuvāda	
vādī	masc	suññatavādī	
vāsa	adj	ekarattivāsa	
vasena	ind	pañcadvāravasena	
vijjā	fem	mūsikavijjā	
yathā	adj	yathābhirata, yathādhimutta	
yāva	ind	yāvatatiyakaṃ	
			
GENERAL CASES	-	-	
adhi	ind	adhideve, adhibrahmānaṃ	
adverb in first postion	noun	divākathika, tiroraṭṭhā, tirojanapadā, rattiṃvikālabhojana, kāmaṅgama, antopadesa, bahipadesa, pacchāvacanīya, divāṭṭhāna, kathaṃkathā, micchāsati, heṭṭhābhāga	
adverb in first postion	adj	idhāgata, tatrābhirata, uddhaṃpāda, adhosira, adhoṭhita, evaṃdiṭṭhī, evaṃvihārī, dvedhābhinna, evaṃpañña, adhogama	
adverbs in cases	adv	appasaddena	
agent nouns	masc	paṃsudhovaka	
gerund + adj	adj	vibhajjavāda, anupādāvimutta	
gerund + noun	masc	anupādāvimokkha, upādāyarūpa, aveccappasāda	
indeclinable in first position	adj	nānājacca, uparikokanadapāsāda	
infintive	adj	yujjhitukāma, abhiyātukāma, bhuñjitukāma	
kāla	masc	yānakāla	
kammadhāraya + taddhita	fem, nt	appātaṅkatā, appābādhatta	
khattuṃ	ind	atirekachakkhattuṃ, dvattikkhattuṃ	
khattuṃ	fem	sattakkhattuparamatā	
kiṃ	adj	kiṃmṃlaka, kiṃcitta, kiṃpamukha, kiṃkata, kiṃpahotika, kiṃnidṃna, kiṃparama, kiṃjṃtika, kiṃpariyosṃna, kāmālaya	
maya (made of needs to be included)	noun	mattikāpatta, dārukuḍḍika, kaṃsapāti	
missing word, more words required for the sense	nt	dvārabhatta (ṭhapita), asappurisacintī (cintā), asappurisamantī (manā)	
numbers (addition)	card	bāvīsati, dvattiṃsati, catuddasa	
numbers (multiplication)	card	tiṃsati, koṭisatasahassa, satasahassī	
numbers (of duration in hell)	masc	uppalaniraya	
numbers (subtraction)	adj	aḍḍhuḍḍha, aḍḍhateḷasa, aḍḍhateyya	
prefix plus adverb	adv	samantaṃ, saṃmukhā	
prefix plus noun	x	apagabbha (apa gabbha), pācariya	
repeated words	adj	saṅghasaṅghī	
superlatives and comparitives	adj	paṇītasaṅkhātatara	
taddhita *ī	fem	ghoṭamukhī	
taddjita *ika	adj	subhagavanika	
tiro	ind	tirojanapadā, tiropabbataṃ, tiropākāraṃ, tiroraṭṭhā	
tiro	noun	tirokaraṇī, tirokuṭṭa	
two indedeclinables	ind	ahovatā	
			
INDIVIDUAL WORDS			
vaḷabhīratha	masc		
saṅkhārārammaṇa	adj		
surāmerayamajjapamādaṭṭhānapaccayā	ind		
mihitapubbaṃ	ind		
jaṅghabala	nt		
dāvaggi	masc		
aṭṭhaguṇaṃ	ind		
cittīkāra	masc		
upaḍḍhapiṇḍapātaṃ	ind		
ekeka	adj		
asītinavutikāla	masc		
attarūpena	ind		
paccūsasamayaṃ	ind		
kālenakālaṃ	ind		
cakkavattī	masc		
pacchāvacanīya	nt		
sācakka	nt		
tenaṅgena	ind		
sassatisamaṃ	ind		
govata	nt		
erāpatha	masc		
maraṇavadha	masc		
sakyaputtiya	adj		
bhavasaṅkhāra	masc		
issāvāda	masc		
mattaṭṭhiyaṃ	ind		
