chA	chB	ch1	ch2	eg	for
a	p	a	ap	abhivaggen'api	api
a	v	a	ev	cūḷa'va	eva
a	y	a		ta'y'idaṃ	general
ā	p	a	ap	ajjā'pi	api
ā	p	ā	ap	samāpattiyā'pi	api
ā	t	a	it	cā'ti	iti
ā	t	ā	it	upādāyā'ti	iti
ā	t	ā		tasmā't'iha	general
ā	v	ā	ev	datvā'va	eva
ā	y	ā		imissā'y'eva	general
b	a	ba	a	sabb'aṅga	general
b	ā	bā	ā	sabb'ākārena	general
b	ā	baṃ	a	bhūtapubb'āhaṃ	general
b	ā	be	a	pubb'āhaṃ	general
b	b	d	v	tab'bipaccanīka	general
b	e	be	e	sabb'ete	general
b	o	ba	o	sabb'okāsaṃ	general
b	ū	ba	u	amb'ūpamā	general
c	a	ca	a	c'aggā	general
c	a	ce	a	sac'assa	general
c	a	ci	a	kociañño	general
c	ā	ca	a	c'āhaṃ	general
c	ā	ca	ā	c'ānanda	general
c	ā	ca	i	cā'ti	iti
c	ā	cā	i	sammuccā'ti	iti
c	ā	ce	a	sac'āyaṃ	general
c	ā	ci	a	kacc'āsi	general
c	c	ti		icc'eva	general
c	c		c	sāra'c'chedo	general
c	e	ca	e	c'evimaṃ	general
c	e	ce	e	sac'etaṃ	general
c	i	ca	i	c'ime	general
c	i	ci	a	kaccisi	general
c	i	ci	i	kecime	general
c	o	ca	u	c'oggate	general
c	o	co	a	niccomhi	general
c	o	co	i	ādiccova	general
c	u	ca	u	papañcuppatti	general
c	ū	ca	u	cūbhayaṃ	general
d	a	da	a	pamādattha	general
d	ā	da	a	idāhaṃ	general
d	ā	da	ā	vādādayo	general
d	ā	dā	a	yadāhaṃ	general
d	ā	daṃ	a	ekamid'āhaṃ	general
d	ā	dī	a	evaṃvād'āhaṃ	general
d	d		d	ussita'd'dhajā	general
d	e	da	e	sadd'ettha	general
d	e		e	bahudeva	eva
d	i	da	i	iddhipād'indriyena	general
d	ī	dī	a	saccavādīmhi	general
d	o	da	u	candopama	general
d	o	do	a	ucchedavādohamasmī	general
d	u	da	u	pasāduppatti	general
d	u	du	i	udabindu'va	general
d	ū	da	u	pādūdare	general
d	ū	dū	a	vidūhaṃ	general
ḍ	ā	ḍa	ā	paribhaṇḍādīni	general
ḍ	ā	ḍā	a	muṇḍāsi	general
ḍ	o	da	u	piṇḍ'opajjhāriyāpatho	general
ḍ	o	ḍo	a	meṇḍo'si	general
ḍ	o	ḍo	u	piṇḍo'pajjhāriyāpatho	general
e	p	e	ap	suttepi	api
e	t	e	it	purisayugeti	iti
e	v	a	ev	ceva	eva
e	v	e	ev	pubbeva	eva
