bjt_sutta_code   	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya     	 bjt_major_section	 bjt_book	 bjt_minor_section                	 bjt_vagga                	 bjt_sutta
1. 1. 1          	 an-1-1-1    	 an-1        	          22	            2	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 1.
1. 1. 2          	 an-1-1-2    	 an-1        	          22	            2	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 2.
1. 1. 3          	 an-1-1-3    	 an-1        	          22	            2	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 3.
1. 1. 4          	 an-1-1-4    	 an-1        	          22	            2	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 4.
1. 1. 5          	 an-1-1-5    	 an-1        	          22	            4	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 5.
1. 1. 6          	 an-1-1-6    	 an-1        	          22	            4	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 6.
1. 1. 7          	 an-1-1-7    	 an-1        	          22	            4	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 7.
1. 1. 8          	 an-1-1-8    	 an-1        	          22	            4	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 8.
1. 1. 9          	 an-1-1-9    	 an-1        	          22	            4	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 9.
1. 1. 10         	 an-1-1-10   	 an-1        	          22	            4	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 1. cittapariyādānavaggo  	 1. 1. 10.
1. 2. 1          	 an-1-2-1    	 an-1        	          22	            6	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 1.
1. 2. 2          	 an-1-2-2    	 an-1        	          22	            6	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 2.
1. 2. 3          	 an-1-2-3    	 an-1        	          22	            6	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 3.
1. 2. 4          	 an-1-2-4    	 an-1        	          22	            6	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 4.
1. 2. 5          	 an-1-2-5    	 an-1        	          22	            6	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 5.
1. 2. 6          	 an-1-2-6    	 an-1        	          22	            8	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 6.
1. 2. 7          	 an-1-2-7    	 an-1        	          22	            8	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 7.
1. 2. 8          	 an-1-2-8    	 an-1        	          22	            8	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 8.
1. 2. 9          	 an-1-2-9    	 an-1        	          22	            8	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 9.
1. 2. 10         	 an-1-2-10   	 an-1        	          22	            8	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 2. nīvaraṇappahānavaggo  	 1. 2. 10.
1. 3. 1          	 an-1-3-1    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 1.
1. 3. 2          	 an-1-3-2    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 2.
1. 3. 3          	 an-1-3-3    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 3.
1. 3. 4          	 an-1-3-4    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 4.
1. 3. 5          	 an-1-3-5    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 5.
1. 3. 6          	 an-1-3-6    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 6.
1. 3. 7          	 an-1-3-7    	 an-1        	          22	           10	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 7.
1. 3. 8          	 an-1-3-8    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 8.
1. 3. 9          	 an-1-3-9    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 9.
1. 3. 10         	 an-1-3-10   	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 3. akammaniyavaggo       	 1. 3. 10.
1. 4. 1          	 an-1-4-1    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 1.
1. 4. 2          	 an-1-4-2    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 2.
1. 4. 3          	 an-1-4-3    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 3.
1. 4. 4          	 an-1-4-4    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 4.
1. 4. 5          	 an-1-4-5    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 5.
1. 4. 6          	 an-1-4-6    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 6.
1. 4. 7          	 an-1-4-7    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 7.
1. 4. 8          	 an-1-4-8    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 8.
1. 4. 9          	 an-1-4-9    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 9.
1. 4. 10         	 an-1-4-10   	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 10.
1. 5. 1          	 an-1-5-1    	 an-1        	          22	           16	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 1.
