bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya 	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga	 bjt_sutta
dn 1. 1.      	 dn-1-1      	 dn-1        	          10	            2	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 1. brahmajālasuttaṃ
dn 1. 2.      	 dn-1-2      	 dn-1        	          10	           82	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 2. sāmaññaphalasuttaṃ
dn 1. 3.      	 dn-1-3      	 dn-1-3      	          10	          150	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 3. ambaṭṭhasuttaṃ
dn 1. 4.      	 dn-1-4      	 dn-1-3      	          10	          222	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 4. soṇadaṇḍasuttaṃ
dn 1. 5.      	 dn-1-5      	 dn-1-3      	          10	          248	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 5. kūṭadantasuttaṃ
dn 1. 6.      	 dn-1-6      	 dn-1-6      	          10	          324	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 6. mahālisuttaṃ
dn 1. 7.      	 dn-1-7      	 dn-1-6      	          10	          348	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 7. jāliyasuttaṃ
dn 1. 8.      	 dn-1-8      	 dn-1-6      	          10	          356	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 8. sīhanādasuttaṃ
dn 1. 9.      	 dn-1-9      	 dn-1-6      	          10	          388	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 9. poṭṭhapādasuttaṃ
dn 1. 10.     	 dn-1-10     	 dn-1-6      	          10	          438	               0	 suttantapiṭake	 dīghanikāyo	                  	 1. sīlakkhandhavaggo	                  	          	 10. subhasuttaṃ
