bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-khp-1	kn-khp-1	kn-khp	28	2	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			saraṇagamanaṃ
kn-khp-2	kn-khp-2	kn-khp	28	2	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			dasasikkhāpadaṃ
kn-khp-3	kn-khp-3	kn-khp	28	4	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			dvattiṃsākāraṃ
kn-khp-4	kn-khp-4	kn-khp	28	4	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			kumārapañhā
kn-khp-5	kn-khp-5	kn-khp	28	6	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			maṅgalasuttaṃ
kn-khp-6	kn-khp-6	kn-khp	28	8	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			ratanasuttaṃ
kn-khp-7	kn-khp-7	kn-khp	28	14	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			tirokuḍḍasuttaṃ
kn-khp-8	kn-khp-8	kn-khp	28	16	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			nidhikaṇḍasuttaṃ
kn-khp-9	kn-khp-9	kn-khp	28	20	0	suttantapiṭake	khuddakanikāyo	khuddakapāṭhapāḷi			mettasuttaṃ
kn-dhp-1	kn-dhp-1	kn-dhp	28	26	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		yamakavaggo	
kn-dhp-2	kn-dhp-2	kn-dhp	28	30	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		appamādavaggo	
kn-dhp-3	kn-dhp-3	kn-dhp	28	34	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		cittavaggo	
kn-dhp-4	kn-dhp-4	kn-dhp	28	36	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		pupphavaggo	
kn-dhp-5	kn-dhp-5	kn-dhp	28	38	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		bālavaggo	
kn-dhp-6	kn-dhp-6	kn-dhp	28	40	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		paṇḍitavaggo	
kn-dhp-7	kn-dhp-7	kn-dhp	28	44	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		arahantavaggo	
kn-dhp-8	kn-dhp-8	kn-dhp	28	46	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		sahassavaggo	
kn-dhp-9	kn-dhp-9	kn-dhp	28	50	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		pāpavaggo	
kn-dhp-10	kn-dhp-10	kn-dhp	28	56	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		daṇḍavaggo	
kn-dhp-11	kn-dhp-11	kn-dhp	28	60	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		jarāvaggo	
