bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
1. 1. 1.	kn-jat-1-1-1	kn-jat	28	2	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	1. apaṇṇakajātakaṃ
1. 1. 2.	kn-jat-1-1-2	kn-jat	28	2	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	2. vaṇṇupathajātakaṃ
1. 1. 3.	kn-jat-1-1-3	kn-jat	28	2	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	3. serivāvāṇijajātakaṃ
1. 1. 4.	kn-jat-1-1-4	kn-jat	28	2	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	4. cullaseṭṭhijātakaṃ
1. 1. 5.	kn-jat-1-1-5	kn-jat	28	4	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	5. taṇḍulanāḷijātakaṃ
1. 1. 6.	kn-jat-1-1-6	kn-jat	28	4	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	6. devadhammajātakaṃ
1. 1. 7.	kn-jat-1-1-7	kn-jat	28	4	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	7. kaṭṭhahārijātakaṃ
1. 1. 8.	kn-jat-1-1-8	kn-jat	28	4	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	8. gāmaṇījātakaṃ
1. 1. 9.	kn-jat-1-1-9	kn-jat	28	4	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	9. makhādevajātakaṃ
1. 1. 10.	kn-jat-1-1-10	kn-jat	28	4	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	1. apaṇṇakavaggo	10. sukhavihārijātakaṃ
1. 2. 1.	kn-jat-1-2-1	kn-jat	28	6	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	1. lakkhaṇamigajātakaṃ
1. 2. 2.	kn-jat-1-2-2	kn-jat	28	6	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	2. nigrodhamigajātakaṃ
1. 2. 3.	kn-jat-1-2-3	kn-jat	28	6	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	3. kaṇḍinajātakaṃ
1. 2. 4.	kn-jat-1-2-4	kn-jat	28	6	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	4. vātamigajātakaṃ
1. 2. 5.	kn-jat-1-2-5	kn-jat	28	6	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	5. kharādiyajātakaṃ
1. 2. 6.	kn-jat-1-2-6	kn-jat	28	6	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	6. tipallatthamigajātakaṃ
1. 2. 7.	kn-jat-1-2-7	kn-jat	28	8	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	7. mālutajātakaṃ
1. 2. 8.	kn-jat-1-2-8	kn-jat	28	8	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	8. matakabhattajātakaṃ
1. 2. 9.	kn-jat-1-2-9	kn-jat	28	8	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	9. āyācitabhattajātakaṃ
1. 2. 10.	kn-jat-1-2-10	kn-jat	28	8	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	2. sīlavaggo	10. naḷapānajātakaṃ
1. 3. 1.	kn-jat-1-3-1	kn-jat	28	10	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	1. kuruṅgamigajātakaṃ
1. 3. 2.	kn-jat-1-3-2	kn-jat	28	10	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	2. kukkurajātakaṃ
1. 3. 3.	kn-jat-1-3-3	kn-jat	28	10	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	3. bhojājānīyajātakaṃ
1. 3. 4.	kn-jat-1-3-4	kn-jat	28	10	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	4. ājaññajātakaṃ
1. 3. 5.	kn-jat-1-3-5	kn-jat	28	10	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	5. titthajātakaṃ
1. 3. 6.	kn-jat-1-3-6	kn-jat	28	10	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	6. mahilāmukhajātakaṃ
1. 3. 7.	kn-jat-1-3-7	kn-jat	28	12	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	7. abhiṇhajātakaṃ
1. 3. 8.	kn-jat-1-3-8	kn-jat	28	12	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	8. nandivisālajātakaṃ
1. 3. 9.	kn-jat-1-3-9	kn-jat	28	12	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	9. kaṇhajātakaṃ
1. 3. 10.	kn-jat-1-3-10	kn-jat	28	12	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	3. kuruṅgavaggo	10. munikajātakaṃ
1. 4. 1.	kn-jat-1-4-1	kn-jat	28	14	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	1. kulāvakajātakaṃ
1. 4. 2.	kn-jat-1-4-2	kn-jat	28	14	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	2. naccajātakaṃ
1. 4. 3.	kn-jat-1-4-3	kn-jat	28	14	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	3. sammodamānajātakaṃ
1. 4. 4.	kn-jat-1-4-4	kn-jat	28	14	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	4. macchajātakaṃ
1. 4. 5.	kn-jat-1-4-5	kn-jat	28	14	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	5. vaṭṭakajātakaṃ
1. 4. 6.	kn-jat-1-4-6	kn-jat	28	16	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	6. sakuṇajātakaṃ
1. 4. 7.	kn-jat-1-4-7	kn-jat	28	16	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	7. tittirajātakaṃ
1. 4. 8.	kn-jat-1-4-8	kn-jat	28	16	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	8. bakajātakaṃ
1. 4. 9.	kn-jat-1-4-9	kn-jat	28	16	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	9. nandajātakaṃ
1. 4. 10.	kn-jat-1-4-10	kn-jat	28	16	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	4. kulāvakavaggo	10. khadiraṅgārajātakaṃ
1. 5. 1.	kn-jat-1-5-1	kn-jat	28	18	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	5. atthakāmavaggo	1. losakajātakaṃ
1. 5. 2.	kn-jat-1-5-2	kn-jat	28	18	0	suttantapiṭake	khuddakanikāye		jātakapāḷi	1. ekakanipāto	5. atthakāmavaggo	2. kapotakajātakaṃ
