bjt_sutta_code	 bjt_web_code  	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book  	 bjt_minor_section  	 bjt_vagga                	 bjt_sutta
jat 1. 1. 1.  	 kn-jat-1-1-1  	 kn-jat      	          32	            2	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 1. apaṇṇakajātakaṃ
jat 1. 1. 2.  	 kn-jat-1-1-2  	 kn-jat      	          32	            2	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 2. vaṇṇupathajātakaṃ
jat 1. 1. 3.  	 kn-jat-1-1-3  	 kn-jat      	          32	            2	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 3. serivāvāṇijajātakaṃ
jat 1. 1. 4.  	 kn-jat-1-1-4  	 kn-jat      	          32	            2	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 4. cullaseṭṭhijātakaṃ
jat 1. 1. 5.  	 kn-jat-1-1-5  	 kn-jat      	          32	            4	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 5. taṇḍulanāḷijātakaṃ
jat 1. 1. 6.  	 kn-jat-1-1-6  	 kn-jat      	          32	            4	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 6. devadhammajātakaṃ
jat 1. 1. 7.  	 kn-jat-1-1-7  	 kn-jat      	          32	            4	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 7. kaṭṭhahārijātakaṃ
jat 1. 1. 8.  	 kn-jat-1-1-8  	 kn-jat      	          32	            4	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 8. gāmaṇījātakaṃ
jat 1. 1. 9.  	 kn-jat-1-1-9  	 kn-jat      	          32	            4	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 9. makhādevajātakaṃ
jat 1. 1. 10. 	 kn-jat-1-1-10 	 kn-jat      	          32	            4	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 1. apaṇṇakavaggo         	 10. sukhavihārijātakaṃ
jat 1. 2. 1.  	 kn-jat-1-2-1  	 kn-jat      	          32	            6	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 1. lakkhaṇamigajātakaṃ
jat 1. 2. 2.  	 kn-jat-1-2-2  	 kn-jat      	          32	            6	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 2. nigrodhamigajātakaṃ
jat 1. 2. 3.  	 kn-jat-1-2-3  	 kn-jat      	          32	            6	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 3. kaṇḍinajātakaṃ
jat 1. 2. 4.  	 kn-jat-1-2-4  	 kn-jat      	          32	            6	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 4. vātamigajātakaṃ
jat 1. 2. 5.  	 kn-jat-1-2-5  	 kn-jat      	          32	            6	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 5. kharādiyajātakaṃ
jat 1. 2. 6.  	 kn-jat-1-2-6  	 kn-jat      	          32	            6	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 6. tipallatthamigajātakaṃ
jat 1. 2. 7.  	 kn-jat-1-2-7  	 kn-jat      	          32	            8	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 7. mālutajātakaṃ
jat 1. 2. 8.  	 kn-jat-1-2-8  	 kn-jat      	          32	            8	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 8. matakabhattajātakaṃ
jat 1. 2. 9.  	 kn-jat-1-2-9  	 kn-jat      	          32	            8	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 9. āyācitabhattajātakaṃ
jat 1. 2. 10. 	 kn-jat-1-2-10 	 kn-jat      	          32	            8	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 2. sīlavaggo             	 10. naḷapānajātakaṃ
jat 1. 3. 1.  	 kn-jat-1-3-1  	 kn-jat      	          32	           10	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 1. kuruṅgamigajātakaṃ
jat 1. 3. 2.  	 kn-jat-1-3-2  	 kn-jat      	          32	           10	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 2. kukkurajātakaṃ
jat 1. 3. 3.  	 kn-jat-1-3-3  	 kn-jat      	          32	           10	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 3. bhojājānīyajātakaṃ
jat 1. 3. 4.  	 kn-jat-1-3-4  	 kn-jat      	          32	           10	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 4. ājaññajātakaṃ
jat 1. 3. 5.  	 kn-jat-1-3-5  	 kn-jat      	          32	           10	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 5. titthajātakaṃ
jat 1. 3. 6.  	 kn-jat-1-3-6  	 kn-jat      	          32	           10	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 6. mahilāmukhajātakaṃ
jat 1. 3. 7.  	 kn-jat-1-3-7  	 kn-jat      	          32	           12	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 7. abhiṇhajātakaṃ
jat 1. 3. 8.  	 kn-jat-1-3-8  	 kn-jat      	          32	           12	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 8. nandivisālajātakaṃ
jat 1. 3. 9.  	 kn-jat-1-3-9  	 kn-jat      	          32	           12	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 9. kaṇhajātakaṃ
jat 1. 3. 10. 	 kn-jat-1-3-10 	 kn-jat      	          32	           12	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 3. kuruṅgavaggo          	 10. munikajātakaṃ
jat 1. 4. 1.  	 kn-jat-1-4-1  	 kn-jat      	          32	           14	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 1. kulāvakajātakaṃ
jat 1. 4. 2.  	 kn-jat-1-4-2  	 kn-jat      	          32	           14	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 2. naccajātakaṃ
jat 1. 4. 3.  	 kn-jat-1-4-3  	 kn-jat      	          32	           14	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 3. sammodamānajātakaṃ
jat 1. 4. 4.  	 kn-jat-1-4-4  	 kn-jat      	          32	           14	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 4. macchajātakaṃ
jat 1. 4. 5.  	 kn-jat-1-4-5  	 kn-jat      	          32	           14	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 5. vaṭṭakajātakaṃ
jat 1. 4. 6.  	 kn-jat-1-4-6  	 kn-jat      	          32	           16	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 6. sakuṇajātakaṃ
jat 1. 4. 7.  	 kn-jat-1-4-7  	 kn-jat      	          32	           16	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 7. tittirajātakaṃ
jat 1. 4. 8.  	 kn-jat-1-4-8  	 kn-jat      	          32	           16	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 8. bakajātakaṃ
jat 1. 4. 9.  	 kn-jat-1-4-9  	 kn-jat      	          32	           16	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 9. nandajātakaṃ
jat 1. 4. 10. 	 kn-jat-1-4-10 	 kn-jat      	          32	           16	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 4. kulāvakavaggo         	 10. khadiraṅgārajātakaṃ
jat 1. 5. 1.  	 kn-jat-1-5-1  	 kn-jat      	          32	           18	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 1. losakajātakaṃ
jat 1. 5. 2.  	 kn-jat-1-5-2  	 kn-jat      	          32	           18	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 2. kapotakajātakaṃ
jat 1. 5. 3.  	 kn-jat-1-5-3  	 kn-jat      	          32	           18	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 3. veḷukajātakaṃ
jat 1. 5. 4.  	 kn-jat-1-5-4  	 kn-jat      	          32	           18	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 4. makasajātakaṃ
jat 1. 5. 5.  	 kn-jat-1-5-5  	 kn-jat      	          32	           18	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 5. rohiṇījātakaṃ
jat 1. 5. 6.  	 kn-jat-1-5-6  	 kn-jat      	          32	           18	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 6. ārāmadūsakajātakaṃ
jat 1. 5. 7.  	 kn-jat-1-5-7  	 kn-jat      	          32	           20	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 7. vāruṇīdūsakajātakaṃ
jat 1. 5. 8.  	 kn-jat-1-5-8  	 kn-jat      	          32	           20	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 8. vedabbhajātakaṃ
jat 1. 5. 9.  	 kn-jat-1-5-9  	 kn-jat      	          32	           20	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 9. nakkhattajātakaṃ
jat 1. 5. 10. 	 kn-jat-1-5-10 	 kn-jat      	          32	           20	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 5. atthakāmavaggo        	 10. dummedhajātakaṃ
jat 1. 6. 1.  	 kn-jat-1-6-1  	 kn-jat      	          32	           22	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 1. mahāsīlavajātakaṃ
jat 1. 6. 2.  	 kn-jat-1-6-2  	 kn-jat      	          32	           22	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 2. cūḷajanakajātakaṃ
jat 1. 6. 3.  	 kn-jat-1-6-3  	 kn-jat      	          32	           22	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 3. puṇṇapātijātakaṃ
jat 1. 6. 4.  	 kn-jat-1-6-4  	 kn-jat      	          32	           22	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 4. kiṃphalajātakaṃ
jat 1. 6. 5.  	 kn-jat-1-6-5  	 kn-jat      	          32	           22	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 5. pañcāvudhajātakaṃ
jat 1. 6. 6.  	 kn-jat-1-6-6  	 kn-jat      	          32	           22	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 6. kañcanakkhandhajātakaṃ
jat 1. 6. 7.  	 kn-jat-1-6-7  	 kn-jat      	          32	           24	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 7. vānarinda jātakaṃ
jat 1. 6. 8.  	 kn-jat-1-6-8  	 kn-jat      	          32	           24	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 8. tayodhammajātakaṃ
jat 1. 6. 9.  	 kn-jat-1-6-9  	 kn-jat      	          32	           24	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 9. bherivādajātakaṃ
jat 1. 6. 10. 	 kn-jat-1-6-10 	 kn-jat      	          32	           24	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 6. āsiṃsavaggo           	 10. saṅkhadhamanajātakaṃ
jat 1. 7. 1.  	 kn-jat-1-7-1  	 kn-jat      	          32	           26	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 1. asātamantajātakaṃ
jat 1. 7. 2.  	 kn-jat-1-7-2  	 kn-jat      	          32	           26	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 2. andhabhūtajātakaṃ
jat 1. 7. 3.  	 kn-jat-1-7-3  	 kn-jat      	          32	           26	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 3. takkajātakaṃ
jat 1. 7. 4.  	 kn-jat-1-7-4  	 kn-jat      	          32	           26	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 4. durājānajātakaṃ
jat 1. 7. 5.  	 kn-jat-1-7-5  	 kn-jat      	          32	           26	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 5. anabhiratijātakaṃ
jat 1. 7. 6.  	 kn-jat-1-7-6  	 kn-jat      	          32	           28	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 6. mudulakkhaṇajātakaṃ
jat 1. 7. 7.  	 kn-jat-1-7-7  	 kn-jat      	          32	           28	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 7. ucchaṅgajātakaṃ
jat 1. 7. 8.  	 kn-jat-1-7-8  	 kn-jat      	          32	           28	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 8. sāketajātakaṃ
jat 1. 7. 9.  	 kn-jat-1-7-9  	 kn-jat      	          32	           28	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 9. visavantajātakaṃ
jat 1. 7. 10. 	 kn-jat-1-7-10 	 kn-jat      	          32	           28	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 7. itthivaggo            	 10. kuddālajātakaṃ
jat 1. 8. 1.  	 kn-jat-1-8-1  	 kn-jat      	          32	           30	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 1. varaṇajātakaṃ
jat 1. 8. 2.  	 kn-jat-1-8-2  	 kn-jat      	          32	           30	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 2. sīlavanāgarājajātakaṃ
jat 1. 8. 3.  	 kn-jat-1-8-3  	 kn-jat      	          32	           30	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 3. saccaṃkirajātakaṃ
jat 1. 8. 4.  	 kn-jat-1-8-4  	 kn-jat      	          32	           30	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 4. rukkhadhammajātakaṃ
jat 1. 8. 5.  	 kn-jat-1-8-5  	 kn-jat      	          32	           30	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 5. macchajātakaṃ
jat 1. 8. 6.  	 kn-jat-1-8-6  	 kn-jat      	          32	           30	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 6. asaṅkiyajātakaṃ
jat 1. 8. 7.  	 kn-jat-1-8-7  	 kn-jat      	          32	           32	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 7. mahāsupinajātakaṃ
jat 1. 8. 8.  	 kn-jat-1-8-8  	 kn-jat      	          32	           32	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 8. illīsajātakaṃ
jat 1. 8. 9.  	 kn-jat-1-8-9  	 kn-jat      	          32	           32	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 9. kharassarajātakaṃ
jat 1. 8. 10. 	 kn-jat-1-8-10 	 kn-jat      	          32	           32	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 8. varaṇavaggo           	 10. bhīmasenajātakaṃ
jat 1. 9. 1.  	 kn-jat-1-9-1  	 kn-jat      	          32	           34	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 1. surāpānajātakaṃ
jat 1. 9. 2.  	 kn-jat-1-9-2  	 kn-jat      	          32	           34	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 2. mittavindajātakaṃ
jat 1. 9. 3.  	 kn-jat-1-9-3  	 kn-jat      	          32	           34	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 3. kālakaṇṇijātakaṃ
jat 1. 9. 4.  	 kn-jat-1-9-4  	 kn-jat      	          32	           34	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 4. atthassadvārajātakaṃ
jat 1. 9. 5.  	 kn-jat-1-9-5  	 kn-jat      	          32	           34	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 5. kimpakkajātakaṃ
jat 1. 9. 6.  	 kn-jat-1-9-6  	 kn-jat      	          32	           36	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 6. sīlavīmaṃsajātakaṃ
jat 1. 9. 7.  	 kn-jat-1-9-7  	 kn-jat      	          32	           36	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 7. maṅgalajātakaṃ
jat 1. 9. 8.  	 kn-jat-1-9-8  	 kn-jat      	          32	           36	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 8. sāramhajātakaṃ
jat 1. 9. 9.  	 kn-jat-1-9-9  	 kn-jat      	          32	           36	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 9. kuhakajātakaṃ
jat 1. 9. 10. 	 kn-jat-1-9-10 	 kn-jat      	          32	           36	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 9. apāyimhavaggo         	 10. akataññujātakaṃ
jat 1. 10. 1. 	 kn-jat-1-10-1 	 kn-jat      	          32	           38	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 10. littavaggo           	 1. littajātakaṃ
jat 1. 10. 2. 	 kn-jat-1-10-2 	 kn-jat      	          32	           38	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 10. littavaggo           	 2. mahāsārajātakaṃ
jat 1. 10. 3. 	 kn-jat-1-10-3 	 kn-jat      	          32	           38	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 10. littavaggo           	 3. vissāsabhojanajātakaṃ
jat 1. 10. 4. 	 kn-jat-1-10-4 	 kn-jat      	          32	           38	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 10. littavaggo           	 4. lomahaṃsajātakaṃ
jat 1. 10. 5. 	 kn-jat-1-10-5 	 kn-jat      	          32	           38	               0	 suttantapiṭake	 khuddakanikāyo	                  	 jātakapāḷi	 1. ekakanipāto     	 10. littavaggo           	 5. mahāsudassanajātakaṃ
