bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
ud 1. 1.	kn-ud-1-1	kn-ud	28	130	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	1. paṭhamabodhisuttaṃ
ud 1. 2.	kn-ud-1-2	kn-ud	28	132	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	2. dutiyabodhisuttaṃ
ud 1. 3.	kn-ud-1-3	kn-ud	28	132	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	3. tatiyabodhisuttaṃ
ud 1. 4.	kn-ud-1-4	kn-ud	28	134	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	4. nigrodhasuttaṃ
ud 1. 5.	kn-ud-1-5	kn-ud	28	136	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	5. brāhmaṇasuttaṃ
ud 1. 6.	kn-ud-1-6	kn-ud	28	136	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	6. kassapasuttaṃ
ud 1. 7.	kn-ud-1-7	kn-ud	28	138	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	7. pāvāsuttaṃ
ud 1. 8.	kn-ud-1-8	kn-ud	28	138	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	8. saṅgāmajisuttaṃ
ud 1. 9.	kn-ud-1-9	kn-ud	28	140	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	9. jaṭilasuttaṃ
ud 1. 10.	kn-ud-1-10	kn-ud	28	142	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		1. bodhivaggo paṭhamo	10. bāhiyasuttaṃ
ud 2. 1.	kn-ud-2-1	kn-ud	28	148	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	1. mucalindasuttaṃ
ud 2. 2.	kn-ud-2-2	kn-ud	28	148	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	2. rājasuttaṃ
ud 2. 3.	kn-ud-2-3	kn-ud	28	150	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	3. daṇḍasuttaṃ
ud 2. 4.	kn-ud-2-4	kn-ud	28	152	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	4. sakkārasuttaṃ
ud 2. 5.	kn-ud-2-5	kn-ud	28	154	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	5. upāsakasuttaṃ
ud 2. 6.	kn-ud-2-6	kn-ud	28	154	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	6. gabbhinīsuttaṃ
ud 2. 7.	kn-ud-2-7	kn-ud	28	156	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	7. ekaputtakasuttaṃ
ud 2. 8.	kn-ud-2-8	kn-ud	28	158	0	suttantapiṭake	khuddakanikāyo		udānapāḷi		2. mucalindavaggo dutiyo	8. suppavāsāsuttaṃ
