bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
iti 1. 1. 1.	kn-iti-1-1-1	kn-iti	28	318	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	1. lobhasuttaṃ
iti 1. 1. 2.	kn-iti-1-1-2	kn-iti	28	318	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	2. dosasuttaṃ.
iti 1. 1. 3.	kn-iti-1-1-3	kn-iti	28	320	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	3. mohasuttaṃ
iti 1. 1. 4.	kn-iti-1-1-4	kn-iti	28	320	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	4. kodhasuttaṃ
iti 1. 1. 5.	kn-iti-1-1-5	kn-iti	28	320	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	5. makkhasuttaṃ
iti 1. 1. 6.	kn-iti-1-1-6	kn-iti	28	322	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	6. mānasuttaṃ
iti 1. 1. 7.	kn-iti-1-1-7	kn-iti	28	322	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	7. sabbapariññāsuttaṃ
iti 1. 1. 8.	kn-iti-1-1-8	kn-iti	28	324	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	8. mānapariññāsuttaṃ
iti 1. 1. 9.	kn-iti-1-1-9	kn-iti	28	324	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	9. lobhapariññāsuttaṃ
iti 1. 1. 10.	kn-iti-1-1-10	kn-iti	28	326	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	1. paṭhamo vaggo	10. dosapariññāsuttaṃ
iti 1. 2. 1.	kn-iti-1-2-1	kn-iti	28	328	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	1. mohapariññā suttaṃ
iti 1. 2. 2.	kn-iti-1-2-2	kn-iti	28	328	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	2. kodhapariññā suttaṃ
iti 1. 2. 3.	kn-iti-1-2-3	kn-iti	28	330	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	3. makkhapariññā suttaṃ
iti 1. 2. 4.	kn-iti-1-2-4	kn-iti	28	330	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	4. avijjānīvaraṇā suttaṃ
iti 1. 2. 5.	kn-iti-1-2-5	kn-iti	28	332	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	5. taṇhāsaṃyojanasuttaṃ
iti 1. 2. 6.	kn-iti-1-2-6	kn-iti	28	332	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	6. paṭhamasekhasuttaṃ
iti 1. 2. 7.	kn-iti-1-2-7	kn-iti	28	334	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	7. dutiyasekhasuttaṃ
iti 1. 2. 8.	kn-iti-1-2-8	kn-iti	28	334	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	8. saṅghabhedasuttaṃ
iti 1. 2. 9.	kn-iti-1-2-9	kn-iti	28	336	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	9. saṅghasāmaggisuttaṃ
iti 1. 2. 10.	kn-iti-1-2-10	kn-iti	28	336	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	2. dutiyavaggo	10. paduṭṭhapuggalasuttaṃ
iti 1. 3. 1.	kn-iti-1-3-1	kn-iti	28	338	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	1. pasannacitta suttaṃ
iti 1. 3. 2.	kn-iti-1-3-2	kn-iti	28	340	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	2. māpuññabhāyī suttaṃ{1}
iti 1. 3. 3.	kn-iti-1-3-3	kn-iti	28	342	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	3. ubho-attha suttaṃ
iti 1. 3. 4.	kn-iti-1-3-4	kn-iti	28	342	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	4. aṭṭhipuñjasuttaṃ
iti 1. 3. 5.	kn-iti-1-3-5	kn-iti	28	344	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	5. sampajāna musāvāda suttaṃ
iti 1. 3. 6.	kn-iti-1-3-6	kn-iti	28	344	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	6. dānasaṃvibhāga suttaṃ
iti 1. 3. 7.	kn-iti-1-3-7	kn-iti	28	346	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	1. ekakanipāto	3. tatiyo vaggo	7. mettācetovimutti suttaṃ
iti 2. 1. 1.	kn-iti-2-1-1	kn-iti	28	348	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	1. paṭhamabhikkhusuttaṃ
iti 2. 1. 2.	kn-iti-2-1-2	kn-iti	28	350	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	2. dutiyabhikkhu suttaṃ
iti 2. 1. 3.	kn-iti-2-1-3	kn-iti	28	350	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	3. tapanīya suttaṃ
iti 2. 1. 4.	kn-iti-2-1-4	kn-iti	28	352	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	4. atapanīya suttaṃ
iti 2. 1. 5.	kn-iti-2-1-5	kn-iti	28	352	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	5. pāpakasīla suttaṃ
iti 2. 1. 6.	kn-iti-2-1-6	kn-iti	28	354	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	6. bhaddakasīla suttaṃ
iti 2. 1. 7.	kn-iti-2-1-7	kn-iti	28	354	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	7. anātāpī suttaṃ
iti 2. 1. 8.	kn-iti-2-1-8	kn-iti	28	356	0	suttantapiṭake	khuddakanikāyo		itivuttakapāḷi	2. dukanipāto	1. paṭhamo vaggo	8. paṭhama janakuhana suttaṃ
