bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
snp 1. 1.	kn-snp-1-1	kn-snp	29	2	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	1. uragasuttaṃ
snp 1. 2.	kn-snp-1-2	kn-snp	29	6	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	2. dhaniyasuttaṃ
snp 1. 3.	kn-snp-1-3	kn-snp	29	12	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	3. khaggavisāṇa suttaṃ
snp 1. 4.	kn-snp-1-4	kn-snp	29	22	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	4. kasībhāradvājasuttaṃ
snp 1. 5.	kn-snp-1-5	kn-snp	29	28	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	5. cundasuttaṃ
snp 1. 6.	kn-snp-1-6	kn-snp	29	30	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	6. parābhavasuttaṃ
snp 1. 7.	kn-snp-1-7	kn-snp	29	36	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	7. vasala suttaṃ
snp 1. 8.	kn-snp-1-8	kn-snp	29	44	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	8. mettasuttaṃ
snp 1. 9.	kn-snp-1-9	kn-snp	29	46	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	9. hemavatasuttaṃ
snp 1. 10.	kn-snp-1-10	kn-snp	29	54	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	10. āḷavakasuttaṃ
snp 1. 11.	kn-snp-1-11	kn-snp	29	60	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	11. vijayasuttaṃ
snp 1. 12.	kn-snp-1-12	kn-snp	29	62	0	khuddakanikāye	khuddakanikāyo		suttanipātapāḷi		1. uragavaggo	12. muni suttaṃ
