bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
vv 1. 1.	kn-vv-1-1	kn-vv	30	2	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	1. paṭhamapīṭhavimānaṃ
vv 1. 2.	kn-vv-1-2	kn-vv	30	4	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	2. dutiyapīṭhavimānaṃ
vv 1. 3.	kn-vv-1-3	kn-vv	30	6	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	3. tatiyapīṭhavimānaṃ
vv 1. 4.	kn-vv-1-4	kn-vv	30	8	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	4. catutthapīṭhavimānaṃ
vv 1. 5.	kn-vv-1-5	kn-vv	30	10	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	5. kuñjaravimānaṃ
vv 1. 6.	kn-vv-1-6	kn-vv	30	12	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	6. paṭhamanāvāvimānaṃ
vv 1. 7.	kn-vv-1-7	kn-vv	30	14	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	7. dutiyanāvāvimānaṃ
vv 1. 8.	kn-vv-1-8	kn-vv	30	16	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	8. tatiyanāvā vimānaṃ
vv 1. 9.	kn-vv-1-9	kn-vv	30	18	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	9. dīpavimānaṃ
vv 1. 10.	kn-vv-1-10	kn-vv	30	20	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	10. tiladakkhiṇāvimānaṃ
vv 1. 11.	kn-vv-1-11	kn-vv	30	22	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	11. patibbatāvimānaṃ
vv 1. 12.	kn-vv-1-12	kn-vv	30	22	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	12. dutiya patibbatāvimānaṃ
vv 1. 13.	kn-vv-1-13	kn-vv	30	24	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	13. suṇisāvimānaṃ
vv 1. 14.	kn-vv-1-14	kn-vv	30	26	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	14. dutiya suṇisāvimānaṃ
vv 1. 15.	kn-vv-1-15	kn-vv	30	28	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	15. uttarāvimānaṃ
vv 1. 16.	kn-vv-1-16	kn-vv	30	32	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	16. sirimāvimānaṃ
vv 1. 17.	kn-vv-1-17	kn-vv	30	34	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		1. pīṭhavaggo	17. kesakārīvimānaṃ
vv 2. 1.	kn-vv-2-1	kn-vv	30	38	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	1. dāsīvimānaṃ
vv 2. 2.	kn-vv-2-2	kn-vv	30	40	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	2. lakhumāvimānaṃ
vv 2. 3.	kn-vv-2-3	kn-vv	30	42	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	3. ācāmadāyikāvimānaṃ
vv 2. 4.	kn-vv-2-4	kn-vv	30	44	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	4. caṇḍālīvimānaṃ
vv 2. 5.	kn-vv-2-5	kn-vv	30	46	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	5. bhadditthivimānaṃ
vv 2. 6.	kn-vv-2-6	kn-vv	30	48	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	6. soṇadinnā vimānaṃ
vv 2. 7.	kn-vv-2-7	kn-vv	30	50	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	7. uposathā vimānaṃ
vv 2. 8.	kn-vv-2-8	kn-vv	30	52	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	8. saddhāvimānaṃ
vv 2. 9.	kn-vv-2-9	kn-vv	30	54	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	9. sunandā vimānaṃ
vv 2. 10.	kn-vv-2-10	kn-vv	30	56	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	10. bhikkhādāyikā vimānaṃ
vv 2. 11.	kn-vv-2-11	kn-vv	30	58	0	suttantapiṭake	khuddakanikāyo		vimānavatthupāḷi		2. cittalatāvaggo	11. dutiyabhikkhādāyikā vimānaṃ
