bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book      	 bjt_minor_section	 bjt_vagga     	 bjt_sutta
pv 1. 1.      	 kn-pv-1-1   	 kn-pv       	          30	            2	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 1. khettūpamapetavatthu paṭhamaṃ
pv 1. 2.      	 kn-pv-1-2   	 kn-pv       	          30	            2	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 2. sūkaramukhapetavatthu dutiyaṃ
pv 1. 3.      	 kn-pv-1-3   	 kn-pv       	          30	            4	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 3. pūtimukhapetavatthu tatiyaṃ
pv 1. 4.      	 kn-pv-1-4   	 kn-pv       	          30	            4	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 4. piṭṭhadhītalikapetavatthu catutthaṃ
pv 1. 5.      	 kn-pv-1-5   	 kn-pv       	          30	            6	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 5. tirokuḍḍapetavatthu pañcamaṃ
pv 1. 6.      	 kn-pv-1-6   	 kn-pv       	          30	            8	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 6. pañcaputtakhādakapetavatthu chaṭṭhamaṃ
pv 1. 7.      	 kn-pv-1-7   	 kn-pv       	          30	           10	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 7. sattaputtakhādakapetavatthu sattamaṃ
pv 1. 8.      	 kn-pv-1-8   	 kn-pv       	          30	           12	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 8. goṇapetavatthu aṭṭhamaṃ
pv 1. 9.      	 kn-pv-1-9   	 kn-pv       	          30	           12	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 9. mahāpesakārapetavatthu navamaṃ
pv 1. 10.     	 kn-pv-1-10  	 kn-pv       	          30	           16	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 10. khallāṭiyapetavatthu dasamaṃ
pv 1. 11.     	 kn-pv-1-11  	 kn-pv       	          30	           18	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 11. nāgapetavatthu ekādasamaṃ
pv 1. 12.     	 kn-pv-1-12  	 kn-pv       	          30	           20	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 1. uragavaggo 	 12. uragapetavatthu dvādasamaṃ
pv 2. 1.      	 kn-pv-2-1   	 kn-pv       	          30	           24	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 1. saṃsāramocakapetavatthu paṭhamaṃ
pv 2. 2.      	 kn-pv-2-2   	 kn-pv       	          30	           28	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 2. sāriputtattherassa mātupetavatthu dutiyaṃ
pv 2. 3.      	 kn-pv-2-3   	 kn-pv       	          30	           34	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 3. mattāpetavatthu tatiyaṃ
pv 2. 4.      	 kn-pv-2-4   	 kn-pv       	          30	           38	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 4. nandāpetavatthu catutthaṃ
pv 2. 5.      	 kn-pv-2-5   	 kn-pv       	          30	           42	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 5. maṭṭakuṇḍalīpetavatthu pañcamaṃ
pv 2. 6.      	 kn-pv-2-6   	 kn-pv       	          30	           46	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 6. kaṇhapetavatthu chaṭṭhaṃ
pv 2. 7.      	 kn-pv-2-7   	 kn-pv       	          30	           50	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 7. dhanapālapetavatthu sattamaṃ
pv 2. 8.      	 kn-pv-2-8   	 kn-pv       	          30	           52	             254	 suttantapiṭake	 khuddakanikāyo	                  	 petavatthupāḷi	                  	 2. ubbarīvaggo	 8. cullaseṭṭhipetavatthu aṭṭhamaṃ
