bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
thag 1. 1. 1.	kn-thag-1-1-1	kn-thag	31	2	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	1. subhūtittheragāthā
thag 1. 1. 2.	kn-thag-1-1-2	kn-thag	31	2	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	2. mahākoṭṭhitattheragāthā
thag 1. 1. 3.	kn-thag-1-1-3	kn-thag	31	4	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	3. kaṅkhārevatattheragāthā
thag 1. 1. 4.	kn-thag-1-1-4	kn-thag	31	4	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	4. puṇṇattheragāthā
thag 1. 1. 5.	kn-thag-1-1-5	kn-thag	31	4	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	5. dabbattheragāthā
thag 1. 1. 6.	kn-thag-1-1-6	kn-thag	31	4	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	6. sītavaniyattheragāthā
thag 1. 1. 7.	kn-thag-1-1-7	kn-thag	31	4	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	7. bhalliyattheragāthā
thag 1. 1. 8.	kn-thag-1-1-8	kn-thag	31	6	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	8. vīrattheragāthā
thag 1. 1. 9.	kn-thag-1-1-9	kn-thag	31	6	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	9. piḷindavacchattheragāthā
thag 1. 1. 10.	kn-thag-1-1-10	kn-thag	31	6	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	1. paṭhamo vaggo	10. puṇṇamāsattheragāthā
thag 1. 2. 1.	kn-thag-1-2-1	kn-thag	31	8	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	1. cūḷavacchattheragāthā
thag 1. 2. 2.	kn-thag-1-2-2	kn-thag	31	8	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	2. mahāvacchattheragāthā
thag 1. 2. 3.	kn-thag-1-2-3	kn-thag	31	8	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	3. vanavacchattheragāthā
thag 1. 2. 4.	kn-thag-1-2-4	kn-thag	31	8	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	4. vanavacchattherasāmaṇeragāthā
thag 1. 2. 5.	kn-thag-1-2-5	kn-thag	31	8	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	5. kuṇḍadhānattheragāthā
thag 1. 2. 6.	kn-thag-1-2-6	kn-thag	31	8	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	6. bellaṭṭhisīsattheragāthā
thag 1. 2. 7.	kn-thag-1-2-7	kn-thag	31	10	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	7. dāsakattheragāthā
thag 1. 2. 8.	kn-thag-1-2-8	kn-thag	31	10	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	8. sigālapituttheragāthā
thag 1. 2. 9.	kn-thag-1-2-9	kn-thag	31	10	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	9. kuṇḍalattheragāthā
thag 1. 2. 10.	kn-thag-1-2-10	kn-thag	31	10	0	suttantapiṭake	khuddakanikāyo		theragāthāpāḷi	1. ekakanipāto	2. dutiyo vaggo	10. ajitattheragāthā
