bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
1. 1.	kn-thig-1-1	kn-thig	28	2	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			aññataratherīgāthā
1. 2.	kn-thig-1-2	kn-thig	28	2	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			muttātherīgāthā
1. 3.	kn-thig-1-3	kn-thig	28	2	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			puṇṇātherīgāthā
1. 4.	kn-thig-1-4	kn-thig	28	4	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			tissātherīgāthā
1. 6.	kn-thig-1-6	kn-thig	28	4	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			dhīrātherīgāthā
1. 7.	kn-thig-1-7	kn-thig	28	4	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			vīrātherīgāthā
1. 8.	kn-thig-1-8	kn-thig	28	4	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			mittātherīgāthā
1. 9.	kn-thig-1-9	kn-thig	28	6	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			bhadrātherīgāthā
1. 10.	kn-thig-1-10	kn-thig	28	6	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			upasamātherīgāthā
1. 12.	kn-thig-1-12	kn-thig	28	6	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			dhammadinnātherīgāthā
1. 13.	kn-thig-1-13	kn-thig	28	6	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			visākhātherīgāthā
1. 14.	kn-thig-1-14	kn-thig	28	8	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sumanātherīgāthā
1. 15.	kn-thig-1-15	kn-thig	28	8	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			uttarātherīgāthā
1. 16.	kn-thig-1-16	kn-thig	28	8	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sumanābuḍḍhapabbajitātherīgāthā
1. 17.	kn-thig-1-17	kn-thig	28	8	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			dhammātherīgāthā
1. 18.	kn-thig-1-18	kn-thig	28	8	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			saṅghātherīgāthā
2. 1.	kn-thig-2-1	kn-thig	28	10	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			abhirūpanandātherīgāthā
2. 2.	kn-thig-2-2	kn-thig	28	10	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			jentātherīgāthā
2. 3.	kn-thig-2-3	kn-thig	28	10	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sumaṅgalamātātherīgāthā
2. 4.	kn-thig-2-4	kn-thig	28	12	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			aḍḍhakāsītherīgāthā
2. 5.	kn-thig-2-5	kn-thig	28	12	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			cittātherīgāthā
2. 6.	kn-thig-2-6	kn-thig	28	12	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			mettikātherīgāthā
2. 7.	kn-thig-2-7	kn-thig	28	12	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			mettātherīgāthā
2. 8.	kn-thig-2-8	kn-thig	28	14	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			abhayamātātherīgāthā
2. 9.	kn-thig-2-9	kn-thig	28	14	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			abhayātherīgāthā
2. 10.	kn-thig-2-10	kn-thig	28	14	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sāmātherīgāthā
3. 2.	kn-thig-3-2	kn-thig	28	16	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			uttamātherīgāthā
3. 4.	kn-thig-3-4	kn-thig	28	18	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			dantikātherīgāthā
3. 5.	kn-thig-3-5	kn-thig	28	18	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			ubbirītherīgāthā
3. 6.	kn-thig-3-6	kn-thig	28	18	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sukkātherīgāthā
3. 7.	kn-thig-3-7	kn-thig	28	20	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			selātherīgāthā
3. 8.	kn-thig-3-8	kn-thig	28	20	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			somātherīgāthā
4. 1.	kn-thig-4-1	kn-thig	28	22	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			bhaddākāpilānītherīgāthā
5. 1.	kn-thig-5-1	kn-thig	28	24	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			aññatarātherīgāthā
5. 2.	kn-thig-5-2	kn-thig	28	24	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			vimalātherīgāthā
5. 3.	kn-thig-5-3	kn-thig	28	26	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sīhātherīgāthā
5. 4.	kn-thig-5-4	kn-thig	28	26	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sundarīnandātherīgāthā
5. 5.	kn-thig-5-5	kn-thig	28	28	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			nanduttarātherīgāthā
5. 6.	kn-thig-5-6	kn-thig	28	28	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			mittākāḷitherīgāthā
5. 7.	kn-thig-5-7	kn-thig	28	30	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			sakulātherīgāthā
5. 8.	kn-thig-5-8	kn-thig	28	30	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			soṇatherīgāthā
5. 10.	kn-thig-5-10	kn-thig	28	32	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			paṭācārātherīgāthā
5. 12.	kn-thig-5-12	kn-thig	28	34	0	suttantapiṭake	khuddakanikāyo		therīgāthāpāḷi			candātherīgāthā
