bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga           	 bjt_sutta
mn 1. 1. 1.   	 mn-1-1-1    	 mn-1        	          13	            2	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 1. mūlapariyāyasuttaṃ
mn 1. 1. 2.   	 mn-1-1-2    	 mn-1        	          13	           18	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 2. sabbāsavasuttaṃ
mn 1. 1. 3.   	 mn-1-1-3    	 mn-1        	          13	           30	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 3. dhammadāyādasuttaṃ
mn 1. 1. 4.   	 mn-1-1-4    	 mn-1        	          13	           38	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 4. bhayabheravasuttaṃ
mn 1. 1. 5.   	 mn-1-1-5    	 mn-1        	          13	           54	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 5. anaṅgaṇasuttaṃ
mn 1. 1. 6.   	 mn-1-1-6    	 mn-1        	          13	           74	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 6. ākaṅkheyyasuttaṃ
mn 1. 1. 7.   	 mn-1-1-7    	 mn-1        	          13	           82	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 7. vatthūpamasuttaṃ
mn 1. 1. 8.   	 mn-1-1-8    	 mn-1        	          13	           92	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 8. sallekhasuttaṃ
mn 1. 1. 9.   	 mn-1-1-9    	 mn-1        	          13	          110	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 9. sammādiṭṭhisuttaṃ
mn 1. 1. 10.  	 mn-1-1-10   	 mn-1        	          13	          134	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 1. mūlapariyāyavaggo	 10. satipaṭṭhānasuttaṃ
mn 1. 2. 1.   	 mn-1-2-1    	 mn-1-2      	          13	          154	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 1. cūḷasīhanādasuttaṃ
mn 1. 2. 2.   	 mn-1-2-2    	 mn-1-2      	          13	          164	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 2. mahāsīhanādasuttaṃ
mn 1. 2. 3.   	 mn-1-2-3    	 mn-1-2      	          13	          200	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 3. mahādukkhakkhandhasuttaṃ
mn 1. 2. 4.   	 mn-1-2-4    	 mn-1-2      	          13	          214	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 4. cūḷadukkhakkhandhasuttaṃ
mn 1. 2. 5.   	 mn-1-2-5    	 mn-1-2      	          13	          228	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 5. anumānasuttaṃ
mn 1. 2. 6.   	 mn-1-2-6    	 mn-1-2      	          13	          252	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 6. cetokhilasuttaṃ
mn 1. 2. 7.   	 mn-1-2-7    	 mn-1-2      	          13	          264	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 7. vanapatthasuttaṃ
mn 1. 2. 8.   	 mn-1-2-8    	 mn-1-2      	          13	          272	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 8. madhupiṇḍikasuttaṃ
mn 1. 2. 9.   	 mn-1-2-9    	 mn-1-2      	          13	          288	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 2. sīhanādavaggo    	 9. dvedhāvitakkasuttaṃ
