bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
sn 1. 1. 1. 1.	sn-1-1-1-1	sn-1	16	2	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	1. oghataraṇasuttaṃ
sn 1. 1. 1. 2.	sn-1-1-1-2	sn-1	16	4	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	2. nimokkhasuttaṃ
sn 1. 1. 1. 3.	sn-1-1-1-3	sn-1	16	4	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	3. upanīyatisuttaṃ
sn 1. 1. 1. 4.	sn-1-1-1-4	sn-1	16	6	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	4. accentisuttaṃ
sn 1. 1. 1. 5.	sn-1-1-1-5	sn-1	16	6	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	5. katichindasuttaṃ
sn 1. 1. 1. 6.	sn-1-1-1-6	sn-1	16	6	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	6. jāgarasuttaṃ
sn 1. 1. 1. 7.	sn-1-1-1-7	sn-1	16	8	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	7. appaṭividitasuttaṃ
sn 1. 1. 1. 8.	sn-1-1-1-8	sn-1	16	8	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	8. susammuṭṭhasuttaṃ
sn 1. 1. 1. 9.	sn-1-1-1-9	sn-1	16	8	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	9. namānakāmasuttaṃ
sn 1. 1. 1. 10.	sn-1-1-1-10	sn-1	16	10	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	10. araññasuttaṃ
sn 1. 1. 2. 1.	sn-1-1-2-1	sn-1	16	10	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	1. nandanasuttaṃ
sn 1. 1. 2. 2.	sn-1-1-2-2	sn-1	16	12	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	2. nandatisuttaṃ
sn 1. 1. 2. 3.	sn-1-1-2-3	sn-1	16	12	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	3. natthiputtasuttaṃ
sn 1. 1. 2. 4.	sn-1-1-2-4	sn-1	16	12	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	4. khattiyasuttaṃ
sn 1. 1. 2. 5.	sn-1-1-2-5	sn-1	16	14	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	5. sanamānasuttaṃ
sn 1. 1. 2. 6.	sn-1-1-2-6	sn-1	16	14	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	6. niddātandīsuttaṃ
sn 1. 1. 2. 7.	sn-1-1-2-7	sn-1	16	14	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	7. dukkarasuttaṃ
sn 1. 1. 2. 8.	sn-1-1-2-8	sn-1	16	16	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	8. hirisuttaṃ
sn 1. 1. 2. 9.	sn-1-1-2-9	sn-1	16	16	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	9. kuṭikāsuttaṃ
sn 1. 1. 2. 10.	sn-1-1-2-10	sn-1	16	18	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		2. nandanavaggo	10. samiddhisuttaṃ
sn 1. 1. 3. 1.	sn-1-1-3-1	sn-1	16	24	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	1. sattisuttaṃ
sn 1. 1. 3. 2.	sn-1-1-3-2	sn-1	16	24	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	2. phusatisuttaṃ
sn 1. 1. 3. 3.	sn-1-1-3-3	sn-1	16	26	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	3. jaṭāsuttaṃ
sn 1. 1. 3. 4.	sn-1-1-3-4	sn-1	16	26	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	4. manonivāraṇasuttaṃ
sn 1. 1. 3. 5.	sn-1-1-3-5	sn-1	16	26	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	5. arahantasuttaṃ
sn 1. 1. 3. 6.	sn-1-1-3-6	sn-1	16	28	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	6. pajjotasuttaṃ
sn 1. 1. 3. 7.	sn-1-1-3-7	sn-1	16	30	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	7. sarasuttaṃ
sn 1. 1. 3. 8.	sn-1-1-3-8	sn-1	16	30	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	8. mahaddhanasuttaṃ
sn 1. 1. 3. 9.	sn-1-1-3-9	sn-1	16	30	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	9. catucakkasuttaṃ
sn 1. 1. 3. 10.	sn-1-1-3-10	sn-1	16	32	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		3. sattivaggo	10. eṇijaṅgasuttaṃ
sn 1. 1. 4. 1.	sn-1-1-4-1	sn-1	16	32	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	1. sab_hisuttaṃ
sn 1. 1. 4. 2.	sn-1-1-4-2	sn-1	16	36	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	2. maccharisuttaṃ
sn 1. 1. 4. 3.	sn-1-1-4-3	sn-1	16	38	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	3. sādhusuttaṃ
sn 1. 1. 4. 4.	sn-1-1-4-4	sn-1	16	40	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	4. nasantisuttaṃ
sn 1. 1. 4. 5.	sn-1-1-4-5	sn-1	16	42	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	5. ujjhānasaññisuttaṃ
sn 1. 1. 4. 6.	sn-1-1-4-6	sn-1	16	46	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	6. saddhāsuttaṃ
sn 1. 1. 4. 7.	sn-1-1-4-7	sn-1	16	46	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	7. samayasuttaṃ
sn 1. 1. 4. 8.	sn-1-1-4-8	sn-1	16	48	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		4. satullapakāyikavaggo	8. sakalikasuttaṃ
