edited	book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	cleaned	cst_code	cst_nikaya	cst_book	cst_section	cst_vagga	cst_sutta	cst_paranum	cst_m_page	cst_v_page	cst_p_page	cst_t_page	cst_file	dpr_code	dpr_link	sc_code	sc_book	sc_vagga	sc_sutta	sc_eng_sutta	sc_blurb	sc_card_link	sc_pali_link	sc_eng_link	sc_file_path	bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta	status
	Dīgha Nikāya	DN	DN1-13	sīlakkhandhavaggapāḷi	sīlakkhandhavagga		dn1.1	Dīghanikāyo	Sīlakkhandhavaggapāḷi			1. Brahmajālasuttaṃ	1	1.0001	1.0002	1.0001	1.0001	romn/s0101m.mul.xml	DN1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.0.0.0.m	dn1	Dīgha Nikāya 1		Brahmajālasutta	The Divine Net	While others may praise or criticize the Buddha, they tend to focus on trivial details. The Buddha presents an analysis of 62 kinds of wrong view, seeing through which one becomes detached from meaningless speculations.	https://suttacentral.net/dn1	https://suttacentral.net/dn1/pli/ms	https://suttacentral.net/dn1/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn1_root-pli-ms.json	dn 1. 1.	dn-1-1	dn-1	10	2	0	suttantapiṭake	dīghanikāyo		1. sīlakkhandhavaggo			1. brahmajālasuttaṃ	ok
	Dīgha Nikāya	DN	DN14-23	mahāvaggapāḷi	mahāvagga 02		dn2.1	Dīghanikāyo	Mahāvaggapāḷi			1. Mahāpadānasuttaṃ	1	2.0001	2.0001	2.0001	2.0001	romn/s0102m.mul.xml	DN14	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.0.0.0.m	dn14	Dīgha Nikāya 14		Mahāpadānasutta	The Great Discourse on Traces Left Behind	The Buddha teaches about the six Buddhas of the past, and tells a lengthy account of one of those, Vipassī.	https://suttacentral.net/dn14	https://suttacentral.net/dn14/pli/ms	https://suttacentral.net/dn14/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn14_root-pli-ms.json	dn 2. 1.	dn-2-1	dn-2	11	2	0	suttantapiṭake	dīghanikāyo		2. mahāvaggo			1. mahāpadānasuttaṃ	ok
	Dīgha Nikāya	DN	DN24-34	pāthikavaggapāḷi	pāṭikavagga; pāthikavagga		dn3.1	Dīghanikāyo	Pāthikavaggapāḷi			1. Pāthikasuttaṃ	1	3.0001	3.0001	3.0001	3.0001	romn/s0103m.mul.xml	DN24	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.0.0.0.m	dn24	Dīgha Nikāya 24		Pāthikasutta	About Pāṭikaputta	When Sunakkhatta threatens to disrobe, the Buddha is unimpressed. Rejecting showy displays of asceticism or wondrous powers, he demonstrates his pre-eminence.	https://suttacentral.net/dn24	https://suttacentral.net/dn24/pli/ms	https://suttacentral.net/dn24/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn24_root-pli-ms.json	dn 3. 1.	dn-3-1	dn-3	12	2	0	suttantapiṭake	dīghanikāyo		3. pāthikavaggo			1. pāthikasuttaṃ	ok
	Majjhima Nikāya	MN	MN1-50	mūlapaṇṇāsapāḷi	mūlapaṇṇāsaka 1		mn1.1.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		1. Mūlapariyāyavaggo	1. Mūlapariyāyasuttaṃ	1	1.0001	1.0001	1.0001	1.0001	romn/s0201m.mul.xml	MN1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.0.0.0.m	mn1	Majjhima Nikāya 1	Mūlapariyāyavagga	Mūlapariyāyasutta	The Root of All Things	The Buddha examines how the notion of a permanent self emerges from the process of perception. A wide range of phenomena are considered, embracing both naturalistic and cosmological dimensions. An unawakened person interprets experience in terms of a self, while those more advanced have the same experiences without attachment.	https://suttacentral.net/mn1	https://suttacentral.net/mn1/pli/ms	https://suttacentral.net/mn1/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn1_root-pli-ms.json	mn 1. 1. 1.	mn-1-1-1	mn-1	13	2	0	suttantapiṭake	majjhimanikāyo		1. mūlapaṇṇāsako		1. mūlapariyāyavaggo	1. mūlapariyāyasuttaṃ	ok
	Majjhima Nikāya	MN	MN1-10	mūlapariyāyavagga			mn1.1.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		1. Mūlapariyāyavaggo	1. Mūlapariyāyasuttaṃ	1	1.0001	1.0001	1.0001	1.0001	romn/s0201m.mul.xml	MN1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.0.0.0.m	mn1	Majjhima Nikāya 1	Mūlapariyāyavagga	Mūlapariyāyasutta	The Root of All Things	The Buddha examines how the notion of a permanent self emerges from the process of perception. A wide range of phenomena are considered, embracing both naturalistic and cosmological dimensions. An unawakened person interprets experience in terms of a self, while those more advanced have the same experiences without attachment.	https://suttacentral.net/mn1	https://suttacentral.net/mn1/pli/ms	https://suttacentral.net/mn1/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn1_root-pli-ms.json	mn 1. 1. 1.	mn-1-1-1	mn-1	13	2	0	suttantapiṭake	majjhimanikāyo		1. mūlapaṇṇāsako		1. mūlapariyāyavaggo	1. mūlapariyāyasuttaṃ	ok
	Majjhima Nikāya	MN	MN11-20	sīhanādavagga 1			mn1.2.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		2. Sīhanādavaggo	1. Cūḷasīhanādasuttaṃ	139	1.0091	1.0092	1.0063	1.0127	romn/s0201m.mul.xml	MN11	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.1.0.0.m	mn11	Majjhima Nikāya 11	Sīhanādavagga	Cūḷasīhanādasutta	The Shorter Discourse on the Lion’s Roar	The Buddha declares that only those following his path can genuinely experience the four stages of awakening. This is because, while much is shared with other systems, none of them go so far as to fully reject all attachment to the idea of a self.	https://suttacentral.net/mn11	https://suttacentral.net/mn11/pli/ms	https://suttacentral.net/mn11/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn11_root-pli-ms.json	mn 1. 2. 1.	mn-1-2-1	mn-1-2	13	154	0	suttantapiṭake	majjhimanikāyo		1. mūlapaṇṇāsako		2. sīhanādavaggo	1. cūḷasīhanādasuttaṃ	ok
	Majjhima Nikāya	MN	MN21-30	opammavagga			mn1.3.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		3. Opammavaggo	1. Kakacūpamasuttaṃ	222	1.0172	1.0173	1.0122	1.0247	romn/s0201m.mul.xml	MN21	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.2.0.0.m	mn21	Majjhima Nikāya 21	Opammavagga	Kakacūpamasutta	The Simile of the Saw	A discourse full of vibrant and memorable similes, on the importance of patience and love even when faced with abuse and criticism. The Buddha finishes with the simile of the saw, one of the most memorable similes found in the discourses.	https://suttacentral.net/mn21	https://suttacentral.net/mn21/pli/ms	https://suttacentral.net/mn21/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn21_root-pli-ms.json	mn 1. 3. 1.	mn-1-3-1	mn-1-3	13	308	0	suttantapiṭake	majjhimanikāyo		1. mūlapaṇṇāsako		3. opammavaggo	1. kakacūpamasuttaṃ	ok
	Majjhima Nikāya	MN	MN31-40	mahāyamakavagga			mn1.4.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		4. Mahāyamakavaggo	1. Cūḷagosiṅgasuttaṃ	325	1.0265	1.0268	1.0205	1.0385	romn/s0201m.mul.xml	MN31	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.3.0.0.m	mn31	Majjhima Nikāya 31	Mahāyamakavagga	Cūḷagosiṅgasutta	The Shorter Discourse at Gosiṅga	The Buddha comes across three mendicants practicing diligently and harmoniously, and asks them how they do it. Reluctant to disclose their higher attainments, they explain how they deal with the practical affairs of living together. But when pressed by the Buddha, they reveal their meditation attainments.	https://suttacentral.net/mn31	https://suttacentral.net/mn31/pli/ms	https://suttacentral.net/mn31/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn31_root-pli-ms.json	mn 1. 4. 1.	mn-1-4-1	mn-1-4	13	494	0	suttantapiṭake	majjhimanikāyo		1. mūlapaṇṇāsako		4. mahāyamakavaggo	1. cūḷagosiṅgasuttaṃ	ok
	Majjhima Nikāya	MN	MN41-50	cūḷayamakavagga	sāleyyavagga		mn1.5.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		5. Cūḷayamakavaggo	1. Sāleyyakasuttaṃ	439	1.0353	1.0357	1.0284	1.0518	romn/s0201m.mul.xml	MN41	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.4.0.0.m	mn41	Majjhima Nikāya 41	Cūḷayamakavagga	Sāleyyakasutta	The People of Sālā	The Buddha explains to a group of brahmins the conduct leading to rebirth in higher or lower states, including detailed explanations of the ten core practices which lay people should undertake, and which also form the basis for liberation.	https://suttacentral.net/mn41	https://suttacentral.net/mn41/pli/ms	https://suttacentral.net/mn41/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn41_root-pli-ms.json	mn 1. 5. 1.	mn-1-5-1	mn-1-5	13	662	0	suttantapiṭake	majjhimanikāyo		1. mūlapaṇṇāsako		5. cūḷayamakavaggo	1. sāleyyakasuttaṃ	ok
	Majjhima Nikāya	MN	MN51-100	majjhimapaṇṇāsapāḷi	majjhimapaṇṇāsaka 1		mn2.1.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		1. Gahapativaggo	1. Kandarakasuttaṃ	1	2.0001	2.0001	1.0339	2.0001	romn/s0202m.mul.xml	MN51	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.0.0.0.m	mn51	Majjhima Nikāya 51	Gahapativagga	Kandarakasutta	With Kandaraka	The Buddha discusses mindfulness meditation with lay practitioners. Contrasting the openness of animals with the duplicity of humans, he explains how to practice in a way that causes no harm to oneself or others.	https://suttacentral.net/mn51	https://suttacentral.net/mn51/pli/ms	https://suttacentral.net/mn51/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn51_root-pli-ms.json	mn 2. 1. 1.	mn-2-1-1	mn-2	14	2	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		1. gahapati vaggo	1. kandaraka suttaṃ	ok
	Majjhima Nikāya	MN	MN51-60	gahapativagga 1			mn2.1.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		1. Gahapativaggo	1. Kandarakasuttaṃ	1	2.0001	2.0001	1.0339	2.0001	romn/s0202m.mul.xml	MN51	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.0.0.0.m	mn51	Majjhima Nikāya 51	Gahapativagga	Kandarakasutta	With Kandaraka	The Buddha discusses mindfulness meditation with lay practitioners. Contrasting the openness of animals with the duplicity of humans, he explains how to practice in a way that causes no harm to oneself or others.	https://suttacentral.net/mn51	https://suttacentral.net/mn51/pli/ms	https://suttacentral.net/mn51/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn51_root-pli-ms.json	mn 2. 1. 1.	mn-2-1-1	mn-2	14	2	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		1. gahapati vaggo	1. kandaraka suttaṃ	ok
	Majjhima Nikāya	MN	MN61-70	bhikkhuvagga 1			mn2.2.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		2. Bhikkhuvaggo	1. Ambalaṭṭhikarāhulovādasuttaṃ	107	2.0076	2.0083	1.0413	2.0122	romn/s0202m.mul.xml	MN61	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.1.0.0.m	mn61	Majjhima Nikāya 61	Bhikkhuvagga	Ambalaṭṭhikarāhulovādasutta	Advice to Rāhula at Ambalaṭṭhika	Using the “object lesson” of a cup of water, the Buddha explains to his son, Rāhula, the importance of telling the truth and reflecting on one’s motives.	https://suttacentral.net/mn61	https://suttacentral.net/mn61/pli/ms	https://suttacentral.net/mn61/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn61_root-pli-ms.json	mn 2. 2. 1.	mn-2-2-1	mn-2-2	14	130	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		2. bhikkhu vaggo	1. ambalaṭṭhika rāhulovāda suttaṃ	ok
	Majjhima Nikāya	MN	MN71-80	paribbājakavagga			mn2.3.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		3. Paribbājakavaggo	1. Tevijjavacchasuttaṃ	185	2.0147	2.0156	1.0481	2.0235	romn/s0202m.mul.xml	MN71	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.2.0.0.m	mn71	Majjhima Nikāya 71	Paribbājakavagga	Tevijjavacchasutta	To Vacchagotta on the Three Knowledges	The Buddha denies being omniscient, and sets forth the three higher knowledges that form the core of his awakened insight.	https://suttacentral.net/mn71	https://suttacentral.net/mn71/pli/ms	https://suttacentral.net/mn71/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn71_root-pli-ms.json	mn 2. 3. 1.	mn-2-3-1	mn-2-3	14	252	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		3. paribbājakavaggo	1. tevijjavacchagotta suttaṃ	ok
