book	book_code	dpd_code	bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
Aṅguttara Nikāya	AN		an 1. 1. 1.	an-1-1-1	an-1	22	2	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		1. cittapariyādānavaggo	1. 1. 1.
Aṅguttara Nikāya	AN		an 1. 2. 1.	an-1-2-1	an-1	22	6	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		2. nīvaraṇappahānavaggo	1. 2. 1.
Aṅguttara Nikāya	AN		an 1. 3. 1.	an-1-3-1	an-1	22	10	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		3. akammaniyavaggo	1. 3. 1.
Aṅguttara Nikāya	AN		an 1. 4. 1.	an-1-4-1	an-1	22	12	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		4. adantavaggo	1. 4. 1.
Aṅguttara Nikāya	AN		an 1. 5. 1.	an-1-5-1	an-1	22	16	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		5. sūkavaggo	1. 5. 1.
Aṅguttara Nikāya	AN		an 1. 6. 1.	an-1-6-1	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		6. pabhassaravaggo	1. 6. 1.
Aṅguttara Nikāya	AN		an 1. 7. 1.	an-1-7-1	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		7. vīriyārambhavaggo	1. 7. 1.
Aṅguttara Nikāya	AN		an 1. 8. 1.	an-1-8-1	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		8. kalyāṇamittavaggo	1. 8. 1.
Aṅguttara Nikāya	AN		an 1. 9. 1.	an-1-9-1	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		9. pamādavaggo	1. 9. 1.
Aṅguttara Nikāya	AN		an 1. 10. 1.	an-1-10-1	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		10. ajjhattikavaggo	1. 10. 1.
Aṅguttara Nikāya	AN		an 1. 11. 1.	an-1-11-1	an-1	22	40	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		11. adhammavaggo	1. 11. 1.
Aṅguttara Nikāya	AN		an 1. 12. 1-10.	an-1-12-1	an-1	22	42	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		12. anāpattivaggo	1. 12. 1-10.
Aṅguttara Nikāya	AN		an 1. 13. 1.	an-1-13-1	an-1	22	42	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		13. ekapuggalavaggo	1. 13. 1.
Aṅguttara Nikāya	AN		an 1. 14. 1. 1-10.	an-1-14-1-1	an-1	22	46	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		14. etadaggapāḷi	1. 14. 1. 1-10.
Aṅguttara Nikāya	AN		an 1. 15. 1.	an-1-15-1	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		15. aṭṭhānapāḷi	1. 15. 1.
Aṅguttara Nikāya	AN		an 1. 16. 1. 1.	an-1-16-1-1	an-1	22	62	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 1. paṭhamovaggo	1. 16. 1. 1.
Aṅguttara Nikāya	AN		an 1. 16. 2. 1.	an-1-16-2-1	an-1	22	62	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 2. dutiyovaggo	1. 16. 2. 1.
Aṅguttara Nikāya	AN		an 1. 16. 3. 1.	an-1-16-3-1	an-1	22	68	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 3. tatiyovaggo	1. 16. 3. 1.
Aṅguttara Nikāya	AN		an 1. 16. 4. 1.	an-1-16-4-1	an-1	22	72	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 4. jambudīpapeyyālo	1. 16. 4. 1.
Aṅguttara Nikāya	AN		an 1. 16. 5. 1-16.	an-1-16-5-1	an-1	22	80	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 5. soḷasapasādakaradhammā	1. 16. 5. 1-16.
Aṅguttara Nikāya	AN		an 1. 16. 6. 1.	an-1-16-6-1	an-1	22	80	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 6. accharāsaṅghātavaggo	1. 16. 6. 1.
Aṅguttara Nikāya	AN		an 1. 16. 7. 1.	an-1-16-7-1	an-1	22	88	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 7. kāyagatāsativaggo	1. 16. 7. 1.
Aṅguttara Nikāya	AN		an 1. 16. 8. 1-8.	an-1-16-8-1	an-1	22	92	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	1. ekaka nipāto		16. ekadhammapāḷi, 8. amatavaggo	1. 16. 8. 1-8.
Aṅguttara Nikāya	AN		an 2. 1. 1. 1.	an-2-1-1-1	an-2	22	96	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	1. paṭhamo paṇṇāsako	1. vassūpanāyikāvaggo	1. vajjasuttaṃ
Aṅguttara Nikāya	AN		an 2. 1. 2. 1.	an-2-1-2-1	an-2	22	104	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	1. paṭhamo paṇṇāsako	2. adhikaraṇavaggo	2. 1. 2. 1.
Aṅguttara Nikāya	AN		an 2. 1. 3. 1.	an-2-1-3-1	an-2	22	116	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	1. paṭhamo paṇṇāsako	3. bālavaggo	2. 1. 3. 1.
Aṅguttara Nikāya	AN		an 2. 1. 4. 1.	an-2-1-4-1	an-2	22	120	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	1. paṭhamo paṇṇāsako	4. samacittavaggo	2. 1. 4. 1.
Aṅguttara Nikāya	AN		an 2. 1. 5. 1.	an-2-1-5-1	an-2	22	136	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	1. paṭhamo paṇṇāsako	5. parisavaggo	2. 1. 5. 1.
Aṅguttara Nikāya	AN		an 2. 2. 6. 1.	an-2-2-6-1	an-2	22	146	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	2. dutiyo paṇṇāsako	6. puggalavaggo	2. 2. 6. 1.
Aṅguttara Nikāya	AN		an 2. 2. 7. 1.	an-2-2-7-1	an-2	22	154	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	2. dutiyo paṇṇāsako	7. sukhavaggo	2. 2. 7. 1.
Aṅguttara Nikāya	AN		an 2. 2. 8. 1.	an-2-2-8-1	an-2	22	158	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	2. dutiyo paṇṇāsako	8. sanimittavaggo	2. 2. 8. 1.
Aṅguttara Nikāya	AN		an 2. 2. 9. 1.	an-2-2-9-1	an-2	22	160	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	2. dutiyo paṇṇāsako	9. dhammavaggo	2. 2. 9. 1.
Aṅguttara Nikāya	AN		an 2. 2. 10. 1.	an-2-2-10-1	an-2	22	162	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	2. dutiyo paṇṇāsako	10. bālavaggo	2. 2. 10. 1.
Aṅguttara Nikāya	AN		an 2. 3. 11. 1.	an-2-3-11-1	an-2	22	168	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	11. āsāvaggo	2. 3. 11. 1.
Aṅguttara Nikāya	AN		an 2. 3. 12. 1.	an-2-3-12-1	an-2	22	170	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	12. āyācanavaggo	2. 3. 12. 1.
Aṅguttara Nikāya	AN		an 2. 3. 13. 1.	an-2-3-13-1	an-2	22	178	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	13. dānavaggo	2. 3. 13. 1.
Aṅguttara Nikāya	AN		an 2. 3. 14. 1.	an-2-3-14-1	an-2	22	180	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	14. santhāravaggo	2. 3. 14. 1.
Aṅguttara Nikāya	AN		an 2. 3. 15. 1.	an-2-3-15-1	an-2	22	184	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	15. samāpattivaggo	2. 3. 15. 1.
Aṅguttara Nikāya	AN		an 2. 16. 1-5.	an-2-16-1	an-2	22	188	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	16. kodhavaggo	2. 16. 1-5.
Aṅguttara Nikāya	AN		an 2. 16. 46-50.	an-2-16-1	an-2	22	192	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	2. dukanipāto	3. tatiyo paṇṇāsako	17. sattarasamo vaggo	46. 1. akusalapeyyālaṃ
Aṅguttara Nikāya	AN		an 3. 1. 1. 1.	an-3-1-1-1	an-3	22	196	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	1. paṭhamo paṇṇāsako	1. bālavaggo	3. 1. 1. 1.
