book	book_code	dpd_code	cst_code	cst_nikaya	cst_book	cst_section	cst_vagga	cst_sutta	cst_paranum	cst_m_page	cst_v_page	cst_p_page	cst_t_page	cst_file
Aṅguttara Nikāya	AN	AN1.1-10	an1.1.1	Aṅguttaranikāyo	Ekakanipātapāḷi		1. Rūpādivaggo		1					romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.11-20	an1.2.11	Aṅguttaranikāyo	Ekakanipātapāḷi		2. Nīvaraṇappahānavaggo		11	1.0002	1.0003	1.0002	1.0003	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.21-30	an1.3.21	Aṅguttaranikāyo	Ekakanipātapāḷi		3. Akammaniyavaggo		21	1.0004	1.0006	1.0005	1.0005	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.31-40	an1.4.31	Aṅguttaranikāyo	Ekakanipātapāḷi		4. Adantavaggo		31	1.0005	1.0008	1.0006	1.0007	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.41-50	an1.5.41	Aṅguttaranikāyo	Ekakanipātapāḷi		5. Paṇihitaacchavaggo		41	1.0007	1.0010	1.0007	1.0009	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.51-60	an1.6.51	Aṅguttaranikāyo	Ekakanipātapāḷi		6. Accharāsaṅghātavaggo		51	1.0009	1.0012	1.0010	1.0011	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.61-70	an1.7.61	Aṅguttaranikāyo	Ekakanipātapāḷi		7. Vīriyārambhādivaggo		61	1.0010	1.0014	1.0011	1.0013	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.71-80	an1.8.71	Aṅguttaranikāyo	Ekakanipātapāḷi		8. Kalyāṇamittādivaggo		71	1.0012	1.0016	1.0013	1.0016	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.81-97	an1.9.81	Aṅguttaranikāyo	Ekakanipātapāḷi		9. Pamādādivaggo		81	1.0014	1.0018	1.0015	1.0018	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.98-131	an1.10.98	Aṅguttaranikāyo	Ekakanipātapāḷi		10. Dutiyapamādādivaggo		98	1.0016	1.0021	1.0016	1.0021	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.140-141	an1.11.140	Aṅguttaranikāyo	Ekakanipātapāḷi		11. Adhammavaggo		140	1.0019	1.0025	1.0019	1.0026	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.150-161	an1.12.150	Aṅguttaranikāyo	Ekakanipātapāḷi		12. Anāpattivaggo		150	1.0020	1.0026	1.0020	1.0027	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.170-187	an1.13.170	Aṅguttaranikāyo	Ekakanipātapāḷi		13. Ekapuggalavaggo		170	1.0021	1.0028	1.0021	1.0028	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.1-267	an1.14.1	Aṅguttaranikāyo	Ekakanipātapāḷi		14. Etadaggavaggo	1. Paṭhamavaggo	1	1.0023	1.0030	1.0023	1.0030	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.1-293	an1.15.1	Aṅguttaranikāyo	Ekakanipātapāḷi		15. Aṭṭhānapāḷi	1. Paṭhamavaggo	1	1.0028	1.0037	1.0026	1.0034	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.1-335	an1.16.1	Aṅguttaranikāyo	Ekakanipātapāḷi		16. Ekadhammapāḷi	1. Paṭhamavaggo	1	1.0031	1.0042	1.0030	1.0039	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.382	an1.18.382	Aṅguttaranikāyo	Ekakanipātapāḷi		18. Aparaaccharāsaṅghātavaggo		382	1.0040	1.0053	1.0038	1.0050	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.563-574	an1.19.563	Aṅguttaranikāyo	Ekakanipātapāḷi		19. Kāyagatāsativaggo		563	1.0044	1.0057	1.0043	1.0055	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN1.600-611	an1.20.600	Aṅguttaranikāyo	Ekakanipātapāḷi		20. Amatavaggo		600	1.0046	1.0060	1.0045	1.0058	romn/s0401m.mul.xml
Aṅguttara Nikāya	AN	AN2.1-10	an2.1.1.1	Aṅguttaranikāyo	Dukanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	1. Kammakaraṇavaggo	1. Vajjasuttaṃ	1					romn/s0402m1.mul.xml
Aṅguttara Nikāya	AN	AN2.11-21	an2.1.2.11	Aṅguttaranikāyo	Dukanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	2. Adhikaraṇavaggo		11	1.0053	1.0068	1.0052	1.0066	romn/s0402m1.mul.xml
Aṅguttara Nikāya	AN	AN2.22-32	an2.1.3.22	Aṅguttaranikāyo	Dukanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	3. Bālavaggo		22	1.0060	1.0075	1.0059	1.0075	romn/s0402m1.mul.xml
Aṅguttara Nikāya	AN	AN2.33-42	an2.1.4.33	Aṅguttaranikāyo	Dukanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	4. Samacittavaggo		33	1.0062	1.0077	1.0061	1.0078	romn/s0402m1.mul.xml
