book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	id	lemma_1	family_set	meaning_1	meaning_lit	meaning_2	notes
Aṅguttara Nikāya	AN	AN1.21-30	akammaniyavagga		107	akammaniyavagga	vaggas of Aṅguttara Nikāya 1	Vagga 3 of Ekakanipāta (AN1.21-30)		Chapter 3 of Ekakanipāta, Aṅguttara Nikāya 1.21-30	
Aṅguttara Nikāya	AN	AN2.191-200	akusalapeyyāla		255	akusalapeyyāla	vaggas of Aṅguttara Nikāya 2	Vagga 17 of Dukanipāta (AN2.191-200)		Chapter 17 of Dukanipāta, Aṅguttara Nikāya 2.191-200	
Aṅguttara Nikāya	AN	AN5.211-220	akkosakavagga		334	akkosakavagga	vaggas of Aṅguttara Nikāya 5	Vagga 22 of Pañcakanipāta (AN5.211-220)		Chapter 22 of Pañcakanipāta, Aṅguttara Nikāya 5.211-220	
Aṅguttara Nikāya	AN	AN10.41-50	akkosavagga		340	akkosavagga	vaggas of Aṅguttara Nikāya 10	Vagga 5 of Dasakanipāta (AN10.41-50)		Chapter 5 of Dasakanipāta, Aṅguttara Nikāya 10.41-50	
Aṅguttara Nikāya	AN	AN3.157-163	acelakavagga 2		919	acelakavagga 2	vaggas of Aṅguttara Nikāya 3	Vagga 16 of Tikanipāta (AN3.157-163)		Chapter 16 of Tikanipāta, Aṅguttara Nikāya 3.157-163	
Aṅguttara Nikāya	AN	AN1.51-60	accharāsaṅghātavagga		1040	accharāsaṅghātavagga	vaggas of Aṅguttara Nikāya 1	Vagga 6 of Ekakanipāta (AN1.51-60)		Chapter 6 of Ekakanipāta, Aṅguttara Nikāya 1.51-60	
Aṅguttara Nikāya	AN	AN1.268-277	aṭṭhānapāḷi		1838	aṭṭhānapāḷi	vaggas of Aṅguttara Nikāya 1	Vagga 21 of Ekakanipāta (AN1.268-277)		Chapter 21 of Ekakanipāta, Aṅguttara Nikāya 1.268-277	
Aṅguttara Nikāya	AN	AN1.31-40	adantavagga		2847	adantavagga	vaggas of Aṅguttara Nikāya 1	Vagga 4 of Ekakanipāta (AN1.31-40)		Chapter 4 of Ekakanipāta, Aṅguttara Nikāya 1.31-40	
Aṅguttara Nikāya	AN	AN1.140-142-149	adhammavagga		3077	adhammavagga	vaggas of Aṅguttara Nikāya 1	Vagga 11 of Ekakanipāta (AN1.140-149)		Chapter 11 of Ekakanipāta, Aṅguttara Nikāya 1.140-142-149	
Aṅguttara Nikāya	AN	AN2.11-21	adhikaraṇavagga		3122	adhikaraṇavagga	vaggas of Aṅguttara Nikāya 2	Vagga 2 of Dukanipāta (AN2.11-21)		Chapter 2 of Dukanipāta, Aṅguttara Nikāya 2.11-21	
Aṅguttara Nikāya	AN	AN1.150-162-169	anāpattivagga		3987	anāpattivagga	vaggas of Aṅguttara Nikāya 1	Vagga 12 of Ekakanipāta (AN1.150-169)		Chapter 12 of Ekakanipāta, Aṅguttara Nikāya 1.150-162-169	
Aṅguttara Nikāya	AN	AN6.21-30	anuttariyavagga	sāmakavagga	4528	anuttariyavagga	vaggas of Aṅguttara Nikāya 6	Vagga 3 of Chakkanipāta (AN6.21-30)		Chapter 3 of Chakkanipāta, Aṅguttara Nikāya 6.21-30	
Aṅguttara Nikāya	AN	AN7.11-20	anusayavagga		5228	anusayavagga	vaggas of Aṅguttara Nikāya 7	Vagga 2 of Sattakanipāta (AN7.11-20)		Chapter 2 of Sattakanipāta, Aṅguttara Nikāya 7.11-20	
Aṅguttara Nikāya	AN	AN11.11-21	anussativagga		5319	anussativagga	vaggas of Aṅguttara Nikāya 11	Vagga 2 of Ekādasakanipāta (AN11.11-21)		Chapter on Recollection; Chapter 2 of Ekādasakanipāta, Aṅguttara Nikāya 11.11-21	
Aṅguttara Nikāya	AN	AN5.111-120	andhakavindavagga		5897	andhakavindavagga	vaggas of Aṅguttara Nikāya 5	Vagga 12 of Pañcakanipāta (AN5.111-120)		Chapter 12 of Pañcakanipāta, Aṅguttara Nikāya 5.111-120	
Aṅguttara Nikāya	AN	AN4.71-80	apaṇṇakavagga		6145	apaṇṇakavagga	vaggas of Aṅguttara Nikāya 4	Vagga 8 of Catukkanipāta (AN4.71-80)		Chapter 8 of Catukkanipāta, Aṅguttara Nikāya 4.71-80	
Aṅguttara Nikāya	AN	AN1.382-562	aparaaccharāsaṅghātavagga	aparāccharāsaṅghātavagga	6261	aparaaccharāsaṅghātavagga	vaggas of Aṅguttara Nikāya 1	Vagga 29 of Ekakanipāta (AN1.382-562)		Chapter 29 of Ekakanipāta, Aṅguttara Nikāya 1.382-562	
Aṅguttara Nikāya	AN	AN10.199-210	aparapuggalavagga		6298	aparapuggalavagga	vaggas of Aṅguttara Nikāya 10	Vagga 20 of Dasakanipāta (AN10.199-199)		Chapter 20 of Dasakanipāta, Aṅguttara Nikāya 10.199-210	
Aṅguttara Nikāya	AN	AN7.54-64	abyākatavagga		7403	abyākatavagga	vaggas of Aṅguttara Nikāya 7	Vagga 6 of Sattakanipāta (AN7.54-64)		Chapter 6 of Sattakanipāta, Aṅguttara Nikāya 7.54-64	
Aṅguttara Nikāya	AN	AN4.254-263	abhiññāvagga		7696	abhiññāvagga	vaggas of Aṅguttara Nikāya 4	Vagga 26 of Catukkanipāta (AN4.254-263)		Chapter 26 of Catukkanipāta, Aṅguttara Nikāya 4.254-263	
Aṅguttara Nikāya	AN	AN1.600-611	amatavagga 2		8477	amatavagga 2	vaggas of Aṅguttara Nikāya 1	Vagga 31 of Ekakanipāta (AN1.600-611)	section on the deathless	Chapter 31 of Ekakanipāta, Aṅguttara Nikāya 1.600-611	
Aṅguttara Nikāya	AN	AN5.181-190	araññavagga		8856	araññavagga	vaggas of Aṅguttara Nikāya 5	Vagga 19 of Pañcakanipāta (AN5.181-190)		Chapter 19 of Pañcakanipāta, Aṅguttara Nikāya 5.181-190	
