abbreviation	meaning
a	abbreviation of Aṅguttara (Nikāya)
apa	abbreviation of Apadāna
aṭṭha	abbreviation of aṭṭhakathā (commentary)
bu	abbreviation of Buddha(vaṃsa)
cūḷani	abbreviation of Cūḷaniddesa; canonical commentary on the Pārāyanavagga of the Sutta Nipāta
cūḷava	abbreviation of Cūḷavagga
dha	abbreviation of Dhamma (pada)
dī	abbreviation of Dīgha (Nikāya)
itivu	abbreviation of Itivuttaka
ja	abbreviation of Jātaka
ka	abbreviation of Cambodia; variant reading occurring in Cambodian texts
kaṃ	abbreviation of Cambodia; variant reading occurring in Cambodian texts
khu	abbreviation of Khuddaka (pāṭha)
ma	abbreviation of Majjhima (Nikāya)
ma	abbreviation of abbreviation of (Paṭisambhidā) Magga
mahāni	abbreviation of Mahāniddesa, canonical commentary on the Aṭṭhakavagga of the Sutta Nipāta
mahāva	abbreviation of Mahāvaṃsa
mahāva	abbreviation of Mahāvagga
ni	abbreviation of (Saṃyutta etc.) Nikāya
ni	abbreviation of (Sutta) Nipāta
pa	abbreviation of (Dhamma) pada
pa	abbreviation of Paṭisambhidāmagga
pa	abbreviation of Paṭṭhāna
pari	abbreviation of Parivāra
paṭi	abbreviation of Paṭisambhidā (Magga)
pe	abbreviation of peyyāla, indicating missing repeated text
pe	abbreviation of Petavatthu
pe	abbreviation of Peṭakopadesa
pu	abbreviation of pucchā, question
pu	abbreviation of Puggalapaññatti
pā	abbreviation of (Khuddaka) pāṭha
pāci	abbreviation of Pācittiya
pāra	abbreviation of Pārājikakaṇḍa
pī	abbreviation of Pāli (Text Society); variant reading occurring in PTS texts
rū	abbreviation of rūpāvacara
saṃ	abbreviation of Saṃyutta (Nikāya)
su	abbreviation of Suttapiṭaka
su	abbreviation of sutta
syā	abbreviation of Syām; variant reading occurring in Thai texts
sī	abbreviation of Sīhaḷa; variant reading occurring in Sri Lankan texts
thera	abbreviation of Therāpadāna
theragā	abbreviation of Theragāthā
udā	abbreviation of Udāna
va	abbreviation of (Vimāna)vatthu
vaṃ	abbreviation of (Buddha)vaṃsa
vi	abbreviation of vissajjanā; response
vi	abbreviation of Vimānavatthu
vibh	abbreviation of Vibhaṅga; 2nd book of the Abhidhamma
vibha	abbreviation of Vibhaṅga Aṭṭhakathā
visuddhi	abbreviation of Visuddhimagga
ṭī	abbreviation of ṭīkā
ṭṭha	abbreviation of aṭṭhakathā (commentary)
jā.	jātakapāli
moga.	moggallānabyākaraṇaṃ
mu.	mūla
pārā.	pārājikakaṇḍapāli
