"Abbreviation"	"Meaning"
"A."	"Aṅguttara Nikāya"
"Abhp."	"Abhidhānappadīpikā"
"Abh."	"Abhidhānappadīpikā"
"Abhvt."	"Abhidhammāvatāra"
"abs."	"absolutive"
"acc."	"accusative case"
"adj."	"adjective"
"adv."	"adverb"
"Ags."	"Aggi Vaṁsa, author of Saddanīti"
"Akv."	"Abhidhammattha-kalyāṇa-vaṇṇanā-ṭīkā (= Vibh-ṭ.)"
"Alloph."	"Allophone"
"Ān."	"(Senart's Appendix to) Mahāvastu"
"aor."	"aorist"
"Ap."	"Apadāna"
"app."	"apparently"
"Artha-s."	"Artha-sālinī (= DhsA.)"
"As."	"Aṭṭhasālinī (= DhsA.)"
"Ātm. Vid."	"Ātma-vidyā (= Self-knowledge)"
"Av."	"Avadāna-śataka"
"AvŚ"	"Avadāna-śataka"
"B."	"Buddhist (& Buddhism)"
"Bal."	"Bālāvatāra"
"Bālâv."	"Bālāvatāra"
"Bdhgh"	"Buddhaghosa"
"Bdhv."	"Buddhavaṁsa"
"Beal"	"Buddhist Records of the Western World"
"beg."	"beginning"
"BHS(G)"	"Buddhist Hybrid Sanskrit (Grammar)"
"BHS(V)"	"Buddhist Hybrid Sanskrit (Vocabulary)"
"Bhv"	"Bhāvanā"
"Bhvr."	"Bhāvanārambha"
"Bode"	"Pali Literature of Burma"
"Bodhi-V."	"Bodhi-Vaṁsa (ed. S. A. Strong)"
"Bṛh. Ār. Up."	"Bṛhad Āraṇyaka Upaniṣad"
"BSk."	"Buddhist Sanskrit"
"Buddh."	"Buddhist (& Buddhism)"
"Burm."	"Burmese"
"C."	"Cingalese (Sinhalese)"
"C. (= c.)"	"commentary, commentarial"
"c."	"commentary, commentarial"
"Cāṇ."	"Cāṇakya-nīti"
"card."	"cardinal number"
"Caunds."	"Compendium of Philosophy"
"caus."	"causative"
"cent."	"century"
"cf."	"confer, compare"
"Chap."	"chapter"
"Childers"	"Dictionary of the Pali Language"
"Chin."	"Chinese"
"Class."	"Classical"
"Cld."	"Childers"
"cmpd."	"compound"
"Coll."	"Collection"
"colloq."	"colloquial(ly)"
"Comy."	"Commentary"
"conj."	"conjunction"
"conn."	"connected with, connection"
"cons."	"consonant"
"contr."	"contracted, contraction"
"cp."	"compare"
"Cp."	"Cariyā-piṭaka"
"Cpd."	"Compendium of Philosophy"
"Cpdd."	"Compendium of Philosophy"
"Cpd. Dipani"	"Abhidhammattha-saṅgaha-dīpanī"
"Cūḷa-Nidd."	"Cūḷa-Niddesa (= Niddesa II.)"
"Cūḷavs."	"Cūḷavaṁsa"
"CV."	"Cūḷa Vagga of Vinaya"
"D."	"Dīgha Nikāya"
"DA."	"Dīgha Nikāya Aṭṭhakathā (= Sumaṅgala-vilāsinī)"
"Ḍaṭh."	"(= Dāṭh.) Dāṭhavaṁsa"
"Dāṭh."	"Dāṭhavaṁsa"
"dat."	"dative case"
"Davs."	"Dāṭhavaṁsa"
"Def."	"Definition"
"den."	"denominative"
"der."	"derived from, derivation"
"Dev."	"Devanāgarī"
"Dewa"	"Dewa-dhamma-jātaka"
"Dh."	"Dhammapada"
"Dha."	"Dhātumañjūsā"
"DhA."	"Dhammapada Aṭṭhakathā"
"Dhammap."	"Dhammapada"
"Dhammas."	"Dhammasaṅgani"
"Dhan."	"Dhanapāla"
"Dhs."	"Dhammasaṅgani"
"DhsA."	"Dhammasaṅgani Aṭṭhakathā (= Aṭṭhasālinī)"
"DhSk."	"Dhātu-kathā"
"Dhātup."	"Dhātupāṭha"
"Dhv."	"Dhātvaṁsa"
"Dial."	"Dialogues of the Buddha"
"dict."	"dictionary"
"diff."	"different"
"Divy."	"Divyâvadāna"
"Dīp."	"Dīpavaṁsa"
"Dpl."	"Dhammapāla"
"Dpv."	"Dīpavaṁsa"
"Dpv. G."	"Dīpavaṁsa ed. Geiger"
"Dpv. O."	"Dīpavaṁsa ed. Oldenberg"
