index	chA	chB	ch1	ch2	eg	weight
1	a	p	a	ap	abhivaggen'api	3
2	ā	p	a	ap	ajjā'pi	3
3	ā	p	ā	ap	samāpattiyā'pi	3
4	ā	t	ā		tasmā't'iha	4
5	ā	t	a	it	cā'ti	3
6	ā	t	ā	it	upādāyā'ti	3
7	a	v	a	ev	cūḷa'va	3
8	ā	v	ā	ev	datvā'va	3
9	ā	y	ā		imissā'y'eva	4
10	a	y	a		ta'y'idaṃ	4
11	b	ā	bā	ā	sabb'ākārena	3
12	b	a	ba	a	sabb'aṅga	4
13	b	ā	baṃ	a	bhūtapubb'āhaṃ	3
14	b	ā	be	a	pubb'āhaṃ	3
15	b	b	d	v	tab'bipaccanīka	3
16	b	b	r	v	dub'bītivatta	3
17	b	e	be	e	sabb'ete	3
18	b	o	ba	o	sabb'okāsaṃ	3
19	b	ū	ba	u	amb'ūpamā	3
20	b	u	ba	u	sabb'upadhīnaṃ	3
21	c	a	ca	a	c'aggā	4
22	c	ā	ca	a	c'āhaṃ	3
23	c	ā	ca	ā	c'ānanda	3
24	c	ā	ca	i	cā'ti	3
25	c	ā	cā	i	sammuccā'ti	3
26	c	a	ce	a	sac'assa	3
27	c	ā	ce	a	sac'āyaṃ	3
28	c	ā	ci	a	kacc'āsi	3
29	c	a	ci	a	kociañño	3
30	c	c		c	sāra'c'chedo	4
31	c	c	c		vana'c'chāyappavesana	3
32	c	c	ti		icc'eva	3
33	c	e	ca	e	c'evimaṃ	3
34	c	e	ce	e	sac'etaṃ	3
35	c	i	ca	i	c'ime	3
36	c	i	ci	a	kaccisi	3
37	c	i	ci	i	kecime	3
38	c	o	ca	u	c'oggate	3
39	c	o	co	a	niccomhi	3
40	c	o	co	i	ādiccova	3
41	c	ū	ca	u	cūbhayaṃ	3
42	c	u	ca	u	papañcuppatti	3
43	d	a		a	kiñci'd'atthaṃ	4
44	d	ā	da	a	idāhaṃ	3
45	ḍ	ā	ḍā	a	muṇḍāsi	3
46	d	a	da	a	pamād'attha	4
47	ḍ	ā	ḍa	ā	paribhaṇḍādīni	3
48	d	ā	da	ā	vādādayo	3
49	d	ā	dā	a	yadāhaṃ	3
50	d	ā	daṃ	a	ekamid'āhaṃ	3
51	d	ā	dī	a	evaṃvād'āhaṃ	3
52	d	a	di	a	nisīd'ambavane	3
53	d	a	diṃ	a	nisīd'ambavane	3
54	d	ā	do	ā	tamanud'āsino	3
55	d	d		d	ussita'd'dhajā	4
56	d	e		e	bahudeva	4
57	d	e	da	e	sadd'ettha	3
58	d	e	de	a	pāsāde'bhiramanti	3
59	ḍ	e	ḍo	e	caṇḍ'ettha	3
60	d	i	da	i	iddhipād'indriyena	3
61	d	i	di	a	aggāsanādi'rahānaṃ	3
62	d	ī	dī	a	saccavādīmhi	3
63	d	o	da	u	candopama	3
64	ḍ	o	da	u	piṇḍ'opajjhāriyāpatho	3
65	ḍ	o	ḍo	a	meṇḍo'si	3
66	d	o	do	a	ucchedavādohamasmī	3
67	ḍ	o	ḍo	u	piṇḍo'pajjhāriyāpatho	3
68	d	u		u	vehāsā'd'upasaṅkamiṃ	4
69	d	ū	da	u	pādūdare	3
70	d	u	da	u	pasāduppatti	3
71	d	ū	dū	a	vidūhaṃ	3
72	d	u	du	i	udabindu'va	3
73	d	ū	du	i	udabindū'va	3
74	e	p	e	ap	suttepi	3
75	e	t	e	it	purisayugeti	3
76	e	v	a	ev	ceva	3
77	e	v	e	ev	pubbeva	3
78	e	v	i	ev	sabbāneva	3
79	e	y	e		pamāṇe'y'eva	4
80	g	ā	ga	a	kāliṅgāraññaṃ	3
81	g	a	ga	a	vavassagg'atthe	4
82	g	ā	ga	ā	vigatarāgādi	3
83	g	e	go	e	pagevetaṃ	3
84	g	g		g	vighāta'g'gahaṇena	4
85	g	i	gaṃ	i	ubbigg'idaṃ	3
86	g	ī	gi	i	aggī'va	3
87	g	i	gi	o	agg'obhāso	3
88	g	o	go	a	aggo'hamasmi	3
89	g	o	go	i	paribhogoti	3
90	g	u	ga	u	aggupaṭṭhāyikā	3
91	g	ū	ga	u	saggūpagena	3
92	g	ū	gū	a	vedagū'smīti	3
93	h	ā	hā	ā	addh'āyasmantehi	2
94	h	ā	ha	a	idh'āhaṃ	2
95	h	ā	ha	ā	maññath'āvuso	2
96	h	a	ha	a	passath'ayye	4
97	h	ā	hā	a	santosakathāvasāne	3
98	h	a	hā	a	yath'aññe	3
99	h	ā	ha	i	āhāti	3
100	h	a	ha	i	itihame	3
101	h	ā	hā	i	macchā'va	3
102	h	ā	haṃ	a	rattamah'ābhipassa	3
103	h	ā	hi	a	deh'āyye	3
104	h	ā	hī	ā	hatthārūḷhaṃ	3
105	h	ā	hi	ā	hāyasmanto	3
