initial	final	correct	wrong	not_in_constr	not_in_lemma	exceptions
						
						
a + u	o	au > o	u > o	o	x	okkhita
a + v	bb	v > b	x	bb	x	ārabbhavant, ubbūḷhavant, samupabbūḷha
a + ṭ	iṭ	a > i	x	a + ṭh	x	x
a + ṭh	iṭṭh	a > i	x	x	x	x
ati +	acc	ti > ty > cc	x	gacch, ti + y   	x	pacchājāta, gatikālādipaccayantarasamavāya, atijaccatā, atijighacchā
adhi + a	jjh	dhi > dhy > jjh	adhi > adhy > ajjh	adhi + ā	x	x
adhi + ā	jjh	dhi > dhy > jjh	x	adhi + a	x	x
adhi + ā	addha	dhi > dhy > ddh	x	x	x	x
anu + ā	nnā	uā > nā	anu > ann	n + ā	x	x
abhi + a	abbh	bhi > bhy > bbh	x	x	x	x
am + ta	ata	mt > t	x	nt	x	abhikkantatara, santatara
ar + t	āt	ar > ā	har > hā	x	x	sāttha, sātthaka 1, sātthaka 2, kātabba 1, kātabba 2, kātuna, kātuṃ 1, kātuṃ 2, kātabba 3
ava	o	ava > o	x	o	x	ponobbhavika, ponobhavika, anavabodha, bhavamūlopagāmī, navodaka, sabbopaddava
(a)pi	pi	api > pi	x	x	x	x
						
ā + k	akk	āk > akk	x	ā + kh, ā + kkh	x	akkosabhaṇḍanavihesakārī, chattiṃsakkhattuṃ, sakkapañhaka, sakkharakaṭhala, sakkharakaṭhala, sakkharakathala
ā + ch	acch	āch > acch	āc > acc	x	x	vihārapacchāchāyā
ā + ñ	aññ	āñ > aññ	x	x	x	vadaññutā, sāmaññatā 2.1, sabbaññutañāṇa
xā + t	att	āt > att	x	tta, ā + th	x	atthacariyatā, nakkhattavijjātiracchānavijjā, vatthuvijjātiracchānavijjā, hatthaoṭṭhajivhātālu, atta 2.1, atta 2.2
ā + th	atth	āth > atth	x	x	x	x
ā + b	abb	āb > abb	x	v	x	abbheti, abbhetabba, anabbhita, sabbābhiññābalappatta, dhammānupassanābojjhaṅgapabba, sabbaññutabhūmi
ā + v	abb	āv > avv > abb	āv > abb	x	x	x
ā + s	ass	ās > ass	x	ass	x	pariyāpuṇassu
ānaṃ	annaṃ	ān > ann	x	x	x	x
						
i + u	ū	iu > ū	x	ū	x	payirūpāsanā
i + s	iṃs	is > iṃs	x	x	x	x
i + s	īs	is > iṃs > īs	x	x	x	catuvīsatisatasahassa, diṭṭhisīsa, belaṭṭhisīsa, pacchisīsa, vīsatisahassa, sālisīsa, kapisīsaka
						
ī + a	aya	ī > ay (Kacc 514, 491)	ī > ay	x	x	samannānayamāna, jambusirivhaya
ī + c	icch	īc > icc > icch	īc > icch, īc > icc	x	x	x
ī + n	inn	īn > inn	x	x	x	anunnāmāninnāmī
ī + p	ipp	īp > ipp	x	ī + ph, + pa	x	gihippaṭisaṃyutta, kusāvatīrājadhānippamukha, cetovasippatta, jagatippadesa, pāramippatta, rājadhānippamukha, subhaddādevippamukha, hatthippabhinna
ī + b	ibb	īv > ivv > ibb	īv > ibb	ī + bh	x	x
ī + bh	ibbh	ībh > ibbh	īb > ibb	x	x	x
ī + y	iyy	īy > iyy	x	x	x	x
ī + l	ill	īl > ill	x	x	x	x
