id	lemma_1	meaning_1	meaning_1_corrected
18177	evaṃmānī	overestimating oneself in such a manner; overrating onself like this	overestimating oneself in such a manner; overrating oneself like this
18200	evaṃvādī	of such view; who hold the view that; having a theory that	of such a view; who holds the view that; having a theory that
18528	otāraṃ labhati	gets a chance; finds an opportunity; gains entry	looking for an opening; seeking a weak point; waiting for an opportunity
18584	odakantika 2	shore-line; water-line	shoreline; waterline
18992	osādeti 1	dumps in water; immerses; sink (something into)	dumps in water; immerses; sinks into
19269	kaccha 1.1	shore land; marsh; wet-land	shore land; marsh; wetland
19590	kaṇhābhijātika 1	of low birth; belonging to a inferior social class	of low birth; belonging to an inferior social class
19792	katha	with words; having talk; asking	having talked; asking
19993	kandamūlaphalabhojana	feeding on tubers, roots, and fruit	fact of feeding on tubers, roots, and fruit
20265	kammañātaka	related to action; having action as a kin	related to action; having action as kin
20336	kammayoni	born from actions; (or) having deeds as ones womb	born from actions; (or) having deeds as one's womb
20361	kammavāda 1	(proponent of) doctrine of causality; who hold the view that actions have consequences	(proponent of) doctrine of causality; who holds the view that actions have consequences
20364	kammaviññāṇa	?? consciousness of action	consciousness of action
20441	karacaraṇamudujālatālakkhaṇa	auspicious mark of having soft lined hands and feet	auspicious mark of having soft‑lined hands and feet
20449	karañja	Indian Beech; Pongamia galbra; Millettia pinnata	Indian Beech; Pongamia glabra; Millettia pinnata
20597	kalahabhaṇḍanavasena	due to quarrels and accusing	due to quarrels and accusations
20789	kassa 1	to whom?; for who?	to whom? for whom?
20790	kassa 2	of whom?; whose?	of whom? whose?
20960	kāma 4	(objects of) pleasure; sensual pleasure; sexual pleasure; sensual tempation	(objects of) pleasure; sensual pleasure; sexual pleasure; sensual temptation
21033	kāmayoga	yoke of sensual pleasures; bondage of sense pleasure	yoke of sensual pleasures; bondage of sensual pleasure
21037	kāmarajas	defilement of sensual pleasure; dirt of sense desire	defilement of sensual pleasure; dirt of sensual desire
21045	kāmarāgapareta	afflicted by sensual desire; overcome by sexual lust; overwhelmed sensual pleasure	obsessed with passion for sensual pleasure; enamoured with sensual desire; overwhelmed by sensual pleasure
21060	kāmasahagata	associated with sense desire; connected with sensual pleasure	associated with sensual desire; connected with sensual pleasure
21061	kāmasaṃyojana	fetter of sense desire; bond of sensual pleasure	fetter of sensual desire; bond of sensual pleasure
21063	kāmasaṃyojanātiga	surmounted the fetter of sense pleasure; gone beyond the bond of sensual desire	surmounted the fetter of sensual pleasure; gone beyond the bond of sensual desire
21064	kāmasaṃyojanātīta	surmounted the fetter of sense desire; gone beyond the bond of sensual pleasure	surmounted the fetter of sensual desire; gone beyond the bond of sensual pleasure
21065	kāmasukha	comfort of sense pleasures; enjoyment of sense desire	comfort of sensual pleasures; enjoyment of sensual desire
21067	kāmasukhallikā	sense pleasure; sensual enjoyment; hedonism	sensual pleasure; sensual enjoyment; hedonism
21068	kāmasukhallikānuyoga	pursuit of sense pleasure; indulgence in sense gratification (in); devotion to hedonistic enjoyment	pursuit of sensual pleasure; indulgence in sensual gratification (in); devotion to hedonistic enjoyment
21069	kāmasukhallikānuyogamanuyutta	devoted to indulgence in sense pleasure (in)	devoted to indulgence in sensual pleasure (in)
21090	kāmādhimutta	intent on sense desires; fixated on sensual pleasure	intent on sensual desires; fixated on sensual pleasure
21095	kāmāvacara 1	related to the realm of sense desire	related to the realm of sensual desire
21096	kāmāvacara 2	realm of sense desire	realm of sensual desire
21099	kāmāvacaradevakāya	host of heavenly beings in the realm of sense desire	host of heavenly beings in the realm of sensual desire
21100	kāmāvacarapañcakkhandhabhāva	existence with five aggregates in the realm of sense desire	existence with five aggregates in the realm of sensual desire
21101	kāmāvacarasaññā	perception related to the realm of sense desire	perception related to the realm of sensual desire
21108	kāmupādāna	grasping sensual pleasures; fuel that is sense desire	grasping sensual pleasures; fuel that is sensual desire
21115	kāmūpādāna	grasping sensual pleasures; fuel that is sense desire	grasping sensual pleasures; fuel that is sensual desire
21410	kālaṅkata 1	died; dead; deceased; passed away (in)	died; dead; deceased; passed away
21411	kālaṅkata 2	death (of)	death
21776	kimidaṃ	why is it? how is it that? what up with this?	why is it?; how is it that?; what's up with this?
22159	kucchi 3	core; inner-	core; inner
22215	kuṭiparibhaṇḍakaraṇakāla	?? time of plastering the floor in the hut; ?? time of repairing the hut	time of plastering the floor in the hut; time of repairing the hut
22291	kutūhalasālā	debating hall; cermeonial hall	debating hall; ceremonial hall
22425	kumuda 2	(comm) part of the Avīci hell where one must stay a kumuda-count in duration	(comm) part of the Avici hell where one must stay a kumuda-count in duration
22661	kusalā	masters; 'masters'; experts; 'experts'	masters; experts
22725	kuhanādibheda	various types of hypocrisy, etc.	various types of hypocrisy, etc
22786	kūṭāgāra 2	catafalque; pavillion for a corpse	catafalque; pavilion for a corpse
22880	kesalomanakhadantā	head hair, body hair, nails, teeth; first five object of the meditation on unattractiveness	head hair, body hair, nails, teeth; first five objects of the meditation on unattractiveness
22895	kesūdha	among who here; in whom here	among whom here; in whom here
22973	koṭimajjhikūpamā	?? simile of the middle of the point	simile of the middle of the point
23263	kvāssa	where could it?; where would it?	where could it be?; where would it be?
23475	khandhādhivacana	designation as 'aggregates'; the term 'conglomeration' (for)	designation as 'aggregates'; the term 'conglomeration'
23576	khalitaṃ gaṇhāti	seizes on a fault; pounces on a error	seizes on a fault; pounces on an error
23577	khalitaṃ gāhayati	seizes on a fault; pounces on a error	seizes on a fault; pounces on an error
23743	khīṇa 3	hurtful; rough; criticizing	hurtful; rough; criticising
23758	khīṇavāda	defamatory speech; harsh criticizm	defamatory speech; harsh criticism
23775	khīyati 4	criticizes; complains (about)	criticises; complains (about)
23777	khīyana 1	complaining; criticizing; whining	complaining; criticising; whining
23782	khīyanadhammasikkhāpada	rule about criticizing	complains; criticises; whines about
23783	khīyanadhammaṃ āpajjati	complains; criticizes; whines about	made a complaint; criticised; whined about
23784	khīyanadhammaṃ āpanna	made a complaint; criticized; whined about	made a complaint; criticised; whined about
24036	gaṅgeyya 2	living long the Ganges river	living long by the Ganges river
24264	gantukāmapurisa	man who want to go (to)	man who wants to go (to)
24446	gameti 1	makes go; causes to go (to); causes to get; makes become	makes go; causes to go (to); causes to get; causes to become
24488	garahaka 1	blaming; criticizing	blaming; criticising
24491	garahati	criticizes; abuses; blames	criticises; abuses; blames
24493	garahanta	criticizing; abusing; blaming	criticising; abusing; blaming
24494	garahappatta	blamed; criticized; blameworthy (in)	blamed; criticised; blameworthy (in)
24495	garahamāna	criticizing; blaming; abusing	criticising; blaming; abusing
24496	garahā	blame; criticizm	blame; criticism
24497	garahi	criticized; abused; blamed	criticised; abused; blamed
24498	garahita	blamed; criticized (by)	blamed; criticised (by)
24500	garahitabba	should be blamed; could be criticized	should be blamed; could be criticised
24503	garahī	criticizing; blaming	criticising; blaming
24679	gahādi	(gram) √gah etc.; group 6 roots which take the conjugational sign ppa & ṇhā	(gram) √gah etc.; group 6 roots which take the conjugational sign ppa and ṇhā
24680	gahādigaṇa	(gram) √gah etc. group; group 6 roots which take the conjugational sign ppa & ṇhā	(gram) √gah etc. group; group 6 roots which take the conjugational sign ppa and ṇhā
24835	gārayhaṃ ṭhānaṃ āgacchati	deserves blame; gives grounds for criticizm	deserves blame; gives grounds for criticism
25020	gihisaññattibahula	excessive involved in the instruction of laypeople	excessively involved in the instruction of laypeople
25031	gihisotāpanna	lay stream enterer	lay stream-enterer
25314	godhūma	wheat; Triticum sativum; Triticum dicocum	wheat; Triticum sativum; Triticum dicoccum
25366	gopphakatta	fact of having ankles	the fact of having ankles
25367	gopphakamatta	ankle-height; ankle deep	ankle-deep
25405	gosāla 1	family name of a ascetic teacher; Makkhali Gosāla	family name of an ascetic teacher; Makkhali Gosāla
25601	ghānasamphassaja	caused by contact with the nose; produced by olfactory impression; born from smell experience	contact with the nose; olfactory impression; originating from smell experience
25830	caṇḍālakumārikā	young outcaste girl; little low-caste girl	family of the lowest caste
25834	caṇḍālagāmadvāra	entrance to an low caste village	entrance to a low‑caste village
25856	catukoṭika 1	four-fold; four part	four‑fold; four‑part
25966	catudvāra	with four doors; having foor entrances	with four doors; having four entrances
25988	catuppada 3	four footed; four-legged	four‑footed; four‑legged
25990	catuppadika	consisting of four lines	four‑line verse
25991	catuppadikagāthā	four line verse	four‑footed; four‑legged
26015	catumāsappaccayapavāraṇā	four month invitation for requisites; offer of support lasting four months	four‑month invitation for requisites; offer of support lasting four months
26046	caturāsītiassasahassāni	eighty four thousand horses	eighty‑four thousand horses
26047	caturāsītiitthisahassāni	eighty four thousand women	eighty‑four thousand women
26048	caturāsītikappasahassaparamāyupariyanta	with a life span of eighty four thousand aeons at the most	with a life span of eighty‑four thousand aeons at the most
26049	caturāsītikūṭāgārasahassāni	eighty four thousand buildings with a peaked roof	eighty‑four thousand buildings with a peaked roof
26051	caturāsītithambhasahassa	eighty-four thousand pillars	eighty‑four thousand dishes of food
26052	caturāsītithālipākasahassāni	eighty four thousand dishes of food	eighty‑four thousand bull elephants
26053	caturāsītidhenusahassāni	eighty four thousand cows	eighty‑four thousand towns
26054	caturāsītinagarasahassāni	eighty four thousand towns	eighty‑four thousand towns
26056	caturāsītipabbajitasahassa	eighty four thousand monks	eighty‑four thousand monks
26057	caturāsītipallaṅkasahassāni	eighty four thousand couches	eighty‑four thousand couches
26058	caturāsītipāṇasahassa	eighty four thousand beings	eighty‑four thousand beings
26059	caturāsītipāsādasahassāni	eighty four thousand mansions' eighty four thousand palaces	eighty‑four thousand mansions' eighty‑four thousand palaces
26060	caturāsītimaṇisahassāni	eighty four thousand jewels	eighty‑four thousand jewels
26063	caturāsītirājasahassa	eight-four thousand kings	eighty‑four thousand kings
26066	caturāsītivassasahassa	eight-four thousand years	eighty‑four thousand years
26080	catusaṭṭhi	sixty four (64)	sixty‑four (64)
26082	catusattati	seventy four (74)	seventy‑four (74)
26161	candana 3	sandal-wood tree	sandalwood tree
26180	candanokkhita	sprinkled with sandal; perfumed with sandalwood	sprinkled with sandalwood; perfumed with sandalwood
26204	candimasūriyā	moon and sun	appearance of the sun and moon, etc.
26246	cammayodhī	armored warrior; knight; (comm) (or) who carries a shield	armoured warrior; knight; (comm) (or) one who carries a shield
26280	carato 1	for one who walks; for a walking	for a walker; for walking
26381	cāgādhiṭṭhāna	having abandoning as a basis; with giving up as foundation; established in relinquishing	having abandonment as a basis; with giving up as foundation; established in relinquishing
26476	cārittaṃ āpajjitā	who enages in sexual intercourse (with)	who engages in sexual intercourse (with)
26483	cāreti 1	makes move	makes a move
26940	curādigaṇa	(gram) √cur etc. group; group 8 roots which take the conjugational sign *e & *aya	(gram) √cur etc.; group 8 roots which take the conjugational sign *e & *aya
27079	cetā 1.2	and these woman	and these women
27124	cetoparicca	encompassing another's mind; knowing another's thoughts (with)	encompassing another's mind; knowing another's thoughts
27129	cetopariyāya	reading the mind; encompassing the mind (of)	reading the mind; encompassing the mind
27201	codāpeti	causes to charge; makes accuse	causes to charge; makes (someone) accuse
27212	codeti 2	(of a debt) pressures to repay; demands payement	(of a debt) pressures to repay; demands payment
27287	chaccābhiṭhānāni	and six deadly crimes; and six heinous wrongs	six deadly crimes; six heinous wrongs
27354	chattiṃsakkhattuṃ	thirty six times	thirty-six times
27357	chattiṃsarajodhātuyo	thirty six elements of dust; thirty six states of dirt; (comm) thirty six dirty places	thirty-six elements of dust; thirty-six states of dirt; (comm) thirty-six dirty places
27498	chabbidha	six-fold; six kind of	six kinds of
27563	chaḷabhijāti	six species of beings; six classes of beings; six phylums; (comm) six births	six species of beings; six classes of beings; six phyla; (comm) six births
27569	chaḷābhijāti	six species of beings; six classes of beings; six phylums; (comm) six births	six species of beings; six classes of beings; six phyla; (comm) six births
27682	chinnanta	?? cutting off, severing	cutting off; severing
27752	chedāpayanta	causing to cut off; making amputate	causing to cut off; making amputation
27756	chedāpenta	causing to cut off; making amputate	causing to cut off; making amputation
28230	jātijarāmaraṇika	leading to birth old age and death	leading to birth, old age and death
28231	jātijarāmaraṇiya	leading to birth old age and death	leading to birth, old age and death
28282	jātisaṃvattanika	leading to birth; resulting in rebecoming	leading to birth; resulting in rebirth
28488	jine	could defeat; should conquer; could overcomes	could defeat; should conquer; could overcome
28718	jotijotiparāyana	who is light destined for light	who is destined for light
28719	jotiṭhāna	fire place; altar	fireplace; altar
28721	jotitamaparāyana	who is light destined for darkness	who is destined for darkness
28855	ñāṇakaraṇa	which produces understanding; which generates insight; leading to knowledge	which produces understanding; which generates insight; it leads to knowledge
28856	ñāṇakaraṇī	producing understanding; generating insight; leading to knowledge	producing understanding; generating insight; it leads to knowledge
