unicode	ipa	ipa?	tts	unicode_eg	ipa_eg	tts_eg	comments
a	ɐ		ɐ	anuppanno	ɐnuppɐnno:	ɐ nup pɐn no:	
aa	əɐ		ə ɐ	akaṇhaasukka	ɐkɐɳhəɐsukkə	ɐ kɐɳ hə ɐ suk kə	
aā	əɑ:		ə ɑ:	yāvaābādhā	jɑ:ʋəɑ:bɑ:dʰɑ:	jɑ: ʋə ɑ: bɑ: dʰɑ:	
āā	ɑ:ɑ:		ɑ: ɑ:	sammāājīvo	sɐmmɑ:ɑ:ʝi:ʋo:	sɐm mɑ: ɑ: ʝi: ʋo:	
ā	ɑ:	ɐː	ɑ:	abhijānāmi	ɐbʰiʝɑ:nɑ:mi	ɐ bʰi ʝɑ: nɑ: mi	
i	i	ɪ	i	iti	iti	i ti	
ī	i:	ɪ:	i:	nandī	nɐndi:	nɐn di:	
u	u	ʊ	u	uppajjanti	uppɐʝʝɐnti	up pɐd ʝɐn ti	
ū	u:	ʊː	u:	ūruṭṭhikaṃ	u:ruʈʈʰikɐŋ	u: ruʈ ʈʰi kɐŋ	
e	e		e	mettacitto	mettɐtɕitto:	met tɐ cit to:	
ē	e:	ẽ	e:	evaṃdhammo	e:ʋɐŋdʰɐmmo:	e: ʋɐŋ dʰɐm mo:	
o	o		o	ojāpaharaṇiyo	o:ʝɑ:pɐhɐrɐɳijo:	o: ʝɑ: pɐ hɐ rɐ ɳi jo:	
ō	o:		o:	ottappamānā	ottɐppɐmɑ:nɑ:	ot tɐp pɐ mɑ: nɑ:	
k	k		 k	kataṃ	kɐtɐŋ	kɐ tɐŋ	
kk	kk		k k	sakkassa	sɐkkɐssə	sɐk kɐs sə	
kh	kʰ		kʰ	kho	kʰo:	kʰo:	
kkh	kkʰ		k kʰ	bhikkhu	bʰikkʰu	bʰik kʰu	
g	ɡ		 ɡ	gacchati	ɡɐttɕʰɐti	ɡɐt cʰɐ ti	
gg	gg		g g	aggi	ɐggi	ɐg gi	
gh	ɡʰ		 ɡʰ	ghaṭato	ɡʰɐʈɐto:	ɡʰɐ ʈɐ to:	
ggh	gɡʰ		g ɡʰ	pagghariṇī	pɐgɡʰɐriɳi:	pɐg ɡʰɐ ri ɳi:	
ṅ	ŋ		 ŋ	atthaṅgamā	ɐttʰɐŋɡɐmɑ:	ɐt tʰɐŋ ɡɐ mɑ:	
ṅṅ	ŋŋ		ŋ ŋ	kaṅṅo	kɐŋŋo:	kɐŋ ŋo:	
c	tɕ	c,tʃ	 c	cittaṃ	tɕittɐŋ	cit tɐŋ	
